Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Инзенская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209					
1	"Число избирателей, внесенных в списки"	32086	1203	615	1641	1525	950	581	1522	1316	1628	1661	980	1542	989	650	1168	504	421	754	131	364	313	213	373	255	332	384	588	115	480	228	314	199	341	292	275	746	358	194	150	95	376	367	1063	160	234	383	319	800	861	805	216	112					
2	"Число бюллетеней, полученных участковыми комиссиями"	30586	1100	600	1500	1500	900	500	1400	1200	1500	1500	900	1400	900	600	1000	500	400	700	132	360	300	216	370	250	330	381	601	116	483	232	313	200	339	295	274	740	354	197	152	97	375	368	1060	163	230	382	316	797	850	775	323	115					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17067	551	266	698	842	550	310	640	637	780	818	468	678	424	267	600	265	198	451	54	210	173	106	236	172	231	215	359	76	333	137	218	141	267	202	164	432	232	127	97	70	207	180	523	90	139	263	202	414	499	568	201	86					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1260	34	10	43	25	18	12	210	30	22	33	17	44	17	23	23	21	9	27	23	7	27	56	23	15	28	28	18	15	25	27	21	11	0	0	38	16	10	0	0	1	48	24	30	16	22	28	9	23	29	7	15	2					
6	Число погашенных бюллетеней	12259	515	324	759	633	332	178	550	533	698	649	415	678	459	310	377	214	193	222	55	143	100	54	111	63	71	138	224	25	125	68	74	48	72	93	72	292	112	70	55	26	120	164	507	57	69	91	105	360	322	200	107	27					
7	Число бюллетеней в переносных ящиках для голосования	1260	34	10	43	25	18	12	210	30	22	33	17	44	17	23	23	21	9	27	23	7	27	56	23	15	28	28	18	15	25	27	21	11	0	0	38	16	10	0	0	1	48	24	30	16	22	28	9	23	29	7	15	2					
8	Число бюллетеней в стационарных ящиках для голосования	17065	551	266	698	842	550	310	640	637	780	818	468	678	424	266	600	265	198	451	54	210	173	106	236	172	231	215	359	76	333	137	218	141	267	202	164	432	232	127	97	70	207	180	523	90	139	262	202	414	499	568	201	86					
9	Число недействительных бюллетеней	749	14	26	20	25	23	8	2	9	32	29	10	41	9	12	55	25	8	12	0	17	0	3	7	12	13	14	13	18	11	10	16	0	9	10	11	43	14	0	0	20	23	1	35	6	7	1	10	29	18	12	3	3					
10	Число действительных бюллетеней	17576	571	250	721	842	545	314	848	658	770	822	475	681	432	277	568	261	199	466	77	200	200	159	252	175	246	229	364	73	347	154	223	152	258	192	191	405	228	127	97	51	232	203	518	100	154	289	201	408	510	563	213	85					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	530	10	10	10	20	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	104	2	1	6	10	6	2	8	5	9	7	5	5	5	1	5	1	0	2	0	2	0	0	2	3	1	0	2	0	0	4	0	2	0	0	1	0	0	0	0	0	1	0	2	1	0	0	0	0	0	2	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	99	1	0	2	3	5	0	44	1	1	0	1	7	7	1	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	1	0	3	0	1	0	2	0	1	1	0	3	0	0	0	0	0	2	5	0	2	0					
14	Число погашенных открепительных удостоверений	426	8	9	4	10	4	8	2	5	1	3	5	5	5	9	5	9	10	8	10	8	10	10	8	7	9	10	8	10	10	6	10	8	10	10	9	10	10	10	10	10	9	10	8	9	10	10	10	10	10	8	9	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																											
18	"1. ""ЕДИНЕНИЕ"""	205	6	1	5	7	3	4	7	6	10	2	1	9	2	6	13	7	3	9	2	1	0	2	3	2	2	6	5	1	5	3	3	0	0	5	3	11	6	0	2	3	2	3	10	2	2	2	5	7	0	4	2	0					
		1.11%	1.02%	0.36%	0.67%	0.80%	0.52%	1.24%	0.82%	0.89%	1.24%	0.23%	0.20%	1.24%	0.45%	2.07%	2.08%	2.44%	1.44%	1.88%	2.59%	0.46%	0.0%	1.23%	1.15%	1.06%	0.77%	2.46%	1.32%	1.09%	1.39%	1.82%	1.25%	0.0%	0.0%	2.47%	1.48%	2.45%	2.47%	0.0%	2.06%	4.22%	0.78%	1.47%	1.80%	1.88%	1.24%	0.68%	2.36%	1.60%	0.0%	0.69%	0.92%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	162	5	4	8	6	4	2	7	9	4	10	3	27	1	5	1	2	0	1	0	3	1	0	1	2	2	0	3	3	4	2	2	0	2	3	2	0	0	0	2	2	1	1	3	1	0	0	2	6	4	5	6	0					
		0.88%	0.85%	1.44%	1.07%	0.69%	0.70%	0.62%	0.82%	1.34%	0.49%	1.17%	0.61%	3.73%	0.22%	1.73%	0.16%	0.69%	0.0%	0.20%	0.0%	1.38%	0.5%	0.0%	0.38%	1.06%	0.77%	0.0%	0.79%	3.29%	1.11%	1.21%	0.83%	0.0%	0.74%	1.48%	0.99%	0.0%	0.0%	0.0%	2.06%	2.81%	0.39%	0.49%	0.54%	0.94%	0.0%	0.0%	0.94%	1.37%	0.75%	0.86%	2.77%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	428	11	7	18	18	20	11	20	16	18	21	10	15	9	4	9	6	1	5	3	7	9	0	0	5	4	2	14	5	10	10	5	0	5	6	5	8	2	0	0	4	4	11	18	1	10	3	2	8	24	15	3	6					
		2.33%	1.88%	2.53%	2.42%	2.07%	3.52%	3.41%	2.35%	2.39%	2.24%	2.46%	2.06%	2.07%	2.04%	1.38%	1.44%	2.09%	0.48%	1.04%	3.89%	3.22%	4.5%	0.0%	0.0%	2.67%	1.54%	0.82%	3.71%	5.49%	2.79%	6.09%	2.09%	0.0%	1.87%	2.97%	2.47%	1.78%	0.82%	0.0%	0.0%	5.63%	1.56%	5.39%	3.25%	0.94%	6.21%	1.03%	0.94%	1.83%	4.54%	2.60%	1.38%	6.81%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	298	5	8	13	14	13	3	14	12	21	20	7	25	17	3	9	5	4	9	0	3	1	2	1	3	1	0	6	1	2	1	1	3	2	6	1	0	0	0	0	2	0	1	6	4	0	7	0	4	19	15	3	1					
		1.62%	0.85%	2.89%	1.75%	1.61%	2.28%	0.93%	1.64%	1.79%	2.61%	2.35%	1.44%	3.46%	3.85%	1.03%	1.44%	1.74%	1.93%	1.88%	0.0%	1.38%	0.5%	1.23%	0.38%	1.60%	0.38%	0.0%	1.59%	1.09%	0.55%	0.60%	0.41%	1.97%	0.74%	2.97%	0.49%	0.0%	0.0%	0.0%	0.0%	2.81%	0.0%	0.49%	1.08%	3.77%	0.0%	2.41%	0.0%	0.91%	3.59%	2.60%	1.38%	1.13%					
22	"5. ""За Русь Святую"""	109	2	2	4	2	2	1	8	7	2	3	2	7	2	2	8	3	1	0	0	4	1	1	2	1	4	4	5	0	1	0	2	0	2	1	3	0	0	0	0	0	0	0	5	3	0	0	1	4	3	2	2	0					
		0.59%	0.34%	0.72%	0.53%	0.23%	0.35%	0.31%	0.94%	1.04%	0.24%	0.35%	0.41%	0.96%	0.45%	0.69%	1.28%	1.04%	0.48%	0.0%	0.0%	1.84%	0.5%	0.61%	0.77%	0.53%	1.54%	1.64%	1.32%	0.0%	0.27%	0.0%	0.83%	0.0%	0.74%	0.49%	1.48%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.90%	2.83%	0.0%	0.0%	0.47%	0.91%	0.56%	0.34%	0.92%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	46	5	1	1	2	0	1	0	2	2	2	0	2	2	1	1	0	0	0	0	0	0	0	0	2	3	0	3	0	1	0	1	0	0	0	1	0	0	0	0	0	1	0	4	2	0	0	0	1	2	1	2	0					
		0.25%	0.85%	0.36%	0.13%	0.23%	0.0%	0.31%	0.0%	0.29%	0.24%	0.23%	0.0%	0.27%	0.45%	0.34%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	1.15%	0.0%	0.79%	0.0%	0.27%	0.0%	0.41%	0.0%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.72%	1.88%	0.0%	0.0%	0.0%	0.22%	0.37%	0.17%	0.92%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	81	3	2	4	5	3	1	3	4	7	5	3	1	3	1	3	3	0	0	0	2	3	0	0	0	0	1	2	2	0	0	0	0	1	0	2	0	0	0	0	0	0	1	3	3	0	0	2	0	3	3	2	0					
		0.44%	0.51%	0.72%	0.53%	0.57%	0.52%	0.31%	0.35%	0.59%	0.87%	0.58%	0.61%	0.13%	0.68%	0.34%	0.48%	1.04%	0.0%	0.0%	0.0%	0.92%	1.5%	0.0%	0.0%	0.0%	0.0%	0.41%	0.53%	2.19%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.49%	0.54%	2.83%	0.0%	0.0%	0.94%	0.0%	0.56%	0.52%	0.92%	0.0%					
25	"8. ""Народно-республиканская партия России"""	38	1	0	2	3	5	0	1	0	0	0	2	1	1	1	2	2	0	1	0	0	0	0	0	2	0	3	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0					
