Выборы Президента Российской Федерации																																																																																																	
																																																																																																	
"Наименование Избирательной комиссии:    Самара, Кировская"																																																																																																	
																																																																																																	
Итоги голосования 																																																																																																	
																																																																																																	
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581					
1	"Число избирателей, внесенных в список"	189526	2362	1513	1224	969	1267	1199	1193	1501	2326	1465	1274	2314	2637	2314	2222	869	2763	2538	2332	2385	2781	2509	2125	2077	2446	2543	2627	1863	2807	2557	2933	2661	2336	2943	2559	1829	2101	2319	2192	2383	2549	2707	2686	2991	2980	2829	1940	2644	1854	2035	1704	1883	2038	1947	2271	2180	2215	2096	2332	2064	1943	2274	1958	2464	2859	2694	2014	2803	2450	2816	2653	2488	2305	2692	2840	2205	2705	2654	2490	2349	2556	2260	860	477	1808	276	196	109	74	51					
2	Число полученных избирательных бюллетеней	186637	2388	1471	1211	915	1211	1162	1149	1516	2295	1390	1197	2225	2574	2281	2182	832	2714	2474	2299	2345	2791	2465	2120	2047	2395	2507	2633	1837	2755	2482	2867	2654	2314	2906	2550	1794	2068	2264	2193	2338	2555	2681	2629	2901	2914	2755	1868	2614	1804	2019	1744	1873	1973	1927	2243	2121	2209	2069	2295	2074	1937	2258	1954	2432	2819	2668	1993	2772	2406	2821	2637	2476	2245	2613	2789	2207	2660	2643	2468	2287	2532	2210	835	465	1802	211	138	150	78	52					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	92538	1046	579	589	405	463	425	508	583	1133	636	559	947	1306	1152	1142	319	1390	1351	1140	1179	1362	1146	1143	1173	1386	1435	1402	874	1483	1220	1655	1296	1182	1519	1269	872	1023	1095	967	1205	1360	1390	1312	1518	1378	1431	695	1219	855	903	849	899	976	860	1190	1095	1035	1038	1196	1025	817	1051	967	1234	1445	1290	937	1445	1196	1409	1415	1240	1144	1320	1476	977	1303	1256	1276	1285	1157	1147	444	252	880	168	92	57	47	28					
5	"Число избирательных бюллетеней, выданных вне помещения"	5212	26	145	70	120	179	125	110	103	40	65	84	43	42	62	61	39	53	22	45	49	49	77	61	32	49	65	50	37	25	51	34	56	30	64	68	48	110	72	44	49	54	49	48	51	48	51	29	74	32	83	69	57	57	59	68	42	180	79	63	57	25	72	44	38	69	95	45	54	55	50	69	66	79	40	47	46	32	41	79	52	89	33	16	24	54	4	0	50	19	21					
6	Число погашенных избирательных бюллетеней	88880	1316	747	552	390	569	612	531	830	1122	689	554	1235	1226	1067	979	474	1271	1101	1114	1117	1380	1240	916	842	960	1007	1181	926	1247	1211	1178	1302	1102	1323	1213	874	935	1097	1182	1084	1141	1242	1269	1332	1488	1273	1144	1319	917	1033	826	917	940	1008	985	984	994	952	1036	992	1095	1135	943	1160	1305	1283	1011	1273	1155	1362	1153	1170	1022	1253	1266	1184	1322	1346	1113	950	1286	1030	375	189	868	39	46	43	12	3					
7	Число избирательных бюллетеней в переносных ящиках	5212	26	145	70	120	179	125	110	103	40	65	84	43	42	62	61	39	53	22	45	49	49	77	61	32	49	65	50	37	25	51	34	56	30	64	68	48	110	72	44	49	54	49	48	51	48	51	29	74	32	83	69	57	57	59	68	42	180	79	63	57	25	72	44	38	69	95	45	54	55	50	69	66	79	40	47	46	32	41	79	52	89	33	16	24	54	4	0	50	19	21					
8	Число бюллетеней в стационарных ящиках для голосования	92436	1046	579	589	405	463	425	508	583	1133	636	559	947	1306	1152	1141	319	1390	1351	1140	1179	1362	1146	1143	1173	1386	1435	1402	874	1483	1218	1655	1296	1182	1519	1269	872	1023	1094	967	1205	1360	1390	1311	1518	1378	1431	695	1219	855	820	849	899	976	860	1190	1090	1034	1038	1195	1025	817	1051	967	1233	1445	1290	935	1445	1196	1409	1415	1240	1144	1320	1476	977	1303	1256	1276	1281	1157	1147	444	252	880	168	92	57	47	28					
9	Число недействительных избирательных бюллетеней	917	15	10	11	6	6	7	8	7	26	10	2	12	10	9	8	4	18	9	10	17	12	14	10	7	25	17	19	10	11	8	19	11	8	15	10	10	17	4	11	6	2	0	13	12	13	11	13	0	5	7	12	2	12	10	18	5	6	7	8	10	10	7	10	7	15	13	9	26	13	25	13	12	12	13	16	14	19	8	8	7	8	16	4	3	12	2	0	0	0	0					
10	Число действительных избирательных бюллетеней	96731	1057	714	648	519	636	543	610	679	1147	691	641	978	1338	1205	1194	354	1425	1364	1175	1211	1399	1209	1194	1198	1410	1483	1433	901	1497	1261	1670	1341	1204	1568	1327	910	1116	1162	1000	1248	1412	1439	1346	1557	1413	1471	711	1293	882	896	906	954	1021	909	1240	1127	1208	1110	1250	1072	832	1116	1001	1264	1499	1372	971	1473	1238	1434	1471	1294	1211	1347	1507	1009	1316	1289	1347	1326	1238	1164	456	273	922	170	92	107	66	49					
