Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Кирсановская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12434	806	700	653	792	700	919	560	517	535	887	774	817	921	694	871	1288									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12350	800	700	650	800	690	900	560	500	530	880	770	800	920	690	860	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4610	267	287	254	280	219	248	437	209	238	281	255	324	218	282	380	431									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	386	33	14	14	9	21	34	5	14	10	33	45	52	49	13	21	19									
6	Число погашенных избирательных бюллетеней	7354	500	399	382	511	450	618	118	277	282	566	470	424	653	395	459	850									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	386	33	14	14	9	21	34	5	14	10	33	45	52	49	13	21	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4610	267	287	254	280	219	248	437	209	238	281	255	324	218	282	380	431									
9	Число недействительных избирательных бюллетеней	73	11	4	2	2	6	0	2	7	8	5	2	6	4	4	5	5									
10	Число действительных избирательных бюллетеней	4923	289	297	266	287	234	282	440	216	240	309	298	370	263	291	396	445									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	191	11	11	11	12	11	12	11	12	10	11	12	12	12	12	12	19									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	142	3	11	11	12	3	12	11	6	8	11	8	7	12	7	4	16									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	71	3	2	7	1	1	3	5	11	6	3	4	3	5	2	10	5									
