Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Липецк, Октябрьская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93					
1	"Число избирателей, внесенных в список"	156488	1638	1938	1993	1893	1602	2692	2334	2150	2935	2899	2767	204	2751	2538	1204	2695	2339	2652	2779	2212	2845	2874	2607	2335	2580	2393	2211	1723	2526	2685	2467	2196	2390	2852	2919	2693	2528	2844	2896	2407	2174	1734	1653	2879	2729	2375	2290	2143	254	2396	2692	2531	2696	2625	2345	2053	2175	1907	1763	2425	2558	1970	2149	2634	2456	2623	2228	845					
2	Число полученных избирательных бюллетеней	154740	1650	1850	2020	1900	1600	2720	2300	2250	2950	2880	2850	200	2650	2370	1200	2690	2340	2650	2800	2250	2900	2880	2670	2190	2600	2360	2200	1870	2550	2700	2430	1980	2170	2700	2630	2670	2280	2850	2900	2180	2150	1830	1730	2900	2750	2400	2300	1900	250	2220	2700	2500	2420	2630	2350	2050	2170	1920	1770	2420	2530	2000	2180	2650	2460	2710	2200	820					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	97295	855	922	1066	1143	958	1393	1292	1310	1791	1736	1635	168	1749	1793	776	1905	1547	1630	1706	1363	1738	1784	1704	1502	1644	1473	1522	1098	1749	1855	1572	1357	1556	1812	1793	1657	1586	2188	2096	1472	1374	1191	1071	1632	1645	1445	1311	1305	146	1418	1632	1426	1545	1628	1417	1071	1250	1209	915	1469	1544	1269	1529	1741	1624	1791	1313	488					
5	"Число избирательных бюллетеней, выданных вне помещения"	2084	76	107	52	38	48	59	65	48	33	54	48	30	17	15	6	9	19	14	21	19	29	22	12	31	11	8	36	44	41	29	12	10	13	16	23	25	24	8	10	13	21	14	27	43	23	27	61	17	77	50	20	39	46	23	13	27	44	24	49	12	33	23	12	42	23	6	66	27					
6	Число погашенных избирательных бюллетеней	55361	719	821	902	719	594	1268	943	892	1126	1090	1167	2	884	562	418	776	774	1006	1073	868	1133	1074	954	657	945	879	642	728	760	816	846	613	601	872	814	988	670	654	794	695	755	625	632	1225	1082	928	928	578	27	752	1048	1035	829	979	920	952	876	687	806	939	953	708	639	867	813	913	821	305					
7	Число избирательных бюллетеней в переносных ящиках	2084	76	107	52	38	48	59	65	48	33	54	48	30	17	15	6	9	19	14	21	19	29	22	12	31	11	8	36	44	41	29	12	10	13	16	23	25	24	8	10	13	21	14	27	43	23	27	61	17	77	50	20	39	46	23	13	27	44	24	49	12	33	23	12	42	23	6	66	27					
8	Число бюллетеней в стационарных ящиках для голосования	97267	854	922	1066	1143	958	1393	1292	1310	1791	1736	1635	168	1749	1793	775	1901	1545	1630	1706	1362	1738	1784	1704	1502	1644	1472	1520	1098	1749	1855	1572	1357	1554	1812	1793	1651	1586	2188	2096	1472	1372	1191	1071	1632	1645	1445	1310	1305	146	1415	1632	1426	1545	1628	1417	1071	1250	1209	915	1469	1544	1269	1527	1741	1624	1791	1313	488					
9	Число недействительных избирательных бюллетеней	843	2	7	12	10	8	11	14	18	17	22	12	2	8	5	7	16	15	8	17	5	14	19	23	15	18	16	8	18	14	13	20	13	8	5	13	8	12	12	8	6	19	22	7	20	16	18	17	21	2	9	17	23	16	12	9	9	9	2	9	13	15	11	14	18	7	23	1	5					
10	Число действительных избирательных бюллетеней	98508	928	1022	1106	1171	998	1441	1343	1340	1807	1768	1671	196	1758	1803	774	1894	1549	1636	1710	1376	1753	1787	1693	1518	1637	1464	1548	1124	1776	1871	1564	1354	1559	1823	1803	1668	1598	2184	2098	1479	1374	1183	1091	1655	1652	1454	1354	1301	221	1456	1635	1442	1575	1639	1421	1089	1285	1231	955	1468	1562	1281	1525	1765	1640	1774	1378	510					
11	Число полученных открепительных  удостоверений	2388	30	30	30	30	30	40	40	35	40	40	40	0	45	40	40	40	40	40	45	40	40	40	40	40	40	30	30	30	30	30	30	30	30	37	40	40	40	40	40	40	30	33	30	45	50	40	40	30	10	40	40	30	40	30	38	30	30	30	30	35	40	30	30	40	30	40	35	30					
12	Число выданных открепительных удостоверений	1624	12	6	21	16	10	27	29	30	19	30	24	0	41	17	21	37	25	35	42	30	18	25	19	21	32	19	11	12	20	25	27	18	18	31	31	29	23	30	34	30	17	31	25	44	46	28	22	7	0	21	32	17	25	21	30	24	28	15	16	30	33	19	17	30	23	37	23	18					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	909	6	8	6	8	9	15	9	17	8	9	12	198	30	36	3	14	15	16	12	7	3	10	14	14	9	6	13	12	10	14	15	10	9	12	10	7	7	10	10	12	11	4	7	9	7	9	9	8	0	11	11	34	7	9	13	11	6	8	9	14	12	12	12	8	6	6	9	2					
14	Число неиспользованных открепительных удостоверений	764	18	24	9	14	20	13	11	5	21	10	16	0	4	23	19	3	15	5	3	10	22	15	21	19	8	11	19	18	10	5	3	12	12	6	9	11	17	10	6	10	13	2	5	1	4	12	18	23	10	19	8	13	15	9	8	6	2	15	14	5	7	11	13	10	7	3	12	12					
15	"Число открепительных удостоверений, выданных в ТИК"	55	0	0	1	1	1	4	2	2	1	0	2	0	0	0	0	0	1	0	4	0	0	1	1	0	0	1	0	0	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	1	1	0	0	0	2	3	2	0	1	0	3	0	1	2	1	0	1	1	0	1	1	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
