Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Азовская районная																																																																																							
																																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																							
																																																																																							
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2514	УИК №2585					
1	"Число избирателей, внесенных в списки"	68163	1401	901	424	627	111	328	103	424	1042	457	514	172	1514	259	471	405	479	1112	802	1113	794	1908	1389	1708	1295	136	1072	688	1527	1038	1141	177	131	306	2249	2503	2375	1214	462	1765	1179	701	273	97	1330	401	1004	457	418	613	635	222	743	1469	975	1101	222	141	1211	839	1247	1477	1751	1820	1896	726	533	1043	1349	242	258	147	310	195	227	166	139	237	2328	1504					
2	"Число бюллетеней, полученных участковыми комиссиями"	67440	1380	889	404	615	111	311	101	432	1038	453	510	174	1513	259	469	403	477	1127	806	1119	795	1880	1281	1628	1238	138	1027	664	1418	1036	1133	170	131	304	2235	2462	2291	1188	447	1751	1609	663	266	128	1270	391	945	456	417	593	627	219	746	1420	980	1100	225	159	1212	824	1235	1412	1762	1817	1883	723	532	1032	1342	243	258	147	313	194	223	160	136	237	2315	1418					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	42754	805	441	273	362	75	177	65	254	837	365	366	102	1078	237	246	247	273	546	428	540	505	809	593	778	501	52	581	346	1155	690	760	132	123	223	1480	1617	1083	604	341	1044	1169	490	249	86	992	274	537	232	265	354	543	205	642	832	572	750	165	141	938	822	898	988	912	905	1075	563	471	559	1046	168	209	123	191	115	196	142	123	225	1703	750					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3325	105	139	30	53	28	82	16	53	4	11	19	42	149	0	68	20	18	29	42	81	9	34	45	12	40	49	78	211	87	61	44	11	0	15	29	16	18	19	4	53	10	7	0	11	52	60	59	52	30	31	20	8	29	90	140	37	17	0	71	0	56	69	63	51	91	34	15	54	126	24	0	0	0	5	12	16	2	0	12	147					
6	Число погашенных бюллетеней	21361	470	309	101	200	8	52	20	125	197	77	125	30	286	22	155	136	186	552	336	498	281	1037	643	838	697	37	368	107	176	285	329	27	8	66	726	829	1190	565	102	654	430	166	17	31	226	57	349	172	122	208	64	6	75	498	268	313	43	18	203	2	281	355	787	861	717	126	46	419	170	51	49	24	122	74	15	2	11	12	600	521					
7	Число бюллетеней в переносных ящиках для голосования	3325	105	139	30	53	28	82	16	53	4	11	19	42	149	0	68	20	18	29	42	81	9	34	45	12	40	49	78	211	87	61	44	11	0	15	29	16	18	19	4	53	10	7	0	11	52	60	59	52	30	31	20	8	29	90	140	37	17	0	71	0	56	69	63	51	91	34	15	54	126	24	0	0	0	5	12	16	2	0	12	147					
8	Число бюллетеней в стационарных ящиках для голосования	42733	805	441	273	362	75	177	65	254	837	365	366	102	1078	237	246	247	273	546	428	540	505	809	593	778	501	51	581	346	1155	690	760	130	123	223	1480	1617	1083	604	341	1044	1169	490	249	86	992	274	537	232	265	354	543	205	642	830	572	750	165	141	936	822	898	988	912	905	1075	563	471	559	1046	168	209	123	191	115	196	142	123	225	1689	750					
9	Число недействительных бюллетеней	1373	0	0	0	8	2	1	0	3	4	2	4	0	9	2	17	22	14	13	63	2	9	0	0	1	22	0	0	2	9	5	76	1	4	0	269	2	14	2	23	0	0	12	1	0	63	4	5	1	6	4	19	0	1	129	0	50	1	0	210	47	5	9	10	5	6	1	4	6	5	1	3	0	0	0	0	0	0	0	8	152					
10	Число действительных бюллетеней	44685	910	580	303	407	101	258	81	304	837	374	381	144	1218	235	297	245	277	562	407	619	505	843	638	789	519	100	659	555	1233	746	728	140	119	238	1240	1631	1087	621	322	1097	1179	485	248	97	981	330	591	283	289	381	544	213	670	791	712	737	181	141	797	775	949	1048	965	951	1160	596	482	607	1167	191	206	123	191	120	208	158	125	225	1693	745					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1500	20	10	10	10	5	5	5	10	20	10	10	10	25	15	10	10	10	20	20	20	20	30	30	30	30	10	20	20	30	20	20	10	10	10	40	40	30	30	40	30	30	20	10	10	20	10	20	10	15	10	20	20	20	30	30	30	20	10	30	20	20	20	20	20	20	10	10	10	20	10	10	10	10	10	20	20	20	20	50	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	197	3	0	0	0	0	0	0	5	4	0	3	0	9	0	1	0	1	4	5	5	5	2	3	4	2	0	2	1	13	1	0	0	0	0	6	10	4	3	0	6	1	0	0	0	0	0	7	1	0	2	1	0	3	5	2	6	1	0	2	2	9	7	7	3	7	0	5	4	2	0	1	0	0	2	0	0	0	0	12	3					
