Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																															
Дата голосования: 07.12.2003 0:00:00																																															
																																															
Наименование Избирательной комиссии:    Соликамская городская																																															
																																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																															
																																															
		Сумма	УИК №3601	УИК №3602	УИК №3603	УИК №3604	УИК №3605	УИК №3606	УИК №3607	УИК №3608	УИК №3609	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК  3632	УИК №3633	УИК №3634	УИК №3635	УИК №3636	УИК №3637	УИК №3638	УИК №3639	УИК №3640					
1	"Число избирателей, внесенных в списки"	74942	1187	1060	2414	2496	2701	1975	2759	2765	1297	2595	2181	2822	1963	2647	2021	1629	897	2510	1948	2949	669	2094	2299	2764	2554	914	2489	887	1266	2783	2530	2375	2642	1949	835	998	1009	444	500	125					
2	"Число бюллетеней, полученных участковыми комиссиями"	73793	1178	1024	2320	2451	2603	2000	2769	2754	2013	2560	2200	2800	1890	2600	2000	1600	871	2300	1950	2950	619	2000	2000	2660	2500	867	2480	790	1100	2800	2300	2400	2500	1920	800	974	1000	600	500	150					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	47211	528	493	1368	1526	1644	1298	1903	1876	1268	1686	1329	1795	1322	1677	1230	846	509	1644	1387	2058	350	1491	1602	1818	1592	545	1714	440	774	1658	1404	1482	1682	1124	334	460	609	221	399	125					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1905	50	68	46	35	112	18	18	15	29	28	57	31	20	41	39	131	22	79	10	18	71	31	29	28	40	29	18	8	50	135	56	47	30	30	62	56	33	185	100	0					
6	Число погашенных бюллетеней	24665	600	463	906	890	847	684	848	863	716	846	814	974	548	882	731	621	340	577	553	874	198	478	369	814	868	293	748	342	276	1007	840	861	788	766	404	458	358	194	1	25					
7	Число бюллетеней в переносных ящиках для голосования	1805	50	68	46	35	112	18	18	15	29	28	57	31	20	41	39	131	22	79	10	18	71	31	29	28	40	29	18	8	50	135	56	47	30	30	62	56	33	185	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	47269	528	493	1368	1526	1629	1298	1903	1876	1268	1686	1323	1795	1322	1676	1229	846	509	1643	1387	2058	350	1490	1602	1818	1592	545	1711	440	774	1645	1404	1482	1682	1124	334	460	609	221	498	125					
9	Число недействительных бюллетеней	696	7	2	41	16	21	15	26	16	13	29	17	24	16	15	16	15	16	28	18	21	14	21	19	37	24	11	19	18	12	17	16	20	16	24	13	13	18	7	5	0					
10	Число действительных бюллетеней	48378	571	559	1373	1545	1720	1301	1895	1875	1284	1685	1363	1802	1326	1702	1252	962	515	1694	1379	2055	407	1500	1612	1809	1608	563	1710	430	812	1763	1444	1509	1696	1130	383	503	624	399	493	125					
