Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																					
Дата голосования: 02.12.2007																																					
																																					
Наименование Избирательной комиссии:    район Текстильщики																																					
																																					
Сводная таблица результатов выборов																																					
																																					
		Сумма	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №3225	УИК №3226	УИК №3227					
1	"Число избирателей, внесенных в списки избирателей"	61395	2041	2542	2397	2382	2386	2578	2960	2581	2594	2153	2651	2173	1792	1730	2959	1792	1837	1571	2520	1690	1991	2440	1950	2726	2336	1569	1769	152	300	833					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50500	1700	2000	2000	2000	2000	2000	2500	2000	2000	1800	2000	1800	1500	1500	2500	1500	1500	1300	2000	1500	1600	2000	1300	2500	1900	1300	1300	200	300	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	34075	997	1277	1255	1204	1222	1318	1430	1207	1576	1124	1368	1551	1034	1179	2114	914	1127	1016	1298	1029	1116	1386	996	1748	1451	832	854	152	300	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1477	16	38	26	33	34	35	32	43	19	27	19	12	22	20	18	21	28	28	11	25	25	37	6	23	18	18	10	0	0	833					
6	Число погашенных избирательных бюллетеней	14948	687	685	719	763	744	647	1038	750	405	649	613	237	444	301	368	565	345	256	691	446	459	577	298	729	431	450	436	48	0	167					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1476	16	38	26	33	34	35	32	43	19	27	19	12	22	20	18	21	28	28	11	25	25	37	6	23	18	18	10	0	0	832					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34040	997	1273	1246	1204	1222	1318	1426	1207	1576	1120	1364	1551	1034	1179	2114	912	1127	1016	1298	1029	1116	1386	996	1748	1451	832	846	152	300	0					
9	Число недействительных избирательных бюллетеней	383	10	13	11	22	14	18	17	11	14	26	12	12	21	8	8	11	9	11	27	11	17	0	17	20	10	9	6	5	2	11					
10	Число действительных избирательных бюллетеней	35133	1003	1298	1261	1215	1242	1335	1441	1239	1581	1121	1371	1551	1035	1191	2124	922	1146	1033	1282	1043	1124	1423	985	1751	1459	841	850	147	298	821					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1292	53	55	35	43	30	63	62	51	40	75	62	35	50	24	50	50	40	35	51	28	43	80	38	59	61	42	37	0	0	0					
