Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																													
Дата голосования: 04.12.2011																													
																													
"Наименование Избирательной комиссии:    Новосибирск, Железнодорожная "																													
																													
Сводная таблица результатов выборов																													
																													
		Сумма	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538					
1	"Число избирателей, внесенных в список избирателей"	50005	2553	1956	2355	2700	2082	2349	2592	2705	2064	2361	1732	3130	2412	2300	773	2392	2420	2466	2392	2203	1509	2559					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	47800	2500	1900	2100	2700	1800	2200	2400	2600	1900	1800	1700	2600	2300	2100	2000	2200	2300	2400	2300	2100	1500	2400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	29376	1552	1035	1453	1573	1179	1408	1632	1548	1127	957	871	2014	1477	1381	773	1496	1505	1386	1416	1288	770	1535					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1117	19	50	32	23	32	17	27	26	36	442	41	28	52	30	0	59	48	51	30	27	23	24					
6	Число погашенных избирательных бюллетеней	17307	929	815	615	1104	589	775	741	1026	737	401	788	558	771	689	1227	645	747	963	854	785	707	841					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1117	19	50	32	23	32	17	27	26	36	442	41	28	52	30	0	59	48	51	30	27	23	24					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29351	1552	1035	1453	1573	1176	1406	1630	1547	1127	952	871	2013	1476	1381	772	1493	1505	1383	1415	1287	770	1534					
9	Число недействительных избирательных бюллетеней	392	14	10	16	44	12	22	15	15	22	20	17	18	17	16	15	11	25	20	21	10	7	25					
10	Число действительных избирательных бюллетеней	30076	1557	1075	1469	1552	1196	1401	1642	1558	1141	1374	895	2023	1511	1395	757	1541	1528	1414	1424	1304	786	1533					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	921	50	32	40	50	40	35	42	57	30	39	38	70	37	30	0	94	36	44	44	40	35	38					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	908	49	32	40	50	36	33	42	56	30	39	37	70	37	30	0	94	36	42	44	39	34	38					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	2858	43	44	211	30	205	97	166	97	101	112	38	307	123	131	584	226	133	21	57	67	18	47					
14	Число погашенных неиспользованных открепительных удостоверений	13	1	0	0	0	4	2	0	1	0	0	1	0	0	0	0	0	0	2	0	1	1	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	2	6	4	3	7	3	3	5	0	3	3	2	2	5	0	4	3	6	2	9	4	2					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																													
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4335	258	175	214	222	166	212	243	223	130	165	111	279	197	205	84	205	219	204	230	207	113	273					
		14.23%	16.42%	16.13%	14.41%	13.91%	13.74%	14.90%	14.67%	14.18%	11.18%	11.84%	12.17%	13.67%	12.89%	14.53%	10.88%	13.21%	14.10%	14.23%	15.92%	15.75%	14.25%	17.52%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3871	222	131	165	232	194	180	188	188	161	207	130	229	157	136	195	203	182	174	167	152	96	182					
