Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Переславская																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  545	УИК  546	УИК  547	УИК  548	УИК  549	УИК  550	УИК  551	УИК  552	УИК  553	УИК  554	УИК  555	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572					
1	"Число избирателей, внесенных в списки"	17776	762	335	388	329	300	1068	532	622	572	358	319	416	302	1829	358	163	446	389	718	506	1459	748	377	309	1529	1212	797	633					
2	"Число бюллетеней, полученных участковыми комиссиями"	18082	780	330	390	340	300	1070	530	620	550	355	330	420	310	1853	370	170	450	380	710	530	1400	750	590	310	1544	1230	810	660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8688	371	174	97	133	146	580	155	291	243	159	153	151	109	967	149	65	150	152	423	264	775	351	294	166	908	580	439	243					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2706	99	54	134	81	47	167	205	120	166	122	48	150	107	103	128	62	146	71	32	76	12	156	83	43	108	61	41	84					
6	Число погашенных бюллетеней	6687	310	102	159	126	107	323	170	209	141	74	129	119	94	783	93	43	154	157	255	190	613	242	213	101	528	589	330	333					
7	Число бюллетеней в переносных ящиках для голосования	2706	99	54	134	81	47	167	205	120	166	122	48	150	107	103	128	62	146	71	32	76	12	156	83	43	108	61	41	84					
8	Число бюллетеней в стационарных ящиках для голосования	8688	371	174	97	133	146	580	155	291	243	159	153	151	109	967	149	65	150	152	423	264	775	351	294	166	908	580	439	243					
9	Число недействительных бюллетеней	241	5	4	5	9	9	22	2	7	3	0	0	7	4	13	1	1	5	2	13	6	30	3	15	1	24	6	27	17					
10	Число действительных бюллетеней	11153	465	224	226	205	184	725	358	404	406	281	201	294	212	1057	276	126	291	221	442	334	757	504	362	208	992	635	453	310					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	600	25	15	15	15	15	35	20	25	20	15	15	15	15	35	15	15	15	15	25	20	35	25	20	15	35	35	25	25					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	89	4	0	0	8	3	11	2	1	0	1	2	0	2	14	2	0	0	0	1	9	9	2	4	0	4	8	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	0	7	6	2	0	9	1	3	4	3	0	3	0	5	3	0	2	2	3	2	0	1	2	0	2	20	6	2					
14	Число погашенных открепительных удостоверений	511	21	15	15	7	12	24	18	24	20	14	13	15	13	21	13	15	15	15	24	11	26	23	16	15	31	27	23	25					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	151	4	3	1	0	4	10	7	13	11	2	5	4	3	11	7	1	4	0	4	6	11	4	4	0	11	8	5	8					
		1.32%	0.85%	1.31%	0.43%	0.0%	2.07%	1.33%	1.94%	3.16%	2.68%	0.71%	2.48%	1.32%	1.38%	1.02%	2.52%	0.78%	1.35%	0.0%	0.87%	1.76%	1.39%	0.78%	1.06%	0.0%	1.08%	1.24%	1.04%	2.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	114	4	3	3	1	1	7	4	4	3	8	1	2	1	11	4	2	7	1	10	0	6	3	2	0	3	11	9	3					
		1.00%	0.85%	1.31%	1.29%	0.46%	0.51%	0.93%	1.11%	0.97%	0.73%	2.84%	0.49%	0.66%	0.46%	1.02%	1.44%	1.57%	2.36%	0.44%	2.19%	0.0%	0.76%	0.59%	0.53%	0.0%	0.29%	1.71%	1.87%	0.91%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	288	16	2	5	2	3	16	7	17	8	4	5	8	7	32	4	5	14	4	8	4	29	4	7	7	33	14	13	10					
		2.52%	3.40%	0.87%	2.16%	0.93%	1.55%	2.14%	1.94%	4.13%	1.95%	1.42%	2.48%	2.65%	3.24%	2.99%	1.44%	3.93%	4.72%	1.79%	1.75%	1.17%	3.68%	0.78%	1.85%	3.34%	3.24%	2.18%	2.70%	3.05%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	153	5	4	6	1	4	10	5	1	8	2	4	1	1	11	9	1	5	3	9	4	11	1	1	6	12	12	7	9					
		1.34%	1.06%	1.75%	2.59%	0.46%	2.07%	1.33%	1.38%	0.24%	1.95%	0.71%	1.99%	0.33%	0.46%	1.02%	3.24%	0.78%	1.68%	1.34%	1.97%	1.17%	1.39%	0.19%	0.26%	2.87%	1.18%	1.87%	1.45%	2.75%					
22	"5. ""За Русь Святую"""	102	3	2	3	0	0	12	2	9	6	0	0	4	6	3	2	1	2	1	3	2	5	8	2	1	12	4	2	7					
		0.89%	0.63%	0.87%	1.29%	0.0%	0.0%	1.60%	0.55%	2.18%	1.46%	0.0%	0.0%	1.32%	2.77%	0.28%	0.72%	0.78%	0.67%	0.44%	0.65%	0.58%	0.63%	1.57%	0.53%	0.47%	1.18%	0.62%	0.41%	2.14%					
23	"6. ""Объединенная Российская партия ""Русь"""	38	1	2	0	2	1	1	0	2	0	0	1	1	1	5	1	0	0	0	1	0	3	2	2	0	6	4	2	0					
		0.33%	0.21%	0.87%	0.0%	0.93%	0.51%	0.13%	0.0%	0.48%	0.0%	0.0%	0.49%	0.33%	0.46%	0.46%	0.36%	0.0%	0.0%	0.0%	0.21%	0.0%	0.38%	0.39%	0.53%	0.0%	0.59%	0.62%	0.41%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	58	0	2	1	2	0	6	1	1	1	2	0	0	0	5	5	1	3	1	2	1	3	1	2	1	3	11	1	2					
		0.50%	0.0%	0.87%	0.43%	0.93%	0.0%	0.80%	0.27%	0.24%	0.24%	0.71%	0.0%	0.0%	0.0%	0.46%	1.80%	0.78%	1.01%	0.44%	0.43%	0.29%	0.38%	0.19%	0.53%	0.47%	0.29%	1.71%	0.20%	0.61%					
25	"8. ""Народно-республиканская партия России"""	24	0	0	0	0	2	0	0	2	1	1	0	0	0	2	1	0	0	0	2	1	0	2	6	0	1	2	0	1					
		0.21%	0.0%	0.0%	0.0%	0.0%	1.03%	0.0%	0.0%	0.48%	0.24%	0.35%	0.0%	0.0%	0.0%	0.18%	0.36%	0.0%	0.0%	0.0%	0.43%	0.29%	0.0%	0.39%	1.59%	0.0%	0.09%	0.31%	0.0%	0.30%					
26	"9. ""Российская экологическая партия ""Зеленые"""	24	1	1	0	1	0	0	0	1	0	2	0	1	0	0	0	0	3	0	1	0	2	3	1	1	3	2	0	1					
		0.21%	0.21%	0.43%	0.0%	0.46%	0.0%	0.0%	0.0%	0.24%	0.0%	0.71%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	1.01%	0.0%	0.21%	0.0%	0.25%	0.59%	0.26%	0.47%	0.29%	0.31%	0.0%	0.30%					
27	"10. ""Аграрная партия России"""	1013	43	27	37	21	22	30	36	46	20	16	39	36	32	135	48	32	30	7	19	52	19	60	62	43	36	43	13	9					
		8.89%	9.14%	11.84%	16.01%	9.81%	11.39%	4.01%	10.0%	11.19%	4.88%	5.69%	19.40%	11.96%	14.81%	12.61%	17.32%	25.19%	10.13%	3.13%	4.17%	15.29%	2.41%	11.83%	16.44%	20.57%	3.54%	6.70%	2.70%	2.75%					
28	"11. ""Истинные патриоты России"""	14	0	0	0	0	0	1	4	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	0	0	2	0	0	1					
		0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	1.11%	0.0%	0.24%	0.0%	0.0%	0.33%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.12%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.30%					
