Выборы Президента Российской Федерации																																																																							
																																																																							
Наименование Избирательной комиссии:    Mихайловская																																																																							
																																																																							
Итоги голосования 																																																																							
																																																																							
		Сумма	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310									
1	Число избирателей, внесенных в список	30144	1427	1321	1193	811	833	857	909	1396	253	726	607	749	1076	936	1201	424	835	527	495	214	1034	460	125	97	499	102	1019	180	82	206	154	449	289	199	134	973	252	328	287	155	224	148	447	81	174	335	364	241	409	485	353	94	392	187	84	216	369	322	319	1086									
2	Число полученных избирательных бюллетеней	29810	1400	1280	1200	790	820	840	900	1370	245	720	600	750	1070	920	1180	420	830	530	500	215	1030	450	120	95	500	105	1010	180	80	200	150	450	285	200	135	970	250	330	280	150	230	140	450	80	170	320	365	240	400	480	350	95	400	180	85	220	365	320	300	1070									
3	Число избирательных бюллетеней, выданных  досрочно	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	14906	730	651	611	392	420	372	443	609	157	324	300	301	414	433	466	180	424	258	344	117	524	284	63	64	258	22	485	74	38	68	93	183	125	146	87	425	122	172	251	115	116	91	261	48	98	211	159	168	170	252	201	29	190	85	51	78	193	175	262	523									
5	Число избирательных бюллетеней, выданных вне помещения	2180	54	23	35	30	33	7	10	20	19	8	23	30	17	0	6	9	0	25	17	14	137	55	14	7	61	50	123	55	27	60	34	105	50	20	15	89	74	57	0	0	40	12	5	5	15	62	59	10	69	10	70	53	105	65	16	73	15	28	12	43									
6	Число погашенных избирательных бюллетеней	12724	616	606	554	368	367	461	447	741	69	388	277	419	639	487	708	231	406	247	139	84	369	111	43	24	181	33	402	51	15	72	23	162	110	34	33	456	54	101	29	35	74	37	184	27	57	47	147	62	161	218	79	13	105	30	18	69	157	117	26	504									
7	Число избирательных бюллетеней в переносных ящиках	2178	54	23	35	30	33	7	10	20	19	8	23	30	17	0	6	9	0	25	17	14	137	55	14	7	60	49	123	55	27	60	34	105	50	20	15	89	74	57	0	0	40	12	5	5	15	62	59	10	69	10	70	53	105	65	16	73	15	28	12	43									
8	Число бюллетеней в стационарных ящиках для голосования	14894	730	651	611	392	420	372	443	609	157	324	300	301	414	433	466	180	424	258	344	117	524	284	63	64	246	22	485	74	38	68	93	183	125	146	87	425	122	172	251	115	116	91	261	48	98	211	159	168	170	252	201	29	190	85	51	78	193	175	262	523									
9	Число недействительных избирательных бюллетеней	256	8	7	10	7	4	8	8	6	10	8	7	6	7	2	8	2	5	9	0	4	8	5	1	1	1	0	17	0	1	0	1	4	4	1	4	6	3	1	0	0	2	3	3	2	1	3	5	2	1	3	8	0	6	2	0	4	4	3	6	14									
10	Число действительных избирательных бюллетеней	16816	776	667	636	415	449	371	445	623	166	324	316	325	424	431	464	187	419	274	361	127	653	334	76	70	305	71	591	129	64	128	126	284	171	165	98	508	193	228	251	115	154	100	263	51	112	270	213	176	238	259	263	82	289	148	67	147	204	200	268	552									
11	Число полученных открепительных  удостоверений	680	30	20	25	20	20	25	15	20	5	20	15	15	20	20	15	20	15	15	15	5	20	10	5	5	10	5	20	5	3	5	5	10	5	5	3	20	15	10	5	5	8	5	10	2	5	10	10	10	10	10	7	2	10	5	3	10	10	6	6	15									
12	Число выданных открепительных удостоверений	104	5	4	3	4	1	16	9	3	0	2	0	4	0	3	4	1	0	3	0	1	1	1	0	0	0	0	4	0	0	0	0	1	0	1	0	7	0	2	3	0	0	0	2	0	0	0	0	0	0	0	1	0	1	5	1	8	0	0	1	2									
13	Число избирателей, проголосовавших по открепительным удостоверениям	145	3	9	5	2	2	6	0	5	1	1	2	0	2	1	2	3	1	3	0	2	6	5	3	3	3	0	6	0	0	2	0	1	2	1	2	4	2	5	2	2	2	4	3	2	0	2	0	0	2	1	3	2	1	3	0	1	2	1	5	12									
14	Число неиспользованных открепительных удостоверений	576	25	16	22	16	19	9	6	17	5	18	15	11	20	17	11	19	15	12	15	4	19	9	5	5	10	5	16	5	3	5	5	9	5	4	3	13	15	8	2	5	8	5	8	2	5	10	10	10	10	10	6	2	9	0	2	2	10	6	5	13									
15	Число открепительных удостоверений, выданных в ТИК	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
