Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																							
Дата голосования: 04.12.2011																							
																							
Наименование Избирательной комиссии:    Левобережный район																							
																							
Сводная таблица результатов выборов																							
																							
		Сумма	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №3248	УИК №3249	УИК №3250					
1	"Число избирателей, внесенных в список избирателей"	34245	2559	2836	2771	2680	2650	2430	2482	2578	2452	2700	2079	2530	2162	489	761	86					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28750	2100	2300	2200	2200	2100	2000	2000	2100	2100	2300	2050	2100	1700	600	800	100					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	23016	1251	1740	1842	1705	1647	1716	1571	1996	1806	1686	1715	1640	1568	489	558	86					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1132	216	109	29	141	119	41	30	81	40	42	10	41	30	0	203	0					
6	Число погашенных избирательных бюллетеней	4602	633	451	329	354	334	243	399	23	254	572	325	419	102	111	39	14					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1132	216	109	29	141	119	41	30	81	40	42	10	41	30	0	203	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22788	1247	1740	1747	1705	1647	1670	1568	1996	1799	1613	1715	1640	1568	489	558	86					
9	Число недействительных избирательных бюллетеней	365	12	39	29	31	29	25	30	20	17	27	51	17	29	6	0	3					
10	Число действительных избирательных бюллетеней	23555	1451	1810	1747	1815	1737	1686	1568	2057	1822	1628	1674	1664	1569	483	761	83					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	610	40	55	50	60	45	50	40	45	60	65	30	30	30	0	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	501	38	40	42	60	39	41	35	39	50	56	3	29	22	0	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	600	29	28	53	20	77	24	26	29	55	33	32	30	39	16	107	2					
14	Число погашенных неиспользованных открепительных удостоверений	109	2	15	8	0	6	9	5	6	10	9	27	1	8	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	7	2	7	4	3	3	0	3	6	9	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1758	27	105	123	279	187	52	134	171	98	103	110	131	210	8	4	16					
		7.35%	1.85%	5.68%	6.93%	15.11%	10.59%	3.04%	8.39%	8.23%	5.33%	6.22%	6.38%	7.79%	13.14%	1.64%	0.53%	18.60%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1352	43	101	94	127	125	127	108	100	118	96	136	63	93	9	3	9					
		5.65%	2.94%	5.46%	5.29%	6.88%	7.08%	7.42%	6.76%	4.81%	6.42%	5.80%	7.88%	3.75%	5.82%	1.84%	0.39%	10.47%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	238	38	18	13	16	14	20	2	40	18	18	5	21	12	0	2	1					
		0.99%	2.60%	0.97%	0.73%	0.87%	0.79%	1.17%	0.13%	1.93%	0.98%	1.09%	0.29%	1.25%	0.75%	0.00%	0.26%	1.16%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3811	347	354	335	319	284	335	300	292	425	202	149	103	307	33	17	9					
		15.93%	23.72%	19.15%	18.86%	17.28%	16.08%	19.58%	18.77%	14.06%	23.11%	12.21%	8.64%	6.13%	19.21%	6.75%	2.23%	10.47%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1637	117	173	135	249	191	121	1	97	130	170	47	108	91	2	2	3					
		6.84%	7.99%	9.36%	7.60%	13.49%	10.82%	7.07%	0.06%	4.67%	7.07%	10.27%	2.72%	6.42%	5.69%	0.41%	0.26%	3.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14620	869	1048	1031	817	921	1020	1022	1337	1028	1024	1219	1228	848	431	732	45					
		61.12%	59.40%	56.68%	58.05%	44.26%	52.15%	59.61%	63.95%	64.37%	55.90%	61.87%	70.67%	73.05%	53.07%	88.14%	96.19%	52.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	139	10	11	16	8	15	11	1	20	5	15	8	10	8	0	1	0					
		0.58%	0.68%	0.59%	0.90%	0.43%	0.85%	0.64%	0.06%	0.96%	0.27%	0.91%	0.46%	0.59%	0.50%	0.00%	0.13%	0.00%					
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
