Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Лесосибирская городская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536					
1	"Число избирателей, внесенных в список избирателей"	53769	1461	1182	1546	517	1992	1861	1396	2502	2136	2225	2389	1440	1535	1611	395	2304	2623	358	2340	1781	1751	2932	1734	639	469	2245	2478	2895	2009	2510	513					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53675	1440	1185	1555	515	2000	1710	1280	2510	2165	2240	2400	1445	1525	1625	400	2310	2630	350	2315	1800	1760	3000	1740	635	470	2290	2470	2900	2000	2520	490					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	22909	546	444	605	188	766	815	619	1183	1041	1018	1212	582	655	751	129	1114	1333	239	829	648	569	1174	818	226	171	964	1029	1088	917	1115	121					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	935	36	22	60	3	20	87	22	44	23	22	22	1	30	19	11	30	50	17	60	25	21	56	28	7	6	15	41	45	45	12	55					
6	Число погашенных избирательных бюллетеней	29831	858	719	890	324	1214	808	639	1283	1101	1200	1166	862	840	855	260	1166	1247	94	1426	1127	1170	1770	894	402	293	1311	1400	1767	1038	1393	314					
7	Число избирательных бюллетеней в переносных ящиках для голосования	935	36	22	60	3	20	87	22	44	23	22	22	1	30	19	11	30	50	17	60	25	21	56	28	7	6	15	41	45	45	12	55					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22905	546	444	605	188	766	815	619	1183	1041	1014	1212	582	655	751	129	1114	1333	239	829	648	569	1174	818	226	171	964	1029	1088	917	1115	121					
9	Число недействительных избирательных бюллетеней	352	13	6	10	4	10	9	13	17	12	15	17	7	9	13	4	22	21	13	16	9	6	17	12	3	2	10	10	11	18	14	9					
10	Число действительных избирательных бюллетеней	23488	569	460	655	187	776	893	628	1210	1052	1021	1217	576	676	757	136	1122	1362	243	873	664	584	1213	834	230	175	969	1060	1122	944	1113	167					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	605	10	20	10	10	20	20	20	25	25	25	30	20	20	20	10	25	25	10	25	20	20	25	20	20	10	20	20	25	20	25	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	286	8	17	10	0	7	19	8	19	11	10	18	7	4	10	4	13	9	4	14	13	1	18	11	3	3	9	7	6	9	10	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	164	2	2	2	5	5	9	10	7	2	7	5	6	6	6	1	1	6	4	12	5	0	9	8	1	2	7	13	5	7	1	8					
14	Число погашенных неиспользованных открепительных удостоверений	319	2	3	0	10	13	1	12	6	14	15	12	13	16	10	6	12	16	6	11	7	19	7	9	17	7	11	13	19	11	15	6					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	2	0	0	1	0	0	0	2	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	1	1	1	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3628	87	61	92	17	91	158	93	199	191	159	225	94	88	117	17	219	204	40	133	100	83	180	125	48	27	140	131	155	153	174	27					
		15.22%	14.95%	13.09%	13.83%	8.90%	11.58%	17.52%	14.51%	16.22%	17.95%	15.35%	18.23%	16.12%	12.85%	15.19%	12.14%	19.14%	14.75%	15.63%	14.96%	14.86%	14.07%	14.63%	14.78%	20.60%	15.25%	14.30%	12.24%	13.68%	15.90%	15.44%	15.34%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	4208	79	77	60	51	167	161	131	176	175	169	210	120	128	159	35	173	223	29	152	102	81	201	165	47	37	194	220	227	181	240	38					
		17.65%	13.57%	16.52%	9.02%	26.70%	21.25%	17.85%	20.44%	14.34%	16.45%	16.31%	17.02%	20.58%	18.69%	20.65%	25.00%	15.12%	16.12%	11.33%	17.10%	15.16%	13.73%	16.34%	19.50%	20.17%	20.90%	19.82%	20.56%	20.04%	18.81%	21.30%	21.59%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	200	3	4	2	2	6	9	1	10	10	8	11	6	3	10	2	10	13	3	5	10	4	10	7	2	2	7	13	8	6	12	1					
		0.84%	0.52%	0.86%	0.30%	1.05%	0.76%	0.99%	0.16%	0.81%	0.94%	0.77%	0.89%	1.03%	0.44%	1.30%	1.43%	0.87%	0.94%	1.17%	0.56%	1.49%	0.68%	0.81%	0.83%	0.86%	1.13%	0.72%	1.21%	0.71%	0.62%	1.06%	0.57%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6501	110	115	210	34	188	239	162	399	314	320	355	151	222	201	23	321	390	88	215	197	180	320	250	67	37	241	296	259	272	287	38					
		27.27%	18.90%	24.68%	31.58%	17.80%	23.92%	26.50%	25.27%	32.52%	29.51%	30.89%	28.77%	25.90%	32.41%	26.10%	16.43%	28.06%	28.20%	34.38%	24.18%	29.27%	30.51%	26.02%	29.55%	28.76%	20.90%	24.62%	27.66%	22.86%	28.27%	25.47%	21.59%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	625	6	4	8	0	9	24	8	47	40	43	44	18	19	18	4	49	60	5	29	10	23	25	12	5	4	22	26	14	20	23	6					
		2.62%	1.03%	0.86%	1.20%	0.00%	1.15%	2.66%	1.25%	3.83%	3.76%	4.15%	3.57%	3.09%	2.77%	2.34%	2.86%	4.28%	4.34%	1.95%	3.26%	1.49%	3.90%	2.03%	1.42%	2.15%	2.26%	2.25%	2.43%	1.24%	2.08%	2.04%	3.41%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8155	283	195	279	82	312	294	229	366	310	308	367	183	214	242	54	338	464	76	331	239	211	470	271	58	68	361	368	451	307	370	54					
		34.21%	48.63%	41.85%	41.95%	42.93%	39.69%	32.59%	35.73%	29.83%	29.14%	29.73%	29.74%	31.39%	31.24%	31.43%	38.57%	29.55%	33.55%	29.69%	37.23%	35.51%	35.76%	38.21%	32.03%	24.89%	38.42%	36.87%	34.39%	39.81%	31.91%	32.83%	30.68%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	171	1	4	4	1	3	8	4	13	12	14	5	4	2	10	1	12	8	2	8	6	2	7	4	3	0	4	6	8	5	7	3					
		0.72%	0.17%	0.86%	0.60%	0.52%	0.38%	0.89%	0.62%	1.06%	1.13%	1.35%	0.41%	0.69%	0.29%	1.30%	0.71%	1.05%	0.58%	0.78%	0.90%	0.89%	0.34%	0.57%	0.47%	1.29%	0.00%	0.41%	0.56%	0.71%	0.52%	0.62%	1.70%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
