Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																				
Дата голосования: 07.12.2003 0:00:00																																																				
																																																				
Наименование Избирательной комиссии:    Верхнетоемская																																																				
																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																				
																																																				
		Сумма	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268									
1	"Число избирателей, внесенных в списки"	16331	251	239	294	74	670	151	463	323	189	97	215	140	1150	2087	2204	148	381	167	472	124	16	27	292	227	232	168	1290	92	109	250	390	82	694	130	553	63	45	804	466	292	270									
2	"Число бюллетеней, полученных участковыми комиссиями"	16976	250	250	290	80	760	150	500	340	210	90	220	150	1180	2150	2206	155	380	180	460	125	25	35	310	230	230	180	1390	100	110	260	400	90	710	160	640	80	60	820	470	280	270									
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9618	136	158	209	57	343	99	322	188	129	68	117	83	705	1209	1240	106	210	119	213	71	15	27	175	140	151	110	796	67	68	166	222	62	427	94	273	31	32	394	249	169	168									
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	912	8	2	11	0	101	0	10	5	5	0	11	9	43	89	30	1	52	15	50	0	0	0	34	12	13	0	101	2	17	12	32	10	25	20	84	25	0	33	36	14	0									
6	Число погашенных бюллетеней	6446	106	90	70	23	316	51	168	147	76	22	92	58	432	852	936	48	118	46	197	54	10	8	101	78	66	70	493	31	25	82	146	18	258	46	283	24	28	393	185	97	102									
7	Число бюллетеней в переносных ящиках для голосования	912	8	2	11	0	101	0	10	5	5	0	11	9	43	89	30	1	52	15	50	0	0	0	34	12	13	0	101	2	17	12	32	10	25	20	84	25	0	33	36	14	0									
8	Число бюллетеней в стационарных ящиках для голосования	9617	135	158	209	57	343	99	322	188	129	68	117	83	705	1209	1240	106	210	119	213	71	15	27	175	140	151	110	796	67	68	166	222	62	427	94	273	31	32	394	249	169	168									
9	Число недействительных бюллетеней	142	0	7	1	2	10	0	0	4	2	0	0	0	7	13	22	0	4	3	2	1	0	0	3	2	6	1	17	1	3	6	1	3	7	0	2	1	0	5	5	0	1									
10	Число действительных бюллетеней	10387	143	153	219	55	434	99	332	189	132	68	128	92	741	1285	1248	107	258	131	261	70	15	27	206	150	158	109	880	68	82	172	253	69	445	114	355	55	32	422	280	183	167									
