Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Тигильская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8					
1	"Число избирателей, внесенных в списки"	6617	179	974	272	426	1603	138	2745	280					
2	"Число бюллетеней, полученных участковыми комиссиями"	6490	190	990	270	420	1570	140	2630	280					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	9	0	0	2	7	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4100	111	565	199	265	956	111	1686	207					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	238	7	21	6	2	116	0	83	3					
6	Число погашенных бюллетеней	2143	72	404	63	146	498	29	861	70					
7	Число бюллетеней в переносных ящиках для голосования	247	7	21	8	9	116	0	83	3					
8	Число бюллетеней в стационарных ящиках для голосования	4099	111	565	199	265	956	111	1685	207					
9	Число недействительных бюллетеней	83	2	9	2	8	27	0	30	5					
10	Число действительных бюллетеней	4263	116	577	205	266	1045	111	1738	205					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	159	10	36	10	10	37	10	36	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	17	0	3	2	2	3	0	6	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	0	0	0	0	2	2	3	0					
14	Число погашенных открепительных удостоверений	142	10	33	8	8	34	10	30	9					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	142	5	11	15	13	37	1	40	20					
		3.26%	4.23%	1.87%	7.24%	4.74%	3.45%	0.90%	2.26%	9.52%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	92	2	9	4	5	32	2	36	2					
		2.11%	1.69%	1.53%	1.93%	1.82%	2.98%	1.80%	2.03%	0.95%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	99	8	7	7	5	26	2	36	8					
		2.27%	6.77%	1.19%	3.38%	1.82%	2.42%	1.80%	2.03%	3.80%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	161	1	9	6	5	52	2	86	0					
		3.70%	0.84%	1.53%	2.89%	1.82%	4.85%	1.80%	4.86%	0.0%					
22	"5. ""За Русь Святую"""	41	1	2	1	3	10	1	16	7					
		0.94%	0.84%	0.34%	0.48%	1.09%	0.93%	0.90%	0.90%	3.33%					
23	"6. ""Объединенная Российская партия ""Русь"""	18	1	2	0	2	8	1	4	0					
		0.41%	0.84%	0.34%	0.0%	0.72%	0.74%	0.90%	0.22%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	12	0	2	0	1	1	1	6	1					
		0.27%	0.0%	0.34%	0.0%	0.36%	0.09%	0.90%	0.33%	0.47%					
25	"8. ""Народно-республиканская партия России"""	13	0	0	0	7	3	2	1	0					
		0.29%	0.0%	0.0%	0.0%	2.55%	0.27%	1.80%	0.05%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	10	0	1	0	0	6	0	3	0					
		0.23%	0.0%	0.17%	0.0%	0.0%	0.55%	0.0%	0.16%	0.0%					
27	"10. ""Аграрная партия России"""	68	0	3	0	5	18	0	41	1					
		1.56%	0.0%	0.51%	0.0%	1.82%	1.67%	0.0%	2.31%	0.47%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	3	1	0	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.27%	0.90%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	26	2	3	1	3	8	0	9	0					
		0.59%	1.69%	0.51%	0.48%	1.09%	0.74%	0.0%	0.50%	0.0%					
30	"13. ""Демократическая партия России"""	9	0	1	0	1	1	0	6	0					
		0.20%	0.0%	0.17%	0.0%	0.36%	0.09%	0.0%	0.33%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	10	0	2	0	0	3	0	5	0					
		0.23%	0.0%	0.34%	0.0%	0.0%	0.27%	0.0%	0.28%	0.0%					
32	"15. ""Партия СЛОН"""	2	0	1	0	0	1	0	0	0					
		0.04%	0.0%	0.17%	0.0%	0.0%	0.09%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	272	2	32	2	13	89	3	126	5					
		6.25%	1.69%	5.46%	0.96%	4.74%	8.30%	2.70%	7.12%	2.38%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	17	3	1	3	0	3	0	6	1					
