Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Змеиногорская городская 																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394					
1	"Число избирателей, внесенных в списки"	10007	1267	1219	1256	1212	1283	1246	1018	1294	212					
2	"Число бюллетеней, полученных участковыми комиссиями"	8000	1000	1000	1000	1000	1000	1000	800	1000	200					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4914	643	532	509	605	680	626	517	651	151					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	331	28	46	42	60	59	31	30	26	9					
6	Число погашенных бюллетеней	2755	329	422	449	335	261	343	253	323	40					
7	Число бюллетеней в переносных ящиках для голосования	331	28	46	42	60	59	31	30	26	9					
8	Число бюллетеней в стационарных ящиках для голосования	4912	643	532	509	604	680	626	516	651	151					
9	Число недействительных бюллетеней	56	8	11	6	7	3	4	6	11	0					
10	Число действительных бюллетеней	5187	663	567	545	657	736	653	540	666	160					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	98	12	12	12	12	12	12	12	12	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	22	1	0	3	3	3	4	0	8	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	8	2	1	1	1	0	0	0	3	0					
14	Число погашенных открепительных удостоверений	76	11	12	9	9	9	8	12	4	2					
15	Число открепительных удостоверений выданных ТИК	2	0	0	1	1	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	36	4	3	4	2	6	10	3	3	1					
		0.68%	0.59%	0.51%	0.72%	0.30%	0.81%	1.52%	0.54%	0.44%	0.62%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	155	21	10	11	25	29	32	11	15	1					
		2.95%	3.12%	1.73%	1.99%	3.76%	3.92%	4.87%	2.01%	2.21%	0.62%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	121	9	13	10	12	17	15	18	21	6					
		2.30%	1.34%	2.24%	1.81%	1.80%	2.30%	2.28%	3.29%	3.10%	3.75%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	178	20	13	25	16	25	16	22	37	4					
		3.39%	2.98%	2.24%	4.53%	2.40%	3.38%	2.43%	4.02%	5.46%	2.5%					
22	"5. ""За Русь Святую"""	10	3	0	1	1	3	1	0	1	0					
		0.19%	0.44%	0.0%	0.18%	0.15%	0.40%	0.15%	0.0%	0.14%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	2	0	0	2	0	4	1	0	0					
