Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Район Крылатское																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК №2382	УИК №2383	УИК №2384	УИК №2385	УИК №2386	УИК №2387	УИК №2388	УИК №2389	УИК №2390	УИК №2391	УИК №2392	УИК №2393	УИК №2394	УИК №2395	УИК №2396	УИК №2397	УИК №2398	УИК №2399	УИК №2400	УИК №2401	УИК №2402	УИК №2403	УИК №3175	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5146	УИК №5147	УИК №5148	УИК №5149	УИК №5195	УИК №5210	УИК №5222	УИК №5226	УИК №5227	УИК №5228	УИК №5303	УИК №5304	УИК №5305	УИК №5306	УИК №5343					
1	"Число избирателей, внесенных в списки"	60523	2788	2798	2891	2594	2244	2593	2082	2251	2699	2724	2713	2582	2407	2355	2789	2804	2793	2356	2828	1322	1411	1208	133	108	13	1010	1003	154	84	460	113	100	155	116	181	56	171	242	91	173	854	1525	397	152					
2	"Число бюллетеней, полученных участковыми комиссиями"	100056	2800	2800	2900	2600	2250	2600	2050	2250	2200	2700	2700	2550	2400	2350	2650	2800	2800	2350	2800	2150	2350	1200	250	115	15	1000	1399	151	200	409	200	150	152	400	215	140	1200	270	130	500	1700	1200	500	35510					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	36643	1714	1600	1617	1575	1414	1522	1236	1280	1876	1660	1700	1493	1454	1401	1592	1660	1589	1330	1629	1310	1392	705	126	99	13	595	199	66	62	253	57	70	48	104	179	56	164	95	90	173	851	355	89	150					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	528	33	27	30	19	14	26	21	26	8	33	16	25	27	16	19	55	24	46	15	12	19	11	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2					
6	Число погашенных бюллетеней	62413	1053	1173	1253	1006	822	1052	793	944	316	1007	984	1032	919	933	1039	1085	1187	974	1156	828	939	484	124	16	2	405	740	85	137	156	143	80	104	285	36	84	1036	175	39	327	846	845	411	35358					
7	Число бюллетеней в переносных ящиках для голосования	539	33	27	30	19	14	26	21	26	8	33	16	25	27	16	19	55	24	46	15	12	19	11	0	0	0	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	3	0	0	2					
8	Число бюллетеней в стационарных ящиках для голосования	36959	1714	1600	1608	1562	1414	1522	1234	1278	1876	1656	1672	1480	1442	1401	1570	1660	1582	1330	1623	1307	1392	705	126	99	13	595	649	66	62	253	56	70	48	104	179	56	164	95	90	173	850	345	89	149					
9	Число недействительных бюллетеней	238	10	9	11	10	17	5	12	10	29	8	15	5	10	11	0	14	6	2	4	10	11	6	1	2	0	0	3	0	0	3	1	0	1	0	1	0	0	0	2	0	5	2	0	2					
10	Число действительных бюллетеней	37260	1737	1618	1627	1571	1411	1543	1243	1294	1855	1681	1673	1500	1459	1406	1589	1701	1600	1374	1634	1309	1400	710	125	97	13	595	646	66	63	250	55	70	47	115	178	56	164	95	88	173	848	343	89	149					
