Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																												
Дата голосования: 02.12.2007																												
																												
Наименование Избирательной комиссии:    Полысаевская городская																												
																												
Сводная таблица результатов выборов																												
																												
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804					
1	"Число избирателей, внесенных в списки избирателей"	22163	1132	1003	1247	1198	1133	1128	947	837	1332	877	849	709	791	1316	903	1030	1991	606	920	840	1374					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	21400	1100	950	1200	1195	1100	1000	930	830	1310	830	840	660	760	1300	900	1000	1810	600	900	825	1360					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	18021	877	722	928	849	997	836	810	682	1169	657	666	512	661	1054	846	959	1625	409	727	733	1302					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1277	21	37	26	12	45	161	61	67	60	53	39	52	75	102	30	33	66	123	88	75	51					
6	Число погашенных избирательных бюллетеней	2102	202	191	246	334	58	3	59	81	81	120	135	96	24	144	24	8	119	68	85	17	7					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1277	21	37	26	12	45	161	61	67	60	53	39	52	75	102	30	33	66	123	88	75	51					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	18021	877	722	928	849	997	836	810	682	1169	657	666	512	661	1054	846	959	1625	409	727	733	1302					
9	Число недействительных избирательных бюллетеней	75	12	9	6	4	6	5	0	0	7	3	3	5	3	0	0	0	0	0	12	0	0					
10	Число действительных избирательных бюллетеней	19223	886	750	948	857	1036	992	871	749	1222	707	702	559	733	1156	876	992	1691	532	803	808	1353					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	252	12	12	13	19	12	12	12	12	12	12	12	12	11	13	12	12	12	4	12	12	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	241	12	12	13	19	12	12	12	12	12	12	12	10	10	13	12	12	12	4	8	8	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	221	13	7	5	2	8	16	9	7	11	3	12	7	14	12	11	6	24	5	41	5	3					
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	4	4	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	1	0	3	0	2	2	2	0	2	1	1	2	1	2	2	1	4	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																												
18	1.Политическая партия «Аграрная партия России»	177	8	4	13	15	8	5	23	6	11	9	6	6	11	11	1	7	11	0	11	6	5					
		0.92%	0.89%	0.53%	1.36%	1.74%	0.77%	0.50%	2.64%	0.80%	0.90%	1.27%	0.85%	1.06%	1.49%	0.95%	0.11%	0.71%	0.65%	0.00%	1.35%	0.74%	0.37%					
19	2.Всероссийская политическая партия «Гражданская Сила»	86	3	2	10	6	5	6	5	1	5	0	5	1	4	6	3	4	10	0	3	1	6					
		0.45%	0.33%	0.26%	1.05%	0.70%	0.48%	0.60%	0.57%	0.13%	0.41%	0.00%	0.71%	0.18%	0.54%	0.52%	0.34%	0.40%	0.59%	0.00%	0.37%	0.12%	0.44%					
20	3.Политическая партия «Демократическая партия России»	27	0	1	1	0	1	0	4	2	0	0	2	0	1	4	2	2	4	0	2	0	1					
