Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Березниковская городская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	118213	2878	2300	1672	275	2504	1316	2203	2710	1873	1391	2538	1917	2628	2142	1921	2454	2352	2667	2250	2419	2712	1910	2308	2067	2352	2170	2454	2283	2424	2106	2694	2486	2878	2403	2497	2263	2546	1308	2337	2281	2142	2236	2607	2475	2117	2426	2249	2284	1680	2733	2163	2208	1805	115	84									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	94200	2200	2000	1300	250	2000	1000	1700	2000	1500	1100	2000	1500	2000	1700	1500	2000	2000	2000	1700	2000	2100	1500	2000	1600	2000	1700	2000	2000	2000	1600	2000	2000	2200	2000	2000	1700	2000	1000	2000	2000	1700	1900	2000	2000	1600	2000	1700	2000	1300	2100	1700	1700	1400	150	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	27690	656	474	300	72	438	390	612	448	506	341	576	553	638	500	494	548	444	482	561	523	524	447	445	394	443	439	511	533	687	500	591	509	600	557	551	512	684	390	612	608	448	621	707	563	554	595	631	610	484	754	553	517	540	10	10									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	637	9	5	14	7	5	4	9	7	11	4	11	6	11	9	6	6	6	16	14	2	10	4	12	4	3	98	9	4	5	4	5	4	13	11	10	7	9	6	8	4	8	7	16	7	6	1	17	3	0	1	5	1	8	105	60									
6	Число погашенных избирательных бюллетеней	65873	1535	1521	986	171	1557	606	1079	1545	983	755	1413	941	1351	1191	1000	1446	1550	1502	1125	1475	1566	1049	1543	1202	1554	1163	1480	1463	1308	1096	1404	1487	1587	1432	1439	1181	1307	604	1380	1388	1244	1272	1277	1430	1040	1404	1052	1387	816	1345	1142	1182	852	35	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	637	9	5	14	7	5	4	9	7	11	4	11	6	11	9	6	6	6	16	14	2	10	4	12	4	3	98	9	4	5	4	5	4	13	11	10	7	9	6	8	4	8	7	16	7	6	1	17	3	0	1	5	1	8	105	60									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	27654	656	474	300	71	438	390	612	447	506	341	575	552	637	500	493	546	444	482	561	523	524	447	444	394	443	439	511	533	685	500	591	508	600	557	551	511	682	388	603	608	448	619	707	562	554	595	629	610	484	754	552	517	536	10	10									
9	Число недействительных избирательных бюллетеней	1296	19	20	11	2	36	9	31	17	41	5	25	26	14	21	23	30	31	29	34	21	29	36	21	13	13	24	11	20	42	14	34	32	36	40	14	26	39	13	31	23	13	45	24	40	21	18	38	31	19	41	12	17	19	0	2									
10	Число действительных избирательных бюллетеней	26995	646	459	303	76	407	385	590	437	476	340	561	532	634	488	476	522	419	469	541	504	505	415	435	385	433	513	509	517	648	490	562	480	577	528	547	492	652	381	580	589	443	581	699	529	539	578	608	582	465	714	545	501	525	115	68									
