Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Катав-Ивановская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №976	УИК №977	УИК №978	УИК №979	УИК №980	УИК №981	УИК №982	УИК №983	УИК №984	УИК №985	УИК №986	УИК №987	УИК №988	УИК №989	УИК №990	УИК №991	УИК №992	УИК №993	УИК №994	УИК №995	УИК №996	УИК №997	УИК №998	УИК №999	УИК №1000	УИК №1001	УИК №1002	УИК №1003	УИК №1004	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010					
1	"Число избирателей, внесенных в список избирателей"	28039	1216	906	1141	1333	589	1025	1222	1271	447	545	1330	513	175	1503	1369	654	1361	1642	1147	1019	1729	1444	1273	820	44	86	252	471	262	223	355	399	121	86	66					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24870	1100	800	1000	1200	500	900	1100	1100	400	500	1200	450	150	1300	1200	550	1200	1400	1000	900	1500	1200	1100	800	40	90	240	470	250	220	350	400	120	80	60					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15099	633	565	599	804	292	685	663	693	245	240	647	233	84	861	743	374	631	867	606	609	864	616	634	347	25	55	157	324	181	132	261	234	97	62	36					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1257	60	26	68	52	46	44	42	69	25	28	47	42	14	60	37	32	31	25	34	15	86	58	71	80	6	9	27	10	30	26	25	24	0	2	6					
6	Число погашенных избирательных бюллетеней	8514	407	209	333	344	162	171	395	338	130	232	506	175	52	379	420	144	538	508	360	276	550	526	395	373	9	26	56	136	39	62	64	142	23	16	18					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1257	60	26	68	52	46	44	42	69	25	28	47	42	14	60	37	32	31	25	34	15	86	58	71	80	6	9	27	10	30	26	25	24	0	2	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15097	633	565	599	804	292	685	663	693	245	240	647	233	84	861	743	374	631	866	606	609	864	616	633	347	25	55	157	324	181	132	261	234	97	62	36					
9	Число недействительных избирательных бюллетеней	270	9	12	11	15	4	6	6	10	4	3	17	4	1	26	9	6	10	20	14	13	14	16	10	5	0	1	1	7	12	2	1	0	0	1	0					
10	Число действительных избирательных бюллетеней	16084	684	579	656	841	334	723	699	752	266	265	677	271	97	895	771	400	652	871	626	611	936	658	694	422	31	63	183	327	199	156	285	258	97	63	42					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	246	5	8	9	21	5	13	11	10	3	2	6	5	3	15	8	4	10	11	9	6	15	7	5	3	3	5	5	3	2	7	7	11	0	0	9					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	243	5	8	8	20	5	13	11	10	3	2	6	5	3	15	8	4	10	11	9	6	15	7	5	3	3	5	5	3	1	7	7	11	0	0	9					
