Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Жердевская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22904	1218	1463	993	1159	450	1434	1360	1672	1031	1047	455	885	728	193	543	418	235	624	598	645	638	134	886	145	234	386	353	315	968	431	217	478	131	277	160									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20360	1000	1300	900	1000	400	1300	1200	1500	900	900	400	800	650	180	500	380	200	550	550	590	580	120	800	130	200	350	300	280	870	400	190	430	120	250	140									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8737	384	545	328	347	242	449	675	641	408	236	252	238	417	76	195	244	149	199	170	365	216	77	354	65	89	149	144	82	298	173	93	170	83	120	64									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1718	33	34	37	9	19	44	10	46	88	27	26	210	156	33	134	34	6	73	83	78	52	8	96	26	33	33	18	77	62	19	26	28	10	31	19									
6	Число погашенных избирательных бюллетеней	9905	583	721	535	644	139	807	515	813	404	637	122	352	77	71	171	102	45	278	297	147	312	35	350	39	78	168	138	121	510	208	71	232	27	99	57									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1718	33	34	37	9	19	44	10	46	88	27	26	210	156	33	134	34	6	73	83	78	52	8	96	26	33	33	18	77	62	19	26	28	10	31	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8725	384	545	328	347	241	449	675	641	398	236	252	238	417	76	195	244	149	199	170	365	216	77	353	65	89	149	144	82	298	173	93	170	83	120	64									
9	Число недействительных избирательных бюллетеней	243	11	0	5	18	3	21	9	11	17	3	6	9	10	6	13	3	2	12	3	20	8	1	10	4	4	5	6	2	8	5	2	6	0	0	0									
10	Число действительных избирательных бюллетеней	10200	406	579	360	338	257	472	676	676	469	260	272	439	563	103	316	275	153	260	250	423	260	84	439	87	118	177	156	157	352	187	117	192	93	151	83									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	15	15	15	15	5	15	15	15	15	15	5	10	10	5	5	5	5	10	7	10	8	5	10	5	5	5	5	5	10	5	5	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	54	5	1	3	3	2	4	7	10	3	1	1	1	2	0	1	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	104	18	4	4	8	5	1	1	5	5	2	0	2	1	2	1	1	2	0	0	1	3	1	6	2	2	3	2	2	6	2	3	2	2	3	2									
14	Число погашенных неиспользованных открепительных удостоверений	246	10	14	12	12	3	11	8	5	12	14	4	9	8	5	4	5	5	6	6	10	7	5	10	5	5	5	5	5	10	5	5	2	4	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	3	1	0	1	1	4	2	2	0	1	0	0	3	4	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	2	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	305	13	25	5	8	6	15	10	39	17	12	1	9	4	3	2	2	1	16	13	3	11	9	36	5	0	3	7	3	12	5	1	7	0	2	0									
