Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																						
Дата голосования: 02.12.2007																																																																						
																																																																						
Наименование Избирательной комиссии:    Можайская																																																																						
																																																																						
Сводная таблица результатов выборов																																																																						
																																																																						
		Сумма	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480					
1	"Число избирателей, внесенных в списки избирателей"	53760	1645	281	866	2076	1260	1013	770	1361	1379	2051	1177	1370	1669	1281	1117	1370	943	527	311	1093	965	1552	1106	1513	604	849	629	647	706	691	679	763	303	305	291	557	424	445	427	356	1162	283	743	655	830	203	887	319	808	982	1106	260	782	1000	284	351	556	328	418	323	604	1049	2455					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	54929	1648	320	927	1983	1276	1796	1437	1375	1356	2052	1197	1433	1711	917	1171	1362	978	531	255	1089	981	1597	912	1617	909	891	655	648	709	667	687	785	310	305	298	545	426	443	460	358	1186	264	741	655	861	202	890	307	802	977	1133	269	794	1033	271	314	575	330	435	326	604	957	1986					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	29255	865	127	414	987	752	982	738	744	705	1014	583	767	944	568	625	798	542	206	157	769	543	857	344	946	501	544	353	272	261	329	347	409	97	20	134	347	136	231	263	125	571	125	413	256	369	36	534	86	439	414	616	109	514	605	142	174	255	187	260	156	365	746	1537					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	5429	49	46	97	168	30	31	32	28	29	11	27	55	41	166	21	41	25	133	74	53	11	15	480	85	103	48	11	73	158	93	76	90	90	143	54	8	147	85	63	138	152	56	128	220	143	99	89	108	32	155	211	120	94	49	55	74	201	39	37	96	101	10	32					
6	Число погашенных избирательных бюллетеней	20245	734	147	416	828	494	783	667	603	622	1027	587	611	726	183	525	523	411	192	24	267	427	725	88	586	305	299	291	303	290	245	264	286	123	142	110	190	143	127	134	95	463	83	200	179	349	67	267	113	331	408	306	40	186	379	74	66	119	104	138	74	138	201	417					
7	Число избирательных бюллетеней в переносных ящиках для голосования	5429	49	46	97	168	30	31	32	28	29	11	27	55	41	166	21	41	25	133	74	53	11	15	480	85	103	48	11	73	158	93	76	90	90	143	54	8	147	85	63	138	152	56	128	220	143	99	89	108	32	155	211	120	94	49	55	74	201	39	37	96	101	10	32					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	29247	865	127	414	986	752	982	738	744	705	1014	583	767	944	568	625	798	541	205	157	769	543	857	344	946	498	544	353	272	261	329	346	409	97	20	134	347	136	231	263	125	571	125	413	256	369	36	534	86	439	414	616	109	514	605	142	174	255	187	260	156	365	745	1537					
9	Число недействительных избирательных бюллетеней	466	11	1	7	21	17	12	14	8	13	12	9	13	20	11	10	10	10	2	3	11	7	9	28	13	3	7	6	8	9	8	5	4	1	0	1	3	2	4	4	1	11	2	12	3	2	0	3	5	16	8	7	2	14	9	1	1	0	2	2	3	2	12	11					
10	Число действительных избирательных бюллетеней	34210	903	172	504	1133	765	1001	756	764	721	1013	601	809	965	723	636	829	556	336	228	811	547	863	796	1018	598	585	358	337	410	414	417	495	186	163	187	352	281	312	322	262	712	179	529	473	510	135	620	189	455	561	820	227	594	645	196	247	456	224	295	249	464	743	1558					
