Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Территориальная избирательная комиссия г. Черногорска																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  102	УИК  103	УИК  104	УИК  105	УИК  106	УИК  107	УИК  108	УИК  109	УИК  110	УИК  111	УИК  112	УИК  113	УИК  114	УИК  115	УИК  116	УИК  117	УИК  118	УИК  119	УИК  120	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139					
1	"Число избирателей, внесенных в списки"	54295	2131	1280	1130	2141	1694	494	1301	982	1161	1270	2330	1070	1070	1096	1057	1466	818	1063	1088	2069	1167	1123	2044	2145	2105	1034	1094	2049	2134	1945	1089	790	2015	2017	447	2011	561	1814					
2	"Число бюллетеней, полученных участковыми комиссиями"	53700	2060	1190	1040	2050	1680	470	1280	1150	1150	1250	2200	1040	1220	1020	1070	1470	800	1170	1100	2080	1180	1110	2030	2110	2110	1030	1100	2050	2080	2050	1070	780	2010	2020	440	2110	550	1380					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	20865	888	456	416	561	639	96	461	395	343	366	937	435	382	434	451	551	346	491	512	884	502	238	825	825	932	424	400	870	798	741	441	383	817	816	157	808	247	597					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1960	74	77	71	125	174	104	29	49	87	26	79	33	34	85	46	52	19	79	34	65	35	26	43	35	23	22	72	18	25	32	29	17	27	25	51	71	17	50					
6	Число погашенных бюллетеней	30875	1098	657	553	1364	867	270	790	706	720	858	1184	572	804	501	573	867	435	600	554	1131	643	846	1162	1250	1155	584	628	1162	1257	1277	600	380	1166	1179	232	1231	286	733					
7	Число бюллетеней в переносных ящиках для голосования	1960	74	77	71	125	174	104	29	49	87	26	79	33	34	85	46	52	19	79	34	65	35	26	43	35	23	22	72	18	25	32	29	17	27	25	51	71	17	50					
8	Число бюллетеней в стационарных ящиках для голосования	20865	888	456	416	561	639	96	461	395	343	366	937	435	382	434	451	551	346	491	512	884	502	238	825	825	932	424	400	870	798	741	441	383	817	816	157	808	247	597					
9	Число недействительных бюллетеней	214	10	7	6	3	10	0	5	6	7	6	9	5	3	8	5	8	2	11	4	8	3	2	7	9	5	3	5	8	7	5	6	6	5	5	2	7	2	4					
10	Число действительных бюллетеней	22611	952	526	481	683	803	200	485	438	423	386	1007	463	413	511	492	595	363	559	542	941	534	262	861	851	950	443	467	880	816	768	464	394	839	836	206	872	262	643					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	605	20	15	15	20	15	10	15	15	15	15	20	15	15	15	15	15	10	15	15	20	15	15	20	20	20	15	15	20	20	20	15	10	20	20	10	20	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	139	3	4	3	4	1	0	2	4	3	1	3	4	0	4	4	1	4	5	3	3	0	0	3	12	12	4	3	9	3	8	5	0	8	10	1	2	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	126	2	3	1	3	3	1	1	1	0	2	3	8	4	3	6	0	2	2	0	1	0	0	2	4	5	2	40	5	2	1	0	2	0	0	0	1	2	14					
14	Число погашенных открепительных удостоверений	466	17	11	12	16	14	10	13	11	12	14	17	11	15	11	11	14	6	10	12	17	15	15	17	8	8	11	12	11	17	12	10	10	12	10	9	18	9	8					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	124	3	4	1	7	3	0	2	0	4	1	6	4	0	3	3	2	1	1	3	4	3	2	7	7	6	1	2	6	5	8	1	2	3	5	1	7	1	5					
		0.54%	0.31%	0.75%	0.20%	1.02%	0.36%	0.0%	0.40%	0.0%	0.93%	0.25%	0.59%	0.85%	0.0%	0.57%	0.60%	0.33%	0.27%	0.17%	0.54%	0.42%	0.55%	0.75%	0.80%	0.81%	0.62%	0.22%	0.42%	0.67%	0.60%	1.03%	0.21%	0.5%	0.35%	0.59%	0.48%	0.79%	0.37%	0.77%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	419	5	7	8	4	12	2	13	8	3	9	20	15	7	9	11	19	8	16	12	10	11	2	20	14	31	6	16	15	14	13	4	6	21	16	2	18	5	7					
		1.83%	0.51%	1.31%	1.64%	0.58%	1.47%	1.0%	2.65%	1.80%	0.69%	2.29%	1.96%	3.20%	1.68%	1.73%	2.21%	3.15%	2.19%	2.80%	2.19%	1.05%	2.04%	0.75%	2.30%	1.62%	3.24%	1.34%	3.38%	1.68%	1.70%	1.68%	0.85%	1.5%	2.48%	1.90%	0.96%	2.04%	1.89%	1.08%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	733	45	15	28	31	27	5	13	8	12	15	25	13	11	19	25	27	11	23	13	39	13	14	38	27	23	5	12	21	23	25	29	7	13	26	7	25	10	10					
		3.21%	4.67%	2.81%	5.74%	4.51%	3.32%	2.5%	2.65%	1.80%	2.79%	3.82%	2.46%	2.77%	2.64%	3.66%	5.03%	4.47%	3.01%	4.03%	2.38%	4.10%	2.42%	5.30%	4.37%	3.13%	2.40%	1.12%	2.54%	2.36%	2.79%	3.23%	6.17%	1.75%	1.54%	3.09%	3.36%	2.84%	3.78%	1.54%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	1081	32	19	18	18	46	7	21	22	5	21	31	31	18	26	12	27	13	27	29	44	27	13	58	55	51	35	26	53	52	36	20	21	38	42	8	48	15	16					
		4.73%	3.32%	3.56%	3.69%	2.62%	5.65%	3.5%	4.28%	4.95%	1.16%	5.35%	3.05%	6.62%	4.32%	5.00%	2.41%	4.47%	3.56%	4.73%	5.31%	4.63%	5.02%	4.92%	6.68%	6.39%	5.34%	7.84%	5.50%	5.96%	6.31%	4.65%	4.25%	5.25%	4.50%	4.99%	3.84%	5.46%	5.68%	2.47%					
22	"5. ""За Русь Святую"""	74	2	2	1	1	1	1	5	0	2	1	2	3	1	3	4	0	0	3	1	3	1	0	7	2	1	0	1	6	3	2	3	0	5	2	0	1	1	3					
		0.32%	0.20%	0.37%	0.20%	0.14%	0.12%	0.5%	1.02%	0.0%	0.46%	0.25%	0.19%	0.64%	0.24%	0.57%	0.80%	0.0%	0.0%	0.52%	0.18%	0.31%	0.18%	0.0%	0.80%	0.23%	0.10%	0.0%	0.21%	0.67%	0.36%	0.25%	0.63%	0.0%	0.59%	0.23%	0.0%	0.11%	0.37%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	72	5	1	4	2	4	2	4	0	1	1	3	0	0	1	4	1	2	0	3	3	2	1	1	4	1	2	0	2	2	3	3	1	0	1	1	4	0	3					
		0.31%	0.51%	0.18%	0.82%	0.29%	0.49%	1.0%	0.81%	0.0%	0.23%	0.25%	0.29%	0.0%	0.0%	0.19%	0.80%	0.16%	0.54%	0.0%	0.54%	0.31%	0.37%	0.37%	0.11%	0.46%	0.10%	0.44%	0.0%	0.22%	0.24%	0.38%	0.63%	0.25%	0.0%	0.11%	0.48%	0.45%	0.0%	0.46%					
24	"7. ""Новый курс - Автомобильная Россия"""	194	4	7	5	5	13	4	6	4	7	3	13	1	4	4	0	3	4	4	7	2	5	1	5	7	5	4	5	7	6	6	3	1	5	12	1	9	7	5					
		0.84%	0.41%	1.31%	1.02%	0.72%	1.59%	2.0%	1.22%	0.90%	1.62%	0.76%	1.27%	0.21%	0.96%	0.77%	0.0%	0.49%	1.09%	0.70%	1.28%	0.21%	0.93%	0.37%	0.57%	0.81%	0.52%	0.89%	1.05%	0.78%	0.72%	0.77%	0.63%	0.25%	0.59%	1.42%	0.48%	1.02%	2.65%	0.77%					
25	"8. ""Народно-республиканская партия России"""	24	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	3	2	0	0	1	0	0	0	8	0	0	0	1	0	1	0	1	0	1	0	0	1	0					
		0.10%	0.10%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.19%	0.20%	0.49%	0.54%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.93%	0.0%	0.0%	0.0%	0.11%	0.0%	0.12%	0.0%	0.25%	0.0%	0.11%	0.0%	0.0%	0.37%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	101	7	5	0	2	3	0	0	2	2	2	3	4	0	2	4	2	1	2	2	2	1	1	7	9	5	4	3	1	3	3	2	0	3	7	0	5	1	1					
		0.44%	0.72%	0.93%	0.0%	0.29%	0.36%	0.0%	0.0%	0.45%	0.46%	0.51%	0.29%	0.85%	0.0%	0.38%	0.80%	0.33%	0.27%	0.35%	0.36%	0.21%	0.18%	0.37%	0.80%	1.04%	0.52%	0.89%	0.63%	0.11%	0.36%	0.38%	0.42%	0.0%	0.35%	0.83%	0.0%	0.56%	0.37%	0.15%					
