Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																																											
Дата голосования: 04.12.2011																																																																																																											
																																																																																																											
Наименование Избирательной комиссии:    Братская городская																																																																																																											
																																																																																																											
Сводная таблица результатов выборов																																																																																																											
																																																																																																											
		Сумма	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407					
1	"Число избирателей, внесенных в список избирателей"	191487	1853	1573	2835	2065	1809	1983	1738	2025	2021	1802	2327	1671	1985	2081	2053	1627	2586	2758	2395	2502	2570	1982	1774	2817	2710	2084	2432	2281	2669	2248	2340	2138	2327	2532	2582	1610	1829	2689	2810	2596	2167	1919	2118	2494	2142	2804	1862	1984	2006	1757	2304	2269	124	246	1321	394	1334	1933	2260	1551	1462	1067	1111	1980	2607	1777	1680	2137	2162	1868	2154	2565	1655	1700	1876	2562	2728	1869	2138	134	272	2290	1636	2257	2147	2369	1891	897	1530	1441	1023	895	943	910	153	2574	2000	2275	1272	1782					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	193450	1850	1550	2850	1850	1850	2000	1750	2050	2000	1850	2350	1650	2000	2100	2050	1650	2600	2800	2400	2550	2600	2000	1800	2850	2750	2100	2450	2300	2450	2250	2350	2150	2350	2600	2550	1600	1850	2700	2850	2600	2150	1850	2150	2550	2200	2850	2000	2000	2050	1750	2350	2250	400	400	1300	500	1300	1950	2250	1550	1500	1050	1150	2000	2650	1800	1700	2150	2150	1900	2200	2600	1650	1700	2000	2600	2700	1900	2150	300	300	2300	1650	2250	2150	2300	1900	900	1550	1450	1050	900	950	900	300	2600	2000	2300	1300	1850					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	80839	467	471	824	912	738	758	734	791	770	626	927	519	512	738	700	454	1137	1386	1091	1121	1083	752	834	1233	1217	932	968	992	957	1217	1195	1091	1118	1230	1161	678	492	1192	1149	1204	891	790	842	1110	959	1260	947	1021	889	829	1118	881	96	180	400	394	354	634	825	649	650	411	501	937	1301	789	724	1085	1056	903	1102	1243	781	737	821	1071	1305	847	1072	64	172	1086	678	987	1023	715	723	363	528	512	367	252	352	334	86	1061	784	876	477	623					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2994	31	34	31	23	23	15	36	35	24	18	43	23	8	17	34	27	54	46	29	15	36	28	20	25	24	42	44	33	44	30	15	23	8	13	21	9	7	27	39	33	215	105	23	22	18	23	18	26	14	18	14	87	27	66	36	0	17	34	25	27	23	22	28	37	8	9	11	18	22	18	17	14	23	16	21	15	39	33	41	70	7	15	26	27	21	58	27	9	38	25	14	13	36	22	65	21	53	39	22	69					
6	Число погашенных избирательных бюллетеней	109615	1352	1045	1995	915	1089	1227	980	1224	1205	1206	1380	1108	1480	1345	1316	1169	1409	1368	1280	1414	1481	1220	946	1592	1509	1126	1438	1275	1449	1003	1140	1036	1224	1357	1368	913	1351	1481	1662	1363	1044	955	1284	1418	1223	1567	1035	953	1147	903	1218	1282	277	154	864	106	929	1282	1400	874	827	617	621	1026	1341	1002	965	1047	1072	979	1081	1343	846	947	1158	1514	1356	1020	1037	166	121	1199	946	1236	1106	1527	1150	528	984	913	669	635	562	544	149	1518	1163	1385	801	1158					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2994	31	34	31	23	23	15	36	35	24	18	43	23	8	17	34	27	54	46	29	15	36	28	20	25	24	42	44	33	44	30	15	23	8	13	21	9	7	27	39	33	215	105	23	22	18	23	18	26	14	18	14	87	27	66	36	0	17	34	25	27	23	22	28	37	8	9	11	18	22	18	17	14	23	16	21	15	39	33	41	70	7	15	26	27	21	58	27	9	38	25	14	13	36	22	65	21	53	39	22	69					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	80772	467	471	824	912	738	758	732	791	770	626	927	519	512	738	700	454	1137	1386	1090	1119	1083	752	834	1233	1217	932	968	992	957	1217	1195	1091	1118	1230	1161	678	492	1192	1149	1203	890	785	841	1110	958	1260	946	1021	889	829	1067	880	96	180	400	394	354	634	825	649	650	411	501	937	1301	789	724	1085	1056	903	1102	1243	781	737	821	1071	1305	847	1072	64	172	1086	678	987	1023	715	723	363	528	512	367	252	352	334	86	1061	784	876	477	623					
9	Число недействительных избирательных бюллетеней	1174	6	12	12	16	13	12	13	9	7	10	8	5	8	9	7	13	16	21	15	26	14	9	9	15	18	12	5	6	23	17	17	11	12	14	14	12	8	27	10	16	21	5	15	12	12	8	36	11	13	12	11	12	2	10	4	21	8	11	15	9	7	9	6	14	14	15	4	14	13	16	18	15	11	9	13	23	31	13	13	1	5	24	5	14	13	2	11	3	6	3	6	3	8	2	1	15	10	13	6	10					
10	Число действительных избирательных бюллетеней	82592	492	493	843	919	748	761	755	817	787	634	962	537	512	746	727	468	1175	1411	1104	1108	1105	771	845	1243	1223	962	1007	1019	978	1230	1193	1103	1114	1229	1168	675	491	1192	1178	1220	1084	885	849	1120	964	1275	928	1036	890	835	1070	955	121	236	432	373	363	657	835	667	666	424	523	960	1295	783	731	1089	1065	905	1101	1242	793	744	829	1063	1313	867	1100	133	174	1077	699	1000	1031	771	739	369	560	534	375	262	380	354	150	1067	827	902	493	682					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2837	20	20	40	20	20	20	20	20	20	20	40	20	20	20	20	20	40	40	40	40	40	20	20	40	40	25	40	20	40	40	40	20	40	40	40	50	20	40	40	40	40	20	20	40	27	40	30	25	20	20	40	30	0	0	20	0	20	20	20	25	40	20	20	30	40	30	25	45	20	25	50	40	20	20	120	40	35	20	30	0	20	35	25	40	30	35	20	20	20	20	20	20	20	20	0	40	20	40	20	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1777	4	6	15	6	18	20	12	10	9	11	16	13	13	15	5	7	30	21	15	28	23	12	15	18	23	19	12	16	18	24	23	18	14	36	37	20	18	22	22	19	11	10	16	21	23	23	15	19	15	7	38	20	0	0	9	0	0	6	13	23	29	13	16	21	24	20	19	41	20	24	33	22	13	10	92	24	29	18	23	0	9	26	21	28	30	28	15	9	16	14	6	19	9	4	0	17	19	26	8	30					
