Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Тоджинская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153					
1	"Число избирателей, внесенных в списки"	3426	1277	311	643	676	295	132	92					
2	"Число бюллетеней, полученных участковыми комиссиями"	3456	1278	284	647	713	317	125	92					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	49	0	0	24	25	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1894	660	162	363	404	182	85	38					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	93	21	9	21	24	18	0	0					
6	Число погашенных бюллетеней	1420	597	113	239	260	117	40	54					
7	Число бюллетеней в переносных ящиках для голосования	142	21	9	45	49	18	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	1892	660	162	361	404	182	85	38					
9	Число недействительных бюллетеней	76	29	2	15	23	3	3	1					
10	Число действительных бюллетеней	1958	652	169	391	430	197	82	37					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	37	9	20	19	9	4	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	7	3	0	0	4	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	3	1	0	0	0	1	1	0					
14	Число погашенных открепительных удостоверений	93	34	9	20	15	9	4	2					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	64	26	3	15	14	0	4	2					
		3.14%	3.81%	1.75%	3.69%	3.09%	0.0%	4.70%	5.26%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	18	5	3	6	1	3	0	0					
		0.88%	0.73%	1.75%	1.47%	0.22%	1.5%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	37	10	7	9	1	7	3	0					
		1.81%	1.46%	4.09%	2.21%	0.22%	3.5%	3.52%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	41	16	16	3	3	3	0	0					
		2.01%	2.34%	9.35%	0.73%	0.66%	1.5%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	8	0	3	0	0	5	0	0					
		0.39%	0.0%	1.75%	0.0%	0.0%	2.5%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	2	2	0	0	0	0	0	0					
		0.09%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	4	3	0	0	1	0	0	0					
		0.19%	0.44%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	1	1	0	0	0	0	0	0					
		0.04%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	2	1	0	1	0	0	0	0					
		0.09%	0.14%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	21	9	6	2	1	3	0	0					
		1.03%	1.32%	3.50%	0.49%	0.22%	1.5%	0.0%	0.0%					
28	"11. ""Истинные патриоты России"""	1	0	1	0	0	0	0	0					
		0.04%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	10	2	1	0	2	5	0	0					
		0.49%	0.29%	0.58%	0.0%	0.44%	2.5%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	3	1	0	0	0	2	0	0					
		0.14%	0.14%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	3	0	0	1	2	0	0					
		0.29%	0.44%	0.0%	0.0%	0.22%	1.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	2	1	1	2	0	0	0					
		0.29%	0.29%	0.58%	0.24%	0.44%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	42	24	3	3	6	5	0	1					
		2.06%	3.52%	1.75%	0.73%	1.32%	2.5%	0.0%	2.63%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	2	0	0	2	0	0	0	0					
		0.09%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	59	19	15	4	3	15	1	2					
		2.90%	2.79%	8.77%	0.98%	0.66%	7.5%	1.17%	5.26%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	25	10	3	5	2	4	1	0					
		1.22%	1.46%	1.75%	1.23%	0.44%	2.0%	1.17%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	1427	428	90	327	378	117	61	26					
		70.15%	62.84%	52.63%	80.54%	83.44%	58.5%	71.76%	68.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	4	1	0	0	1	1	1	0					
		0.19%	0.14%	0.0%	0.0%	0.22%	0.5%	1.17%	0.0%					
39	"22. ""Развитие предпринимательства"""	10	4	0	2	2	2	0	0					
		0.49%	0.58%	0.0%	0.49%	0.44%	1.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	133	73	6	9	9	21	10	5					
