Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																			
Дата голосования: 18.09.2016																																																			
																																																			
Наименование Избирательной комиссии:    Обнинская городская																																																			
																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																			
																																																			
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	85660	1280	816	2655	3147	2747	1274	1633	2815	2780	2814	1645	1488	2770	1663	1401	1624	1498	1428	2874	1568	2010	1479	2828	1009	2691	2731	1457	2679	1053	2356	2941	2715	2534	2880	2794	2727	2811	2615	2196	1234									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	74800	1100	800	2300	2700	2400	1100	1400	2500	2500	2500	1300	1300	2500	1400	1200	1400	1300	1200	2500	1400	1700	1300	2500	900	2400	2400	1100	2400	900	2100	2600	2400	2300	2400	2400	2400	2500	2300	1900	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	31103	513	278	961	1380	997	388	604	969	852	1048	338	422	1018	584	551	620	566	545	1127	566	747	509	1073	397	1110	1044	553	970	355	940	1105	1041	870	862	888	977	1057	973	870	435									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	567	8	3	14	22	13	21	6	30	11	13	137	1	8	5	5	6	3	5	8	9	10	5	15	10	11	21	8	14	0	5	3	6	10	7	77	10	3	10	10	4									
6	Число погашенных избирательных бюллетеней	43130	579	519	1325	1298	1390	691	790	1501	1637	1439	825	877	1474	811	644	774	731	650	1365	825	943	786	1412	493	1279	1335	539	1416	545	1155	1492	1353	1420	1531	1435	1413	1440	1317	1020	661									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	567	8	3	14	22	13	21	6	30	11	13	137	1	8	5	5	6	3	5	8	9	10	5	15	10	11	21	8	14	0	5	3	6	10	7	77	10	3	10	10	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	31022	511	278	961	1358	997	388	603	969	851	1048	338	420	1018	583	550	620	566	544	1127	566	747	509	1072	397	1110	1037	553	969	355	939	1105	1041	870	862	886	966	1037	968	868	435									
9	Число недействительных избирательных бюллетеней	410	10	7	9	40	14	6	8	15	13	15	8	3	9	9	4	10	2	3	11	3	18	4	12	4	12	21	2	13	6	16	16	17	8	9	6	7	10	10	13	7									
10	Число действительных избирательных бюллетеней	31179	509	274	966	1340	996	403	601	984	849	1046	467	418	1017	579	551	616	567	546	1124	572	739	510	1075	403	1109	1037	559	970	349	928	1092	1030	872	860	957	969	1030	968	865	432									
