Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва														
Дата голосования: 07.12.2003 0:00:00														
														
Наименование Избирательной комиссии:    Ельцовская														
														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)														
														
		Сумма	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719					
1	"Число избирателей, внесенных в списки"	6064	2652	1362	365	441	799	154	291					
2	"Число бюллетеней, полученных участковыми комиссиями"	6000	2669	1300	363	443	782	154	289					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3657	1624	794	226	283	451	94	185					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	482	133	130	29	12	130	21	27					
6	Число погашенных бюллетеней	1861	912	376	108	148	201	39	77					
7	Число бюллетеней в переносных ящиках для голосования	482	133	130	29	12	130	21	27					
8	Число бюллетеней в стационарных ящиках для голосования	3657	1624	794	226	283	451	94	185					
9	Число недействительных бюллетеней	103	25	28	12	12	16	2	8					
10	Число действительных бюллетеней	4036	1732	896	243	283	565	113	204					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	42	23	6	8	13	3	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	12	9	2	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	7	3	0	1	0	1	2	0					
14	Число погашенных открепительных удостоверений	88	33	21	5	8	13	3	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0					
														
18	"1. ""ЕДИНЕНИЕ"""	50	23	11	1	6	4	3	2					
		1.20%	1.30%	1.19%	0.39%	2.03%	0.68%	2.60%	0.94%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	111	53	15	7	14	10	8	4					
		2.68%	3.01%	1.62%	2.74%	4.74%	1.72%	6.95%	1.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	112	50	16	5	11	23	2	5					
		2.70%	2.84%	1.73%	1.96%	3.72%	3.95%	1.73%	2.35%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	73	29	16	8	4	10	0	6					
		1.76%	1.65%	1.73%	3.13%	1.35%	1.72%	0.0%	2.83%					
22	"5. ""За Русь Святую"""	21	6	1	5	2	7	0	0					
		0.50%	0.34%	0.10%	1.96%	0.67%	1.20%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	9	1	2	1	1	3	1	0					
		0.21%	0.05%	0.21%	0.39%	0.33%	0.51%	0.86%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	20	9	3	1	0	3	0	4					
		0.48%	0.51%	0.32%	0.39%	0.0%	0.51%	0.0%	1.88%					
25	"8. ""Народно-республиканская партия России"""	3	2	1	0	0	0	0	0					
		0.07%	0.11%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	4	1	1	0	0	2	0	0					
		0.09%	0.05%	0.10%	0.0%	0.0%	0.34%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	447	162	111	39	35	49	11	40					
		10.79%	9.22%	12.01%	15.29%	11.86%	8.43%	9.56%	18.86%					
28	"11. ""Истинные патриоты России"""	4	0	1	0	0	1	0	2					
		0.09%	0.0%	0.10%	0.0%	0.0%	0.17%	0.0%	0.94%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	30	13	5	0	1	6	3	2					
		0.72%	0.73%	0.54%	0.0%	0.33%	1.03%	2.60%	0.94%					
30	"13. ""Демократическая партия России"""	8	2	1	2	0	3	0	0					
		0.19%	0.11%	0.10%	0.78%	0.0%	0.51%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	1	2	1	2	1	0	0					
		0.16%	0.05%	0.21%	0.39%	0.67%	0.17%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	3	0	1	1	0	1	0	0					
		0.07%	0.0%	0.10%	0.39%	0.0%	0.17%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	321	173	83	20	7	20	4	14					
		7.75%	9.84%	8.98%	7.84%	2.37%	3.44%	3.47%	6.60%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	9	4	2	0	0	3	0	0					
		0.21%	0.22%	0.21%	0.0%	0.0%	0.51%	0.0%	0.0%					
35	"18. ""ЛДПР"""	577	233	156	31	29	84	21	23					
		13.94%	13.26%	16.88%	12.15%	9.83%	14.45%	18.26%	10.84%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	76	29	15	6	1	17	0	8					
		1.83%	1.65%	1.62%	2.35%	0.33%	2.92%	0.0%	3.77%					
37	"20. ""Политическая партия ""Единая Россия"""	1398	625	276	81	95	233	46	42					
		33.77%	35.57%	29.87%	31.76%	32.20%	40.10%	39.99%	19.81%					
38	"21. ""Российская Конституционно-демократическая партия"""	10	5	0	1	2	2	0	0					
		0.24%	0.28%	0.0%	0.39%	0.67%	0.34%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	8	5	1	1	1	0	0	0					
		0.19%	0.28%	0.10%	0.39%	0.33%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	653	280	156	22	65	75	9	46					
		15.77%	15.93%	16.88%	8.62%	22.03%	12.90%	7.82%	21.69%					
														
41	Против всех	82	26	20	10	7	8	5	6					
		1.98%	1.47%	2.16%	3.92%	2.37%	1.37%	4.34%	2.83%					
														
														
														
														
														
														
														
														
														
														
														
														
														
														
														
