Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																															
Дата голосования: 04.12.2011																																																																															
																																																																															
"Наименование Избирательной комиссии:    Краснодар, Карасунская"																																																																															
																																																																															
Сводная таблица результатов выборов																																																																															
																																																																															
		Сумма	УИК №2101	УИК №2102	УИК №2103	УИК №2104	УИК №2105	УИК №2106	УИК №2107	УИК №2108	УИК №2109	УИК №2110	УИК №2111	УИК №2112	УИК №2113	УИК №2114	УИК №2115	УИК №2116	УИК №2117	УИК №2118	УИК №2119	УИК №2120	УИК №2121	УИК №2122	УИК №2123	УИК №2124	УИК №2125	УИК №2126	УИК №2127	УИК №2128	УИК №2129	УИК №2130	УИК №2131	УИК №2132	УИК №2133	УИК №2134	УИК №2135	УИК №2136	УИК №2137	УИК №2138	УИК №2139	УИК №2140	УИК №2141	УИК №2142	УИК №2143	УИК №2144	УИК №2145	УИК №2146	УИК №2147	УИК №2148	УИК №2149	УИК №2150	УИК №2151	УИК №2152	УИК №2153	УИК №2154	УИК №2155	УИК №2156	УИК №2157	УИК №2158	УИК №2159	УИК №2160	УИК №2161	УИК №2162	УИК №2163	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172					
1	"Число избирателей, внесенных в список избирателей"	164398	2533	2370	1928	2263	1974	2599	2531	2154	2170	2187	1761	2103	2140	2574	1728	2053	2392	2258	2088	2459	2893	2401	2610	2220	2525	2432	2378	2212	2388	2916	2593	1898	2698	2536	2401	2465	2535	2465	2624	2931	2439	1983	2539	2686	2067	2454	2176	2123	2156	2441	2633	2566	2629	2177	2424	2243	2326	2210	2094	2729	2649	2645	2277	1134	1463	1924	2458	991	2063	1348	2744	1221					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	171850	2700	2500	2000	2400	2100	2600	2500	2300	2300	2350	1700	2200	2500	2600	1700	2150	2600	2400	2200	2400	2900	2500	2600	2200	2800	2550	2400	2100	2500	2850	2800	2050	2600	2700	2650	2650	2700	2600	2800	2800	2600	2100	2600	2900	2250	2500	2400	2300	2250	2400	2800	2700	2600	2200	2600	2350	2400	2300	2200	2900	2800	2800	2500	1100	1600	2150	2600	1100	2200	1500	2900	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	110914	1857	1392	1150	1674	1338	1705	1960	1559	1311	1581	1038	1007	1350	1654	1446	1280	1795	1559	1262	1906	2780	1424	1358	1409	1348	1678	1350	1705	1639	2173	2191	1488	1849	1578	1516	1675	1821	1590	1700	2023	1927	1407	1784	1819	1276	1478	1401	1398	1291	1297	1658	1571	1830	1394	1571	1784	1688	1366	1870	1606	1722	1653	1780	981	842	1217	1571	811	1531	744	1523	1004					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	8222	138	152	56	35	160	138	185	192	52	70	25	60	67	159	20	65	62	177	87	190	113	67	65	175	120	188	105	74	167	211	40	175	485	19	121	94	73	91	173	290	195	110	25	48	22	23	14	15	56	72	69	50	72	46	153	150	29	59	44	227	256	260	497	0	95	91	12	26	107	132	131	200					
6	Число погашенных избирательных бюллетеней	52714	705	956	794	691	602	757	355	549	937	699	637	1133	1083	787	234	805	743	664	851	304	7	1009	1177	616	1332	684	945	321	694	466	569	387	266	1103	1013	881	806	919	927	487	478	583	791	1033	952	999	985	887	903	1031	1073	1079	698	760	876	416	683	875	286	1067	822	887	223	119	663	842	1017	263	562	624	1246	96					
7	Число избирательных бюллетеней в переносных ящиках для голосования	8222	138	152	56	35	160	138	185	192	52	70	25	60	67	159	20	65	62	177	87	190	113	67	65	175	120	188	105	74	167	211	40	175	485	19	121	94	73	91	173	290	195	110	25	48	22	23	14	15	56	72	69	50	72	46	153	150	29	59	44	227	256	260	497	0	95	91	12	26	107	132	131	200					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	110395	1857	1391	1149	1674	1338	1704	1960	1559	1311	1511	993	1007	1350	1654	1446	1280	1795	1546	1261	1906	2780	1424	1358	1409	1342	1678	1350	1702	1639	1870	2191	1488	1849	1573	1516	1672	1821	1568	1700	2023	1920	1407	1784	1819	1276	1478	1401	1391	1291	1296	1652	1571	1830	1394	1571	1784	1688	1366	1847	1606	1722	1653	1780	981	842	1217	1571	811	1531	743	1523	1004					
9	Число недействительных избирательных бюллетеней	1891	28	28	25	55	2	21	7	10	23	11	16	21	0	20	2	4	42	217	28	306	31	24	19	14	23	0	23	23	25	6	4	27	36	13	27	12	13	20	26	28	29	19	20	27	45	38	27	13	12	22	26	21	25	20	3	15	23	30	17	0	0	0	21	31	8	36	23	17	0	20	30	13					
10	Число действительных избирательных бюллетеней	116726	1967	1515	1180	1654	1496	1821	2138	1741	1340	1570	1002	1046	1417	1793	1464	1341	1815	1506	1320	1790	2862	1467	1404	1570	1439	1866	1432	1753	1781	2075	2227	1636	2298	1579	1610	1754	1881	1639	1847	2285	2086	1498	1789	1840	1253	1463	1388	1393	1335	1346	1695	1600	1877	1420	1721	1919	1694	1395	1874	1833	1978	1913	2256	950	929	1272	1560	820	1638	855	1624	1191					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	4270	66	50	60	65	48	85	58	58	73	73	30	58	68	40	47	59	48	50	45	118	85	70	45	48	60	48	43	58	53	53	73	40	68	85	73	53	85	65	98	68	56	71	91	68	83	78	72	85	35	55	62	52	58	49	45	45	43	43	52	55	41	48	48	145	32	68	44	20	38	40	48	30					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	4210	66	50	60	65	48	85	54	45	73	73	30	58	68	40	47	55	48	50	45	118	85	70	45	48	60	48	43	58	53	53	73	40	68	82	73	49	80	59	98	68	56	71	80	58	83	78	72	85	35	55	62	52	58	49	45	45	43	43	52	55	41	48	48	145	32	68	44	20	38	40	48	30					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3480	38	23	56	51	20	46	54	30	22	27	26	44	10	163	27	88	72	36	37	40	211	28	16	41	28	7	29	28	24	47	13	0	3	32	19	35	22	44	113	347	13	51	90	59	42	50	85	45	29	28	12	6	186	45	46	33	79	84	70	27	34	18	1	58	40	59	10	128	8	11	32	4					
14	Число погашенных неиспользованных открепительных удостоверений	60	0	0	0	0	0	0	4	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	5	6	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	426	6	5	3	7	5	8	6	26	6	2	6	7	2	9	6	11	7	8	4	15	3	1	6	4	12	7	7	2	4	1	1	5	3	11	7	13	8	6	6	9	6	5	6	6	3	6	7	7	2	6	6	6	9	6	9	5	4	7	5	5	3	3	4	0	4	1	10	6	4	2	4	4					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	13634	193	241	179	203	207	258	152	113	187	240	131	162	130	266	114	167	188	139	158	202	231	205	199	172	208	194	161	174	194	146	98	144	140	198	193	157	296	224	247	290	186	199	222	243	183	236	227	271	182	105	236	294	306	239	139	187	236	206	194	203	154	158	239	144	161	179	144	90	120	131	213	106					
		11.49%	9.67%	15.62%	14.85%	11.88%	13.82%	14.01%	7.09%	6.45%	13.72%	15.18%	12.87%	15.18%	9.17%	14.67%	7.78%	12.42%	10.12%	8.07%	11.72%	9.64%	7.98%	13.75%	13.98%	10.86%	14.23%	10.40%	11.07%	9.80%	10.74%	7.02%	4.39%	8.66%	5.99%	12.44%	11.79%	8.89%	15.63%	13.50%	13.19%	12.54%	8.79%	13.12%	12.27%	13.02%	14.10%	15.72%	16.04%	19.27%	13.51%	7.68%	13.71%	18.14%	16.09%	16.60%	8.06%	9.67%	13.74%	14.46%	10.26%	11.07%	7.79%	8.26%	10.50%	14.68%	17.18%	13.69%	9.10%	10.75%	7.33%	14.97%	12.88%	8.80%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	12395	52	201	168	178	159	203	60	179	196	61	170	160	126	220	126	74	189	135	170	197	285	179	246	234	91	211	193	159	261	113	104	156	274	257	203	131	229	169	249	242	157	56	228	251	187	205	180	173	192	80	220	209	241	203	204	102	188	204	40	320	285	271	245	171	40	28	194	106	26	120	134	125					
		10.45%	2.61%	13.03%	13.94%	10.42%	10.61%	11.02%	2.80%	10.22%	14.38%	3.86%	16.70%	14.99%	8.89%	12.13%	8.59%	5.50%	10.18%	7.84%	12.61%	9.40%	9.85%	12.01%	17.29%	14.77%	6.22%	11.31%	13.26%	8.95%	14.45%	5.43%	4.66%	9.38%	11.74%	16.14%	12.40%	7.42%	12.09%	10.19%	13.29%	10.46%	7.42%	3.69%	12.60%	13.44%	14.41%	13.66%	12.72%	12.30%	14.25%	5.85%	12.78%	12.89%	12.67%	14.10%	11.83%	5.27%	10.95%	14.32%	2.12%	17.46%	14.41%	14.17%	10.76%	17.43%	4.27%	2.14%	12.26%	12.66%	1.59%	13.71%	8.10%	10.38%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1415	20	30	19	20	13	44	17	19	18	4	11	26	18	26	2	16	37	25	18	26	19	15	15	25	4	19	20	14	36	17	35	16	19	19	41	16	29	25	34	30	19	32	26	40	19	19	19	2	15	4	28	42	39	24	9	12	25	22	21	1	2	0	21	22	3	12	17	6	5	14	29	9					
		1.19%	1.00%	1.94%	1.58%	1.17%	0.87%	2.39%	0.79%	1.09%	1.32%	0.25%	1.08%	2.44%	1.27%	1.43%	0.14%	1.19%	1.99%	1.45%	1.34%	1.24%	0.66%	1.01%	1.05%	1.58%	0.27%	1.02%	1.37%	0.79%	1.99%	0.82%	1.57%	0.96%	0.81%	1.19%	2.50%	0.91%	1.53%	1.51%	1.82%	1.30%	0.90%	2.11%	1.44%	2.14%	1.46%	1.27%	1.34%	0.14%	1.11%	0.29%	1.63%	2.59%	2.05%	1.67%	0.52%	0.62%	1.46%	1.54%	1.11%	0.05%	0.10%	0.00%	0.92%	2.24%	0.32%	0.92%	1.07%	0.72%	0.31%	1.60%	1.75%	0.75%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	23585	512	395	331	355	333	404	278	338	283	379	260	299	345	365	197	212	312	255	271	289	375	310	374	331	307	304	275	242	344	315	141	176	316	291	383	324	461	354	434	531	280	397	428	526	372	439	392	355	353	336	423	392	450	367	393	287	421	383	334	335	331	361	310	169	217	302	314	125	144	208	258	182					
		19.88%	25.66%	25.60%	27.47%	20.77%	22.23%	21.93%	12.96%	19.30%	20.76%	23.97%	25.54%	28.02%	24.35%	20.13%	13.44%	15.76%	16.80%	14.80%	20.10%	13.79%	12.96%	20.79%	26.28%	20.90%	20.99%	16.29%	18.90%	13.63%	19.05%	15.14%	6.32%	10.58%	13.54%	18.28%	23.40%	18.35%	24.34%	21.34%	23.17%	22.96%	13.24%	26.17%	23.66%	28.17%	28.66%	29.25%	27.70%	25.25%	26.21%	24.56%	24.58%	24.18%	23.66%	25.49%	22.80%	14.84%	24.52%	26.88%	17.66%	18.28%	16.73%	18.87%	13.61%	17.23%	23.16%	23.09%	19.84%	14.93%	8.79%	23.77%	15.60%	15.12%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3983	35	89	74	108	76	102	41	25	86	9	61	42	56	85	9	33	56	52	63	58	46	70	71	67	11	51	62	55	66	19	31	42	62	42	69	50	102	85	112	125	90	1	95	33	60	102	84	2	56	3	99	100	107	94	32	52	66	62	87	1	1	0	22	50	5	22	85	28	28	45	48	25					
		3.36%	1.75%	5.77%	6.14%	6.32%	5.07%	5.54%	1.91%	1.43%	6.31%	0.57%	5.99%	3.94%	3.95%	4.69%	0.61%	2.45%	3.02%	3.02%	4.67%	2.77%	1.59%	4.69%	4.99%	4.23%	0.75%	2.73%	4.26%	3.10%	3.65%	0.91%	1.39%	2.53%	2.66%	2.64%	4.22%	2.83%	5.39%	5.12%	5.98%	5.40%	4.26%	0.07%	5.25%	1.77%	4.62%	6.80%	5.94%	0.14%	4.16%	0.22%	5.75%	6.17%	5.63%	6.53%	1.86%	2.69%	3.84%	4.35%	4.60%	0.05%	0.05%	0.00%	0.97%	5.10%	0.53%	1.68%	5.37%	3.35%	1.71%	5.14%	2.90%	2.08%					
