Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Шадринская городская																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №183	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1190	УИК №1191					
1	"Число избирателей, внесенных в список избирателей"	60675	258	825	530	950	2790	2608	1686	1102	1265	1260	1464	1324	1161	1755	1356	1092	2615	2430	1401	728	2301	1934	2208	2214	1170	1759	1795	1908	680	1763	2198	1323	1187	1727	1279	1361	737	442	1417	2142	277	94	159					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	51000	400	900	600	800	2200	2000	1300	1000	1200	1100	1200	1100	800	1400	1100	1000	2000	2000	1200	600	2000	1600	1800	2000	1000	1500	1400	1600	500	1500	1700	1100	1000	1400	1000	1100	600	400	1200	2000	250	150	300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	36248	159	449	319	556	1688	1660	985	568	738	808	759	725	595	934	763	607	1452	1309	870	395	1453	1079	1330	1454	700	1096	1183	1222	397	1113	1475	772	693	1119	806	806	465	227	840	1252	180	93	154					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2226	18	154	211	15	81	82	61	46	31	40	86	18	124	20	53	5	37	48	32	26	95	199	66	64	41	51	35	59	16	58	37	27	25	40	42	48	29	17	33	43	13	0	0					
6	Число погашенных избирательных бюллетеней	12526	223	297	70	229	431	258	254	386	431	252	355	357	81	446	284	388	511	643	298	179	452	322	404	482	259	353	182	319	87	329	188	301	282	241	152	246	106	156	327	705	57	57	146					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2227	18	154	211	16	81	82	61	46	31	40	86	18	124	20	53	5	37	48	32	26	95	199	66	64	41	51	35	59	16	58	37	27	25	40	42	48	29	17	33	43	13	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	36227	159	449	319	555	1688	1660	984	568	738	807	759	725	595	934	763	606	1451	1307	870	395	1453	1077	1328	1453	698	1096	1183	1222	397	1112	1475	769	693	1119	805	805	465	227	840	1251	180	93	154					
9	Число недействительных избирательных бюллетеней	540	1	6	12	23	12	27	23	8	12	11	22	2	7	19	5	14	23	26	5	3	22	22	19	22	8	18	9	8	9	17	14	14	10	14	12	14	5	5	11	22	0	4	0					
10	Число действительных избирательных бюллетеней	37914	176	597	518	548	1757	1715	1022	606	757	836	823	741	712	935	811	597	1465	1329	897	418	1526	1254	1375	1495	731	1129	1209	1273	404	1153	1498	782	708	1145	835	839	489	239	862	1272	193	89	154					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1180	10	20	5	20	50	50	30	20	20	25	40	20	20	20	20	20	30	50	30	20	40	40	30	50	30	40	40	30	20	40	40	20	30	30	30	40	10	10	30	50	10	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	866	7	10	1	13	36	47	23	14	17	23	27	19	10	12	19	10	26	33	21	11	27	22	30	40	26	33	36	30	13	27	31	18	14	23	21	22	9	5	23	33	4	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1187	6	28	99	11	55	45	22	15	24	22	20	9	10	9	19	10	18	14	24	19	64	25	44	39	14	20	45	24	19	29	73	24	21	52	20	19	13	14	14	44	12	14	65					
14	Число погашенных неиспользованных открепительных удостоверений	314	3	10	4	7	14	3	7	6	3	2	13	1	10	8	1	10	4	17	9	9	13	18	0	10	4	7	4	0	7	13	9	2	16	7	9	18	1	5	7	17	6	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	37	0	2	0	4	1	1	1	0	0	1	0	0	0	3	0	1	1	0	2	0	0	1	1	3	1	1	1	2	0	2	2	2	1	0	1	0	0	0	1	0	1	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
