Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Пестяковская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  629	УИК  630	УИК  631	УИК  632	УИК  633	УИК  634	УИК  635	УИК  636	УИК  637	УИК  638	УИК  639	УИК  640	УИК  641	УИК  642	УИК  643					
1	"Число избирателей, внесенных в списки"	6778	306	288	128	152	490	83	130	101	685	277	1515	1937	131	234	321					
2	"Число бюллетеней, полученных участковыми комиссиями"	6375	292	273	114	133	471	74	118	93	643	264	1450	1815	119	215	301					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3592	154	135	69	62	252	53	55	53	282	178	849	1085	81	116	168					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	769	50	68	22	50	25	5	25	17	117	45	91	108	7	60	79					
6	Число погашенных бюллетеней	2014	88	70	23	21	194	16	38	23	244	41	510	622	31	39	54					
7	Число бюллетеней в переносных ящиках для голосования	769	50	68	22	50	25	5	25	17	117	45	91	108	7	60	79					
8	Число бюллетеней в стационарных ящиках для голосования	3592	154	135	69	62	252	53	55	53	282	178	849	1085	81	116	168					
9	Число недействительных бюллетеней	55	2	2	1	1	10	0	1	0	6	3	7	14	5	2	1					
10	Число действительных бюллетеней	4306	202	201	90	111	267	58	79	70	393	220	933	1179	83	174	246					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	70	5	3	3	1	5	2	3	3	5	3	14	14	3	3	3					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	42	5	2	1	1	3	0	2	2	0	3	13	10	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	30	2	3	0	4	1	3	1	1	2	0	3	4	2	2	2					
14	Число погашенных открепительных удостоверений	28	0	1	2	0	2	2	1	1	5	0	1	4	3	3	3					
