Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Ивдельская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №1814	УИК №1815	УИК №1816	УИК №1817	УИК №1818	УИК №1819	УИК №1820	УИК №1821	УИК №1822	УИК №2588	УИК №2589					
1	"Число избирателей, внесенных в списки"	19380	1284	594	1843	1444	336	341	2189	1497	915	1926	185	167	136	229	531	79	280	453	473	1054	40	2664	720					
2	"Число бюллетеней, полученных участковыми комиссиями"	19986	1300	600	1996	1590	320	350	2200	1490	900	1930	200	180	140	250	550	89	250	500	500	1100	51	2700	800					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	43	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	9751	609	292	841	620	190	183	1062	820	383	965	114	106	102	114	262	69	175	266	236	537	23	1418	364					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	699	21	49	44	86	5	2	113	56	77	54	0	0	0	1	0	0	10	21	49	41	0	68	2					
6	Число погашенных бюллетеней	9493	670	259	1111	884	125	165	1025	614	440	911	86	74	38	92	288	20	65	213	215	522	28	1214	434					
7	Число бюллетеней в переносных ящиках для голосования	742	21	49	44	86	5	2	113	56	77	54	0	0	0	44	0	0	10	21	49	41	0	68	2					
8	Число бюллетеней в стационарных ящиках для голосования	9751	609	292	841	620	190	183	1062	820	383	965	114	106	102	114	262	69	175	266	236	537	23	1418	364					
9	Число недействительных бюллетеней	130	7	7	15	8	1	3	12	11	1	9	1	0	0	1	3	0	2	0	1	13	0	29	6					
10	Число действительных бюллетеней	10363	623	334	870	698	194	182	1163	865	459	1010	113	106	102	157	259	69	183	287	284	565	23	1457	360					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	196	10	5	16	15	5	5	10	10	5	20	5	5	5	5	5	5	5	5	5	10	0	35	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	73	5	1	10	2	1	3	7	5	2	1	0	0	0	2	0	0	0	0	0	3	0	31	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	0	0	2	1	1	1	2	0	3	1	1	0	1	0	1	0	0	0	2	5	0	15	3					
14	Число погашенных открепительных удостоверений	123	5	4	6	13	4	2	3	5	3	19	5	5	5	3	5	5	5	5	5	7	0	4	5					
15	Число открепительных удостоверений выданных ТИК	4	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	143	10	9	5	10	2	1	4	8	12	13	0	6	0	7	0	0	4	2	4	6	0	30	10					
		1.36%	1.58%	2.63%	0.56%	1.41%	1.02%	0.54%	0.34%	0.91%	2.60%	1.27%	0.0%	5.66%	0.0%	4.43%	0.0%	0.0%	2.16%	0.69%	1.40%	1.03%	0.0%	2.01%	2.73%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	378	28	14	59	31	4	6	38	21	18	32	3	1	1	6	4	7	5	10	25	3	2	55	5					
		3.60%	4.44%	4.10%	6.66%	4.39%	2.05%	3.24%	3.23%	2.39%	3.91%	3.14%	2.63%	0.94%	0.98%	3.79%	1.52%	10.14%	2.70%	3.48%	8.77%	0.51%	8.69%	3.70%	1.36%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	380	20	19	32	23	7	4	41	31	18	34	4	16	1	5	4	6	5	17	8	34	3	38	10					
		3.62%	3.17%	5.57%	3.61%	3.25%	3.58%	2.16%	3.48%	3.53%	3.91%	3.33%	3.50%	15.09%	0.98%	3.16%	1.52%	8.69%	2.70%	5.92%	2.80%	5.88%	13.04%	2.55%	2.73%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	162	15	5	20	9	4	1	21	5	6	11	0	10	0	1	2	5	0	5	0	15	0	24	3					
		1.54%	2.38%	1.46%	2.25%	1.27%	2.05%	0.54%	1.78%	0.57%	1.30%	1.07%	0.0%	9.43%	0.0%	0.63%	0.76%	7.24%	0.0%	1.74%	0.0%	2.59%	0.0%	1.61%	0.81%					
22	"5. ""За Русь Святую"""	50	4	2	3	5	1	0	5	3	1	2	1	0	1	3	0	0	4	2	1	4	0	7	1					
		0.47%	0.63%	0.58%	0.33%	0.70%	0.51%	0.0%	0.42%	0.34%	0.21%	0.19%	0.87%	0.0%	0.98%	1.89%	0.0%	0.0%	2.16%	0.69%	0.35%	0.69%	0.0%	0.47%	0.27%					
23	"6. ""Объединенная Российская партия ""Русь"""	35	1	0	0	6	1	1	2	1	0	3	0	0	0	1	0	1	1	2	7	4	0	3	1					
		0.33%	0.15%	0.0%	0.0%	0.84%	0.51%	0.54%	0.17%	0.11%	0.0%	0.29%	0.0%	0.0%	0.0%	0.63%	0.0%	1.44%	0.54%	0.69%	2.45%	0.69%	0.0%	0.20%	0.27%					
24	"7. ""Новый курс - Автомобильная Россия"""	62	2	2	15	5	0	1	5	6	2	2	0	0	1	0	0	0	0	0	2	3	0	15	1					
		0.59%	0.31%	0.58%	1.69%	0.70%	0.0%	0.54%	0.42%	0.68%	0.43%	0.19%	0.0%	0.0%	0.98%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.51%	0.0%	1.00%	0.27%					
25	"8. ""Народно-республиканская партия России"""	12	0	2	0	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	0	2	2					
		0.11%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.17%	0.22%	0.0%	0.09%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.54%					
26	"9. ""Российская экологическая партия ""Зеленые"""	33	2	0	5	3	0	1	4	0	0	3	0	0	1	0	1	2	0	1	0	0	0	10	0					
		0.31%	0.31%	0.0%	0.56%	0.42%	0.0%	0.54%	0.34%	0.0%	0.0%	0.29%	0.0%	0.0%	0.98%	0.0%	0.38%	2.89%	0.0%	0.34%	0.0%	0.0%	0.0%	0.67%	0.0%					
27	"10. ""Аграрная партия России"""	174	12	2	13	17	2	1	14	11	14	16	1	2	0	9	3	3	2	9	3	13	2	19	6					
		1.65%	1.90%	0.58%	1.46%	2.40%	1.02%	0.54%	1.19%	1.25%	3.04%	1.57%	0.87%	1.88%	0.0%	5.69%	1.14%	4.34%	1.08%	3.13%	1.05%	2.24%	8.69%	1.27%	1.63%					
28	"11. ""Истинные патриоты России"""	11	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	2	1					
		0.10%	0.0%	1.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.17%	0.0%	0.13%	0.27%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	265	23	9	25	17	8	11	17	19	9	16	0	2	0	1	7	1	5	4	2	25	0	36	28					
		2.52%	3.65%	2.63%	2.82%	2.40%	4.10%	5.94%	1.44%	2.16%	1.95%	1.57%	0.0%	1.88%	0.0%	0.63%	2.67%	1.44%	2.70%	1.39%	0.70%	4.32%	0.0%	2.42%	7.65%					
30	"13. ""Демократическая партия России"""	21	1	0	2	3	0	1	3	0	1	5	0	0	0	0	1	0	0	0	0	1	0	2	1					
		0.20%	0.15%	0.0%	0.22%	0.42%	0.0%	0.54%	0.25%	0.0%	0.21%	0.49%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.13%	0.27%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	5	0	1	1	1	0	0	3	0	1	1	0	0	1	1	0	0	0	0	2	0	4	1					
		0.20%	0.79%	0.0%	0.11%	0.14%	0.51%	0.0%	0.0%	0.34%	0.0%	0.09%	0.87%	0.0%	0.0%	0.63%	0.38%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.26%	0.27%					
32	"15. ""Партия СЛОН"""	15	1	0	1	3	0	2	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	2	0					
		0.14%	0.15%	0.0%	0.11%	0.42%	0.0%	1.08%	0.0%	0.11%	0.21%	0.19%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	448	33	22	52	29	7	6	56	49	16	40	3	3	3	11	10	1	3	28	11	14	0	39	12					
		4.26%	5.23%	6.45%	5.87%	4.10%	3.58%	3.24%	4.76%	5.59%	3.47%	3.92%	2.63%	2.83%	2.94%	6.96%	3.81%	1.44%	1.62%	9.75%	3.85%	2.42%	0.0%	2.62%	3.27%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	22	0	2	1	1	0	1	0	2	4	1	1	1	0	1	0	0	0	0	0	0	0	6	1					
		0.20%	0.0%	0.58%	0.11%	0.14%	0.0%	0.54%	0.0%	0.22%	0.86%	0.09%	0.87%	0.94%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.27%					
35	"18. ""ЛДПР"""	1807	114	69	123	117	47	29	277	165	61	173	28	20	30	13	55	15	23	43	38	100	3	233	31					
		17.22%	18.09%	20.23%	13.89%	16.57%	24.10%	15.67%	23.57%	18.83%	13.26%	16.97%	24.56%	18.86%	29.41%	8.22%	20.99%	21.73%	12.43%	14.98%	13.33%	17.30%	13.04%	15.67%	8.46%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1011	50	31	73	67	14	7	166	112	19	117	14	8	1	32	7	2	6	12	10	114	0	84	65					
		9.63%	7.93%	9.09%	8.24%	9.49%	7.17%	3.78%	14.12%	12.78%	4.13%	11.48%	12.28%	7.54%	0.98%	20.25%	2.67%	2.89%	3.24%	4.18%	3.50%	19.72%	0.0%	5.65%	17.75%					
37	"20. ""Политическая партия ""Единая Россия"""	4248	236	121	340	270	81	90	394	326	241	473	32	32	56	27	155	12	101	107	148	177	11	691	127					
		40.48%	37.46%	35.48%	38.41%	38.24%	41.53%	48.64%	33.53%	37.21%	52.39%	46.41%	28.07%	30.18%	54.90%	17.08%	59.16%	17.39%	54.59%	37.28%	51.92%	30.62%	47.82%	46.50%	34.69%					
38	"21. ""Российская Конституционно-демократическая партия"""	27	1	2	1	0	1	0	0	4	2	2	0	0	0	2	0	2	0	0	4	1	0	3	2					
		0.25%	0.15%	0.58%	0.11%	0.0%	0.51%	0.0%	0.0%	0.45%	0.43%	0.19%	0.0%	0.0%	0.0%	1.26%	0.0%	2.89%	0.0%	0.0%	1.40%	0.17%	0.0%	0.20%	0.54%					
39	"22. ""Развитие предпринимательства"""	29	2	1	1	4	0	1	5	2	1	4	0	0	0	1	0	0	0	0	0	1	0	3	3					
		0.27%	0.31%	0.29%	0.11%	0.56%	0.0%	0.54%	0.42%	0.22%	0.21%	0.39%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.20%	0.81%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	542	42	12	46	34	4	12	59	60	15	37	12	4	1	29	5	5	16	27	14	29	0	52	27					
		5.16%	6.66%	3.51%	5.19%	4.81%	2.05%	6.48%	5.02%	6.84%	3.26%	3.63%	10.52%	3.77%	0.98%	18.35%	1.90%	7.24%	8.64%	9.40%	4.91%	5.01%	0.0%	3.49%	7.37%					
																														
41	Против всех	466	21	5	52	43	10	6	50	33	18	22	12	1	6	6	4	7	6	18	7	18	2	97	22					
		4.44%	3.33%	1.46%	5.87%	6.09%	5.12%	3.24%	4.25%	3.76%	3.91%	2.15%	10.52%	0.94%	5.88%	3.79%	1.52%	10.14%	3.24%	6.27%	2.45%	3.11%	8.69%	6.52%	6.01%					
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
																														
