Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Марьяновская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440	УИК  441	УИК  442	УИК  443	УИК  444	УИК  445	УИК  446	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464					
1	"Число избирателей, внесенных в списки"	19701	1253	1510	1306	1396	1159	1518	66	141	271	98	190	301	745	566	122	361	125	1537	261	291	240	217	728	93	92	271	239	702	642	173	116	794	293	819	197	160	550	158					
2	"Число бюллетеней, полученных участковыми комиссиями"	19549	1196	1440	1240	1320	1138	1516	76	143	282	100	210	303	781	627	128	367	133	1519	263	287	236	225	714	93	94	274	230	692	642	172	120	812	289	823	199	162	545	158					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11254	563	611	539	669	403	929	66	97	190	75	109	223	503	228	110	208	73	940	183	236	195	127	395	60	39	163	99	490	444	137	95	524	271	520	158	107	343	132					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	695	33	20	21	31	337	45	0	0	0	0	39	0	2	18	0	10	0	37	0	0	0	0	14	0	2	0	0	12	13	0	0	40	0	12	0	5	4	0					
6	Число погашенных бюллетеней	7600	600	809	680	620	398	542	10	46	92	25	62	80	276	381	18	149	60	542	80	51	41	98	305	33	53	111	131	190	185	35	25	248	18	291	41	50	198	26					
7	Число бюллетеней в переносных ящиках для голосования	695	33	20	21	31	337	45	0	0	0	0	39	0	2	18	0	10	0	37	0	0	0	0	14	0	2	0	0	12	13	0	0	40	0	12	0	5	4	0					
8	Число бюллетеней в стационарных ящиках для голосования	11254	563	611	539	669	403	929	66	97	190	75	109	223	503	228	110	208	73	940	183	236	195	127	395	60	39	163	99	490	444	137	95	524	271	520	158	107	343	132					
9	Число недействительных бюллетеней	252	20	14	10	13	3	18	0	0	6	0	0	0	4	5	0	7	0	30	9	12	0	7	20	3	3	0	9	1	12	9	0	14	0	6	2	0	13	2					
10	Число действительных бюллетеней	11697	576	617	550	687	737	956	66	97	184	75	148	223	501	241	110	211	73	947	174	224	195	120	389	57	38	163	90	501	445	128	95	550	271	526	156	112	334	130					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	255	10	10	10	10	10	10	5	5	5	5	5	5	10	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	20	5	5	10	5	10	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	39	2	1	9	7	6	4	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	3	0	0	1	0	0	1	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	43	4	1	0	2	2	2	0	0	0	0	0	0	2	1	0	2	0	4	1	0	2	0	2	1	0	1	0	6	2	0	0	2	1	3	0	1	1	0					
14	Число погашенных открепительных удостоверений	216	8	9	1	3	4	6	5	5	5	5	5	5	10	5	5	4	5	8	5	5	5	5	4	5	5	5	5	5	19	5	2	10	5	9	5	5	4	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	298	14	12	7	12	7	17	1	1	4	1	2	8	13	7	3	6	3	24	8	10	11	12	12	0	2	6	0	10	14	3	1	16	8	20	6	1	8	8					
		2.49%	2.34%	1.90%	1.24%	1.71%	0.94%	1.74%	1.51%	1.03%	2.10%	1.33%	1.35%	3.58%	2.57%	2.84%	2.72%	2.75%	4.10%	2.45%	4.37%	4.23%	5.64%	9.44%	2.93%	0.0%	4.87%	3.68%	0.0%	1.99%	3.06%	2.18%	1.05%	2.83%	2.95%	3.75%	3.79%	0.89%	2.30%	6.06%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	285	12	25	22	33	11	4	0	0	4	0	2	1	10	10	1	4	0	12	9	2	2	2	5	2	2	34	5	9	6	1	2	7	6	22	5	2	8	3					
		2.38%	2.01%	3.96%	3.92%	4.71%	1.48%	0.41%	0.0%	0.0%	2.10%	0.0%	1.35%	0.44%	1.98%	4.06%	0.90%	1.83%	0.0%	1.22%	4.91%	0.84%	1.02%	1.57%	1.22%	3.33%	4.87%	20.85%	5.05%	1.79%	1.31%	0.72%	2.10%	1.24%	2.21%	4.13%	3.16%	1.78%	2.30%	2.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	496	30	17	21	38	39	30	12	5	13	1	5	4	21	10	0	6	2	49	13	10	13	3	14	3	2	11	4	31	17	6	3	24	3	21	1	2	10	2					
		4.15%	5.03%	2.69%	3.74%	5.42%	5.27%	3.08%	18.18%	5.15%	6.84%	1.33%	3.37%	1.79%	4.15%	4.06%	0.0%	2.75%	2.73%	5.01%	7.10%	4.23%	6.66%	2.36%	3.42%	5.0%	4.87%	6.74%	4.04%	6.17%	3.71%	4.37%	3.15%	4.25%	1.10%	3.94%	0.63%	1.78%	2.88%	1.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	191	7	21	10	30	12	9	2	0	2	0	0	0	6	3	1	0	1	24	2	1	2	1	3	1	1	3	1	10	5	0	4	8	6	6	3	2	3	1					
		1.59%	1.17%	3.32%	1.78%	4.28%	1.62%	0.92%	3.03%	0.0%	1.05%	0.0%	0.0%	0.0%	1.18%	1.21%	0.90%	0.0%	1.36%	2.45%	1.09%	0.42%	1.02%	0.78%	0.73%	1.66%	2.43%	1.84%	1.01%	1.99%	1.09%	0.0%	4.21%	1.41%	2.21%	1.12%	1.89%	1.78%	0.86%	0.75%					
22	"5. ""За Русь Святую"""	51	0	3	2	4	1	11	0	0	0	0	0	0	0	2	0	0	1	5	2	1	0	0	6	1	0	1	1	0	2	0	0	0	2	0	0	0	5	1					
		0.42%	0.0%	0.47%	0.35%	0.57%	0.13%	1.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	1.36%	0.51%	1.09%	0.42%	0.0%	0.0%	1.46%	1.66%	0.0%	0.61%	1.01%	0.0%	0.43%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	1.44%	0.75%					
23	"6. ""Объединенная Российская партия ""Русь"""	42	1	1	1	4	0	4	0	0	0	0	2	0	0	2	0	0	1	7	1	0	0	0	4	0	0	1	0	0	3	0	0	2	3	2	1	2	0	0					
		0.35%	0.16%	0.15%	0.17%	0.57%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	1.35%	0.0%	0.0%	0.81%	0.0%	0.0%	1.36%	0.71%	0.54%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.61%	0.0%	0.0%	0.65%	0.0%	0.0%	0.35%	1.10%	0.37%	0.63%	1.78%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	57	1	3	2	4	4	5	0	0	0	0	0	5	4	1	0	1	0	4	1	2	0	1	3	0	0	2	0	2	1	1	0	3	0	3	0	2	2	0					
		0.47%	0.16%	0.47%	0.35%	0.57%	0.54%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	2.24%	0.79%	0.40%	0.0%	0.45%	0.0%	0.40%	0.54%	0.84%	0.0%	0.78%	0.73%	0.0%	0.0%	1.22%	0.0%	0.39%	0.21%	0.72%	0.0%	0.53%	0.0%	0.56%	0.0%	1.78%	0.57%	0.0%					
25	"8. ""Народно-республиканская партия России"""	12	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	2	0					
		0.10%	0.0%	0.15%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.45%	1.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.43%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.57%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	21	1	0	2	3	2	2	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1					
		0.17%	0.16%	0.0%	0.35%	0.42%	0.27%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	1.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.28%	0.75%					
27	"10. ""Аграрная партия России"""	1026	27	32	34	30	23	122	8	16	9	13	4	16	55	11	3	23	4	120	14	25	21	15	35	6	1	10	10	24	66	13	17	55	12	62	11	20	42	17					
		8.58%	4.53%	5.07%	6.07%	4.28%	3.10%	12.52%	12.12%	16.49%	4.73%	17.33%	2.70%	7.17%	10.89%	4.47%	2.72%	10.55%	5.47%	12.28%	7.65%	10.59%	10.76%	11.81%	8.55%	10.0%	2.43%	6.13%	10.10%	4.78%	14.44%	9.48%	17.89%	9.75%	4.42%	11.65%	6.96%	17.85%	12.10%	12.87%					
28	"11. ""Истинные патриоты России"""	24	0	0	0	0	1	0	0	0	0	0	0	6	3	1	0	0	0	0	1	0	1	2	0	0	1	0	0	0	0	0	0	1	1	1	2	0	2	1					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.69%	0.59%	0.40%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.51%	1.57%	0.0%	0.0%	2.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.36%	0.18%	1.26%	0.0%	0.57%	0.75%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	112	4	2	2	2	6	12	1	2	5	0	1	3	1	5	1	4	1	3	4	2	0	1	3	2	0	7	0	2	3	1	0	13	4	4	0	0	6	5					
		0.93%	0.67%	0.31%	0.35%	0.28%	0.81%	1.23%	1.51%	2.06%	2.63%	0.0%	0.67%	1.34%	0.19%	2.03%	0.90%	1.83%	1.36%	0.30%	2.18%	0.84%	0.0%	0.78%	0.73%	3.33%	0.0%	4.29%	0.0%	0.39%	0.65%	0.72%	0.0%	2.30%	1.47%	0.75%	0.0%	0.0%	1.72%	3.78%					
30	"13. ""Демократическая партия России"""	42	3	3	1	1	0	5	0	0	2	0	0	1	0	1	2	2	0	3	0	1	0	1	0	0	0	0	0	0	2	0	2	2	2	1	0	4	3	0					
		0.35%	0.50%	0.47%	0.17%	0.14%	0.0%	0.51%	0.0%	0.0%	1.05%	0.0%	0.0%	0.44%	0.0%	0.40%	1.81%	0.91%	0.0%	0.30%	0.0%	0.42%	0.0%	0.78%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	2.10%	0.35%	0.73%	0.18%	0.0%	3.57%	0.86%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	32	0	2	2	0	1	0	0	1	0	1	1	2	0	1	0	0	0	9	2	0	3	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	2	0					
		0.26%	0.0%	0.31%	0.35%	0.0%	0.13%	0.0%	0.0%	1.03%	0.0%	1.33%	0.67%	0.89%	0.0%	0.40%	0.0%	0.0%	0.0%	0.92%	1.09%	0.0%	1.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.39%	0.0%	0.0%	0.0%	0.17%	0.0%	0.37%	0.0%	0.0%	0.57%	0.0%					
32	"15. ""Партия СЛОН"""	12	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.40%	0.0%	0.45%	0.0%	0.10%	0.54%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	471	23	44	36	54	21	40	6	3	4	1	4	3	20	9	0	14	0	32	1	1	14	3	17	1	1	6	1	8	9	1	1	15	22	29	4	6	12	5					
