Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Пограничная																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	17155	782	794	701	693	652	729	653	713	720	650	771	393	346	709	55	60	176	157	221	217	834	561	90	147	55	2450	1060	151	631	623	361									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16700	700	700	700	660	650	680	650	720	720	650	770	390	340	700	50	60	170	150	210	210	850	560	90	130	50	2400	1000	130	630	620	360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7609	253	288	294	232	243	325	300	274	263	179	240	123	136	275	23	27	81	61	108	86	360	291	75	43	20	1860	536	98	196	208	111									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	273	1	7	0	1	18	7	6	1	5	10	17	2	9	17	0	0	8	1	10	28	30	20	0	4	0	42	15	8	1	4	1									
6	Число погашенных избирательных бюллетеней	8818	446	405	406	427	389	348	344	445	452	461	513	265	195	408	27	33	81	88	92	96	460	249	15	83	30	498	449	24	433	408	248									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	273	1	7	0	1	18	7	6	1	5	10	17	2	9	17	0	0	8	1	10	28	30	20	0	4	0	42	15	8	1	4	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7604	253	288	294	232	243	325	300	274	258	179	240	123	136	275	23	27	81	61	108	86	360	291	75	43	20	1860	536	98	196	208	111									
9	Число недействительных избирательных бюллетеней	300	5	14	10	11	8	14	11	7	8	8	18	5	3	7	2	3	2	6	5	35	12	2	0	4	2	40	17	6	10	14	11									
10	Число действительных избирательных бюллетеней	7577	249	281	284	222	253	318	295	268	255	181	239	120	142	285	21	24	87	56	113	79	378	309	75	43	18	1862	534	100	187	198	101									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	565	15	20	20	20	20	20	20	20	20	20	20	20	15	20	5	5	15	5	5	5	40	20	15	5	5	70	40	15	20	20	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	163	4	2	17	1	2	6	6	8	5	1	6	3	4	8	0	0	15	0	5	1	25	2	11	0	1	3	4	11	6	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	153	4	12	7	2	4	13	4	4	3	2	3	0	1	3	1	0	13	1	14	1	5	2	2	10	0	5	7	23	1	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	402	11	18	3	19	18	14	14	12	15	19	14	17	11	12	5	5	0	5	0	4	15	18	4	5	4	67	36	4	14	17	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	7	2	7	2	1	2	1	1	1	0	1	1	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	125	5	2	7	4	11	9	10	8	4	3	3	5	1	2	0	0	2	4	1	0	5	1	1	0	0	21	6	3	3	1	3									
		1.59%	1.97%	0.68%	2.38%	1.72%	4.21%	2.71%	3.27%	2.91%	1.52%	1.59%	1.17%	4.00%	0.69%	0.68%	0.00%	0.00%	2.25%	6.45%	0.85%	0.00%	1.28%	0.32%	1.33%	0.00%	0.00%	1.10%	1.09%	2.83%	1.52%	0.47%	2.68%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	270	9	17	7	11	15	13	12	8	8	6	16	7	1	16	1	0	5	0	3	2	8	10	1	1	0	49	19	1	11	11	2									
		3.43%	3.54%	5.76%	2.38%	4.72%	5.75%	3.92%	3.92%	2.91%	3.04%	3.17%	6.23%	5.60%	0.69%	5.48%	4.35%	0.00%	5.62%	0.00%	2.54%	1.75%	2.05%	3.22%	1.33%	2.13%	0.00%	2.58%	3.45%	0.94%	5.58%	5.19%	1.79%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	183	10	3	5	9	15	15	14	5	5	2	8	1	2	10	0	0	2	2	0	1	10	9	0	2	1	20	17	4	6	3	2									
		2.32%	3.94%	1.02%	1.70%	3.86%	5.75%	4.52%	4.58%	1.82%	1.90%	1.06%	3.11%	0.80%	1.38%	3.42%	0.00%	0.00%	2.25%	3.23%	0.00%	0.88%	2.56%	2.89%	0.00%	4.26%	5.00%	1.05%	3.09%	3.77%	3.05%	1.42%	1.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3430	90	121	110	64	86	103	91	96	89	72	86	45	82	108	12	14	41	25	66	29	99	184	33	25	8	1160	262	40	67	80	42									
		43.54%	35.43%	41.02%	37.41%	27.47%	32.95%	31.02%	29.74%	34.91%	33.84%	38.10%	33.46%	36.00%	56.55%	36.99%	52.17%	51.85%	46.07%	40.32%	55.93%	25.44%	25.38%	59.16%	44.00%	53.19%	40.00%	60.99%	47.55%	37.74%	34.01%	37.74%	37.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	48	1	1	1	1	0	1	2	0	3	1	1	0	0	2	1	0	0	0	1	0	1	1	1	1	0	15	4	0	6	2	1									
		0.61%	0.39%	0.34%	0.34%	0.43%	0.00%	0.30%	0.65%	0.00%	1.14%	0.53%	0.39%	0.00%	0.00%	0.68%	4.35%	0.00%	0.00%	0.00%	0.85%	0.00%	0.26%	0.32%	1.33%	2.13%	0.00%	0.79%	0.73%	0.00%	3.05%	0.94%	0.89%									
24	"6. Политическая партия ""Гражданская Платформа"""	20	0	1	1	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	7	3	0	0	0	0									
		0.25%	0.00%	0.34%	0.34%	0.43%	0.00%	0.00%	0.00%	0.00%	0.38%	1.59%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.32%	0.00%	0.00%	0.00%	0.37%	0.54%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1794	77	73	69	53	50	80	76	52	48	44	55	35	22	67	3	9	21	15	19	23	106	60	33	10	5	391	122	36	59	54	27									
		22.78%	30.31%	24.75%	23.47%	22.75%	19.16%	24.10%	24.84%	18.91%	18.25%	23.28%	21.40%	28.00%	15.17%	22.95%	13.04%	33.33%	23.60%	24.19%	16.10%	20.18%	27.18%	19.29%	44.00%	21.28%	25.00%	20.56%	22.14%	33.96%	29.95%	25.47%	24.11%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	55	2	0	4	5	1	4	2	3	0	0	1	1	0	0	1	0	0	0	0	0	1	3	0	0	0	15	4	1	2	4	1									
		0.70%	0.79%	0.00%	1.36%	2.15%	0.38%	1.20%	0.65%	1.09%	0.00%	0.00%	0.39%	0.80%	0.00%	0.00%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.96%	0.00%	0.00%	0.00%	0.79%	0.73%	0.94%	1.02%	1.89%	0.89%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	78	3	0	5	10	1	3	6	7	4	2	4	1	1	4	0	0	1	1	1	1	3	3	0	1	0	3	7	1	2	2	1									
		0.99%	1.18%	0.00%	1.70%	4.29%	0.38%	0.90%	1.96%	2.55%	1.52%	1.06%	1.56%	0.80%	0.69%	1.37%	0.00%	0.00%	1.12%	1.61%	0.85%	0.88%	0.77%	0.96%	0.00%	2.13%	0.00%	0.16%	1.27%	0.94%	1.02%	0.94%	0.89%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	17	0	0	1	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	1	0	1	0	0	7	0	0	2	0	0									
		0.22%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.39%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	1.33%	0.00%	0.00%	0.37%	0.00%	0.00%	1.02%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	93	6	1	0	3	6	7	2	8	3	2	2	0	3	7	0	0	1	0	0	0	5	2	0	1	0	25	4	0	1	2	2									
		1.18%	2.36%	0.34%	0.00%	1.29%	2.30%	2.11%	0.65%	2.91%	1.14%	1.06%	0.78%	0.00%	2.07%	2.40%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	1.28%	0.64%	0.00%	2.13%	0.00%	1.31%	0.73%	0.00%	0.51%	0.94%	1.79%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1242	41	51	57	56	58	75	71	70	79	40	55	25	26	60	3	1	12	8	18	20	125	31	3	2	4	101	70	12	21	31	16									
		15.77%	16.14%	17.29%	19.39%	24.03%	22.22%	22.59%	23.20%	25.45%	30.04%	21.16%	21.40%	20.00%	17.93%	20.55%	13.04%	3.70%	13.48%	12.90%	15.25%	17.54%	32.05%	9.97%	4.00%	4.26%	20.00%	5.31%	12.70%	11.32%	10.66%	14.62%	14.29%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	0	0	2	0	1	0	2	2	1	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	13	3	1	3	1	1									
		0.44%	0.00%	0.00%	0.68%	0.00%	0.38%	0.00%	0.65%	0.73%	0.38%	0.00%	0.39%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.68%	0.54%	0.94%	1.52%	0.47%	0.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	187	5	11	15	5	9	8	7	9	8	6	6	0	3	7	0	0	2	1	3	3	10	4	2	0	0	35	13	1	4	7	3									
		2.37%	1.97%	3.73%	5.10%	2.15%	3.45%	2.41%	2.29%	3.27%	3.04%	3.17%	2.33%	0.00%	2.07%	2.40%	0.00%	0.00%	2.25%	1.61%	2.54%	2.63%	2.56%	1.29%	2.67%	0.00%	0.00%	1.84%	2.36%	0.94%	2.03%	3.30%	2.68%									
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
																																										
