Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Чернышевская																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  794	УИК  795	УИК  796	УИК  797	УИК  798	УИК  799	УИК  800	УИК  801	УИК  802	УИК  803	УИК  804	УИК  805	УИК  806	УИК  807	УИК  808	УИК  809	УИК  810	УИК  811	УИК  812	УИК  813	УИК  814	УИК  815	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831					
1	"Число избирателей, внесенных в списки"	26492	1077	920	756	1687	1362	1526	2096	255	325	899	749	680	2237	415	822	851	906	357	267	187	646	329	1040	382	132	734	573	204	122	295	221	672	1137	602	95	300	224	410					
2	"Число бюллетеней, полученных участковыми комиссиями"	25926	1085	872	818	1614	1301	1457	2035	245	336	1060	698	610	1979	384	843	846	908	347	258	185	613	331	1021	379	142	712	569	219	126	303	217	632	1168	596	94	301	222	400					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12215	476	344	279	620	614	740	1077	95	93	266	306	308	992	164	302	286	459	206	196	129	400	200	397	224	56	397	313	138	48	210	169	318	461	365	36	160	156	215					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1235	16	38	39	46	24	26	72	2	34	58	27	27	55	40	21	28	11	0	14	12	24	13	127	20	1	74	32	12	23	11	11	81	83	36	48	26	11	12					
6	Число погашенных бюллетеней	12476	593	490	500	948	663	691	886	148	209	736	365	275	932	180	520	532	438	141	48	44	189	118	497	135	85	241	224	69	55	82	37	233	624	195	10	115	55	173					
7	Число бюллетеней в переносных ящиках для голосования	1235	16	38	39	46	24	26	72	2	34	58	27	27	55	40	21	28	11	0	14	12	24	13	127	20	1	74	32	12	23	11	11	81	83	36	48	26	11	12					
8	Число бюллетеней в стационарных ящиках для голосования	12215	476	344	279	620	614	740	1077	95	93	266	306	308	992	164	302	286	459	206	196	129	400	200	397	224	56	397	313	138	48	210	169	318	461	365	36	160	156	215					
9	Число недействительных бюллетеней	169	8	4	2	3	4	3	4	1	0	0	6	0	22	2	9	0	0	5	0	3	12	5	3	4	2	6	11	3	0	1	2	13	12	4	5	2	4	4					
10	Число действительных бюллетеней	13281	484	378	316	663	634	763	1145	96	127	324	327	335	1025	202	314	314	470	201	210	138	412	208	521	240	55	465	334	147	71	220	178	386	532	397	79	184	163	223					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	293	11	10	10	15	10	15	15	5	5	10	7	7	15	5	9	9	9	5	3	3	5	5	10	5	5	5	5	3	3	3	5	5	23	5	3	5	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	113	2	0	5	4	1	10	12	0	0	2	2	2	10	0	1	0	5	0	0	0	3	5	2	5	0	2	2	0	0	3	0	2	19	1	0	5	7	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	48	2	3	6	2	8	4	2	0	0	1	0	0	1	0	0	1	0	0	0	0	1	3	3	0	0	1	1	0	0	1	1	1	3	0	0	1	0	2					
14	Число погашенных открепительных удостоверений	180	9	10	5	11	9	5	3	5	5	8	5	5	5	5	8	9	4	5	3	3	2	0	8	0	5	3	3	3	3	0	5	3	4	4	3	0	3	9					
15	Число открепительных удостоверений выданных ТИК	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																													
18	"1. ""ЕДИНЕНИЕ"""	187	4	4	5	8	7	8	10	2	1	4	3	3	15	2	6	4	7	7	3	1	2	6	9	4	0	6	6	7	2	0	7	10	8	8	2	1	4	1					
		1.39%	0.81%	1.04%	1.57%	1.20%	1.09%	1.04%	0.87%	2.06%	0.78%	1.23%	0.90%	0.89%	1.43%	0.98%	1.85%	1.27%	1.48%	3.39%	1.42%	0.70%	0.47%	2.81%	1.71%	1.63%	0.0%	1.27%	1.73%	4.66%	2.81%	0.0%	3.88%	2.50%	1.47%	1.99%	2.38%	0.53%	2.39%	0.44%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	83	2	1	3	6	5	4	9	0	0	0	2	2	13	0	7	0	0	5	2	0	2	2	1	1	0	1	2	0	0	2	3	0	4	2	0	0	1	1					
		0.61%	0.40%	0.26%	0.94%	0.90%	0.78%	0.52%	0.78%	0.0%	0.0%	0.0%	0.60%	0.59%	1.24%	0.0%	2.16%	0.0%	0.0%	2.42%	0.95%	0.0%	0.47%	0.93%	0.19%	0.40%	0.0%	0.21%	0.57%	0.0%	0.0%	0.90%	1.66%	0.0%	0.73%	0.49%	0.0%	0.0%	0.59%	0.44%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	425	11	12	9	23	15	15	36	2	12	28	25	21	54	8	13	15	20	5	3	7	3	4	6	2	2	6	8	2	1	0	1	6	19	9	4	4	6	8					
		3.15%	2.23%	3.14%	2.83%	3.45%	2.35%	1.95%	3.13%	2.06%	9.44%	8.64%	7.50%	6.26%	5.15%	3.92%	4.02%	4.77%	4.25%	2.42%	1.42%	4.96%	0.70%	1.87%	1.14%	0.81%	3.50%	1.27%	2.31%	1.33%	1.40%	0.0%	0.55%	1.50%	3.49%	2.24%	4.76%	2.15%	3.59%	3.52%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	141	6	3	2	3	2	15	22	0	1	8	3	1	27	4	5	3	4	0	0	0	3	1	2	0	0	1	3	1	2	2	2	6	4	1	0	3	1	0					
