Выборы Президента Российской Федерации																					
																					
Наименование Избирательной комиссии:    Палкинская																					
																					
Итоги голосования 																					
																					
		Сумма	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205	УИК  206	УИК  207	УИК  208	УИК  209	УИК  210	УИК  211	УИК  212	УИК  213	УИК  214					
1	"Число избирателей, внесенных в список"	7531	2575	312	423	163	326	194	723	440	289	195	282	343	256	1010					
2	Число полученных избирательных бюллетеней	7940	2700	370	490	170	340	210	770	470	290	200	300	380	250	1000					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	3720	1429	109	213	119	96	87	358	229	117	92	115	189	138	429					
5	"Число избирательных бюллетеней, выданных вне помещения"	1793	89	152	148	32	180	89	206	126	110	76	136	120	95	234					
6	Число погашенных избирательных бюллетеней	2427	1182	109	129	19	64	34	206	115	63	32	49	71	17	337					
7	Число избирательных бюллетеней в переносных ящиках	1793	89	152	148	32	180	89	206	126	110	76	136	120	95	234					
8	Число бюллетеней в стационарных ящиках для голосования	3717	1426	109	213	119	96	87	358	229	117	92	115	189	138	429					
9	Число недействительных избирательных бюллетеней	34	6	1	1	1	2	2	0	4	5	1	1	3	1	6					
10	Число действительных избирательных бюллетеней	5476	1509	260	360	150	274	174	564	351	222	167	250	306	232	657					
11	Число полученных открепительных  удостоверений	159	59	20	10	5	5	5	10	10	5	5	5	5	5	10					
12	Число выданных открепительных удостоверений	29	15	0	1	0	1	0	1	1	0	0	2	4	0	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	32	4	1	3	2	5	0	1	1	3	2	5	1	2	2					
14	Число неиспользованных открепительных удостоверений	130	44	20	9	5	4	5	9	9	5	5	3	1	5	6					
15	"Число открепительных удостоверений, выданных в ТИК"	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																					
18	. Глазьев Сергей Юрьевич	127	41	4	14	0	9	3	20	7	2	4	6	4	5	8					
		2.30%	2.71%	1.53%	3.88%	0.00%	3.26%	1.70%	3.55%	1.97%	0.88%	2.38%	2.39%	1.29%	2.15%	1.21%					
19	. Малышкин Олег Александрович	79	18	3	3	3	6	5	8	1	9	0	2	5	4	12					
		1.43%	1.19%	1.15%	0.83%	1.99%	2.17%	2.84%	1.42%	0.28%	3.96%	0.00%	0.80%	1.62%	1.72%	1.81%					
20	. Миронов Сергей Михайлович	42	9	5	5	1	1	0	3	6	3	3	2	1	2	1					
		0.76%	0.59%	1.92%	1.39%	0.66%	0.36%	0.00%	0.53%	1.69%	1.32%	1.79%	0.80%	0.32%	0.86%	0.15%					
21	. Путин Владимир Владимирович	4018	1046	154	264	136	197	120	415	263	151	121	185	243	189	534					
		72.92%	69.04%	59.00%	73.13%	90.07%	71.38%	68.18%	73.58%	74.08%	66.52%	72.02%	73.71%	78.64%	81.12%	80.54%					
22	. Хакамада Ирина Муцуовна	119	40	5	12	2	7	3	7	9	4	2	9	4	4	11					
		2.16%	2.64%	1.92%	3.32%	1.32%	2.54%	1.70%	1.24%	2.54%	1.76%	1.19%	3.59%	1.29%	1.72%	1.66%					
23	. Харитонов Николай Михайлович	1012	327	87	54	8	48	41	102	60	52	33	44	47	27	82					
		18.37%	21.58%	33.33%	14.96%	5.30%	17.39%	23.30%	18.09%	16.90%	22.91%	19.64%	17.53%	15.21%	11.59%	12.37%					
																					
24	Против всех	79	28	2	8	0	6	2	9	5	1	4	2	2	1	9					
		1.43%	1.85%	0.77%	2.22%	0.00%	2.17%	1.14%	1.60%	1.41%	0.44%	2.38%	0.80%	0.65%	0.43%	1.36%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
