Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    район Лефортово																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №3700	УИК №3701	УИК №3702									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	52266	2630	2192	344	1637	1449	1456	2517	2391	2175	2803	2722	2130	2767	2138	1930	2190	2003	1268	1927	1764	2402	2258	2464	1655	2412	100	67	475									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46190	2300	1970	300	1350	1250	1260	2220	2050	1930	2470	2450	1800	2480	2000	1630	1920	1730	1140	1730	1530	2150	2030	2230	1500	2150	140	80	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	20126	700	577	126	572	545	489	792	883	1578	861	883	811	1671	1597	804	825	691	478	648	601	977	621	779	525	778	84	67	163									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	824	10	17	2	21	22	35	36	12	18	12	32	16	23	0	27	35	32	8	22	17	39	45	36	29	46	0	0	232									
6	Число погашенных избирательных бюллетеней	25237	1590	1376	172	757	683	736	1392	1155	334	1594	1535	973	786	403	799	1060	1007	654	1060	912	1134	1364	1415	946	1326	56	13	5									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	823	10	17	2	21	22	35	36	12	17	12	32	16	23	0	27	35	32	8	22	17	39	45	36	29	46	0	0	232									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19984	698	575	126	571	523	487	791	883	1575	846	882	811	1671	1597	803	823	690	478	644	599	899	621	779	522	776	84	67	163									
9	Число недействительных избирательных бюллетеней	338	13	4	1	18	9	9	10	11	37	16	8	9	19	29	8	9	8	6	9	7	14	20	28	12	17	6	1	0									
10	Число действительных избирательных бюллетеней	20469	695	588	127	574	536	513	817	884	1555	842	906	818	1675	1568	822	849	714	480	657	609	924	646	787	539	805	78	66	395									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	425	15	15	5	10	10	10	25	15	15	15	15	10	15	55	30	15	10	10	20	10	15	15	35	20	15	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	266	7	10	4	2	3	5	14	13	13	12	14	10	8	48	11	6	9	10	10	4	7	8	19	11	8	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1356	68	8	14	130	67	65	70	118	97	71	13	152	86	8	100	60	79	9	14	62	14	7	6	3	28	0	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	159	8	5	1	8	7	5	11	2	2	3	1	0	7	7	19	9	1	0	10	6	8	7	16	9	7	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	2	1	0	1	4	2	2	2	3	2	0	2	3	0	3	4	4	1	3	0	1	4	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	667	29	23	4	20	21	18	19	38	40	28	35	22	58	37	27	33	21	24	24	23	27	25	21	13	21	1	3	12									
