Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																			
Дата голосования: 02.12.2007																			
																			
Наименование Избирательной комиссии:    Обская городская																			
																			
Сводная таблица результатов выборов																			
																			
		Сумма	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441					
1	"Число избирателей, внесенных в списки избирателей"	20392	2068	1720	1451	1908	457	2298	1477	1706	2300	2370	2141	496					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	16210	1660	1370	1165	1500	424	1825	1160	1340	1806	1860	1700	400					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	11040	981	767	693	991	331	1273	860	1089	1496	1345	1005	209					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	584	58	57	65	68	86	28	37	33	27	25	69	31					
6	Число погашенных избирательных бюллетеней	4586	621	546	407	441	7	524	263	218	283	490	626	160					
7	Число избирательных бюллетеней в переносных ящиках для голосования	584	58	57	65	68	86	28	37	33	27	25	69	31					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11025	981	761	693	989	331	1271	859	1089	1495	1342	1005	209					
9	Число недействительных избирательных бюллетеней	146	16	12	4	21	6	15	12	16	19	6	19	0					
10	Число действительных избирательных бюллетеней	11463	1023	806	754	1036	411	1284	884	1106	1503	1361	1055	240					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	300	25	25	25	25	5	25	25	25	45	25	25	25					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	149	10	11	12	6	1	20	9	12	36	16	15	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	142	6	6	6	9	1	9	22	39	13	18	13	0					
14	Число погашенных неиспользованных открепительных удостоверений	151	15	14	13	19	4	5	16	13	9	9	10	24					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0					
																			
18	1.Политическая партия «Аграрная партия России»	223	18	14	8	23	6	19	16	28	31	36	20	4					
		1.92%	1.73%	1.71%	1.06%	2.18%	1.44%	1.46%	1.79%	2.50%	2.04%	2.63%	1.86%	1.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	77	3	1	3	7	1	11	4	5	21	13	7	1					
		0.66%	0.29%	0.12%	0.40%	0.66%	0.24%	0.85%	0.45%	0.45%	1.38%	0.95%	0.65%	0.42%					
20	3.Политическая партия «Демократическая партия России»	15	0	3	3	0	1	2	0	1	3	1	1	0					
		0.13%	0.00%	0.37%	0.40%	0.00%	0.24%	0.15%	0.00%	0.09%	0.20%	0.07%	0.09%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1581	117	75	72	132	35	201	171	191	179	223	145	40					
		13.62%	11.26%	9.17%	9.50%	12.49%	8.39%	15.47%	19.08%	17.02%	11.76%	16.31%	13.50%	16.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	78	8	4	3	7	2	7	11	10	12	6	7	1					
		0.67%	0.77%	0.49%	0.40%	0.66%	0.48%	0.54%	1.23%	0.89%	0.79%	0.44%	0.65%	0.42%					
23	6.Политическая партия «Партия социальной справедливости»	27	1	2	2	3	0	2	2	1	7	4	2	1					
		0.23%	0.10%	0.24%	0.26%	0.28%	0.00%	0.15%	0.22%	0.09%	0.46%	0.29%	0.19%	0.42%					
24	7.Политическая партия «Либерально-демократическая партия России»	1170	82	66	76	89	30	136	76	111	205	155	112	32					
		10.08%	7.89%	8.07%	10.03%	8.42%	7.19%	10.47%	8.48%	9.89%	13.47%	11.34%	10.43%	13.33%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	851	56	66	56	72	15	103	76	78	115	126	76	12					
		7.33%	5.39%	8.07%	7.39%	6.81%	3.60%	7.93%	8.48%	6.95%	7.56%	9.22%	7.08%	5.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	93	2	3	6	1	2	10	11	9	21	18	10	0					
		0.80%	0.19%	0.37%	0.79%	0.09%	0.48%	0.77%	1.23%	0.80%	1.38%	1.32%	0.93%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	7192	729	565	522	689	316	764	504	650	881	757	666	149					
		61.95%	70.16%	69.07%	68.87%	65.18%	75.78%	58.81%	56.25%	57.93%	57.88%	55.38%	62.01%	62.08%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	156	7	7	3	13	3	29	13	22	28	22	9	0					
		1.34%	0.67%	0.86%	0.40%	1.23%	0.72%	2.23%	1.45%	1.96%	1.84%	1.61%	0.84%	0.00%					
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
