Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																						
Дата голосования: 07.12.2003 0:00:00																																																																						
																																																																						
Наименование Избирательной комиссии:    Мамадышская																																																																						
																																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																						
																																																																						
		Сумма	УИК №1880	УИК №1881	УИК №1882	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924	УИК №1925	УИК №1926	УИК №1927	УИК №1928	УИК №1929	УИК №1930	УИК №1931	УИК №1932	УИК №1933	УИК №1934	УИК №1935	УИК №1936	УИК №1937	УИК №1938	УИК №1939	УИК №1940	УИК №1941	УИК №1942					
1	"Число избирателей, внесенных в списки"	33269	419	129	277	134	252	300	515	424	170	153	127	118	555	137	924	640	367	1152	544	722	180	969	124	487	156	138	571	440	1508	1462	1512	1299	1315	1871	170	835	459	948	276	347	412	777	416	400	282	472	605	244	175	164	1308	309	680	351	380	190	332	349	547	138	156	1013	443					
2	"Число бюллетеней, полученных участковыми комиссиями"	33184	419	129	273	139	255	300	518	444	170	163	127	120	558	137	929	639	367	1138	548	710	182	969	136	487	157	140	587	444	1402	1377	1389	1338	1309	1811	170	865	469	1020	286	347	413	787	418	402	278	475	608	263	175	164	1321	303	675	362	379	193	333	356	554	142	156	1016	443					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29859	389	121	260	130	247	295	468	403	166	146	127	114	538	132	787	628	367	1102	531	696	164	835	120	454	151	138	551	425	1086	1152	1047	972	1023	1529	170	766	459	945	269	339	390	750	409	385	257	463	572	226	175	161	1250	261	603	341	375	181	329	344	538	137	141	891	438					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	740	14	8	13	4	5	5	9	0	0	7	0	4	13	0	3	6	0	0	4	2	12	86	0	0	0	0	10	0	40	32	40	16	72	19	0	52	0	3	7	3	16	23	7	0	8	6	0	14	0	0	20	6	0	7	0	9	3	5	7	0	11	104	5					
6	Число погашенных бюллетеней	2585	16	0	0	5	3	0	41	41	4	10	0	2	7	5	139	5	0	36	13	12	6	48	16	33	6	2	26	19	276	193	302	350	214	263	0	47	10	72	10	5	7	14	2	17	13	6	36	23	0	3	51	36	72	14	4	3	1	7	9	5	4	21	0					
7	Число бюллетеней в переносных ящиках для голосования	740	14	8	13	4	5	5	9	0	0	7	0	4	13	0	3	6	0	0	4	2	12	86	0	0	0	0	10	0	40	32	40	16	72	19	0	52	0	3	7	3	16	23	7	0	8	6	0	14	0	0	20	6	0	7	0	9	3	5	7	0	11	104	5					
8	Число бюллетеней в стационарных ящиках для голосования	29859	389	121	260	130	247	295	468	403	166	146	127	114	538	132	787	628	367	1102	531	696	164	835	120	454	151	138	551	425	1086	1152	1047	972	1023	1529	170	766	459	945	269	339	390	750	409	385	257	463	572	226	175	161	1250	261	603	341	375	181	329	344	538	137	141	891	438					
9	Число недействительных бюллетеней	713	0	14	3	0	1	21	20	3	1	2	0	0	32	0	147	34	0	3	53	12	0	7	0	0	6	1	1	4	11	14	7	21	10	12	2	25	2	18	4	4	12	4	0	1	8	0	0	9	1	0	0	1	0	16	0	0	2	1	25	0	0	138	0					
10	Число действительных бюллетеней	29886	403	115	270	134	251	279	457	400	165	151	127	118	519	132	643	600	367	1099	482	686	176	914	120	454	145	137	560	421	1115	1170	1080	967	1085	1536	168	793	457	930	272	338	394	769	416	384	257	469	572	231	174	161	1270	266	603	332	375	190	330	348	520	137	152	857	443					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	498	5	5	5	5	5	5	5	5	5	5	5	5	10	5	10	10	5	20	10	10	5	10	5	5	5	5	10	5	25	20	20	20	15	32	0	10	5	10	5	5	5	10	5	5	5	5	10	5	5	5	8	5	10	5	5	5	5	5	8	5	5	10	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	176	5	0	0	0	3	1	0	0	0	0	0	2	3	0	3	0	0	3	0	0	0	10	0	2	1	1	0	0	22	18	8	15	9	26	0	5	2	6	0	3	0	5	3	1	1	0	0	4	0	0	8	0	1	0	0	0	0	0	2	0	0	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	149	3	1	4	0	1	2	2	1	5	2	6	1	1	0	0	2	3	5	2	1	0	0	1	0	0	2	1	0	4	13	4	4	6	27	0	1	1	1	2	1	1	0	3	3	2	0	0	2	2	1	4	3	5	1	1	0	1	2	3	0	2	1	2					
14	Число погашенных открепительных удостоверений	322	0	5	5	5	2	4	5	5	5	5	5	3	7	5	7	10	5	17	10	10	5	0	5	3	4	4	10	5	3	2	12	5	6	6	0	5	3	4	5	2	5	5	2	4	4	5	10	1	5	5	0	5	9	5	5	5	5	5	6	5	5	8	4					
15	Число открепительных удостоверений выданных ТИК	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																						
18	"1. ""ЕДИНЕНИЕ"""	286	5	0	0	0	2	0	4	0	1	0	1	1	11	2	8	0	2	0	0	0	2	0	2	1	3	0	4	6	20	26	26	24	27	41	1	1	1	8	0	5	1	0	0	5	2	0	0	1	0	0	0	4	4	6	2	1	1	1	0	0	0	22	1					
		0.93%	1.24%	0.0%	0.0%	0.0%	0.79%	0.0%	0.83%	0.0%	0.60%	0.0%	0.78%	0.84%	1.99%	1.51%	1.01%	0.0%	0.54%	0.0%	0.0%	0.0%	1.13%	0.0%	1.66%	0.22%	1.98%	0.0%	0.71%	1.41%	1.77%	2.19%	2.39%	2.42%	2.46%	2.64%	0.58%	0.12%	0.21%	0.84%	0.0%	1.46%	0.24%	0.0%	0.0%	1.29%	0.75%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	1.49%	0.66%	1.72%	0.53%	0.52%	0.30%	0.28%	0.0%	0.0%	0.0%	2.21%	0.22%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	113	0	0	0	0	0	0	0	0	1	0	0	0	0	0	26	4	0	5	0	0	0	3	0	0	0	1	1	0	5	6	10	9	4	9	0	0	1	0	1	0	0	0	0	3	1	0	0	0	1	0	2	1	13	0	0	0	0	0	0	0	0	6	0					
		0.36%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	3.29%	0.63%	0.0%	0.45%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.72%	0.17%	0.0%	0.44%	0.50%	0.91%	0.91%	0.36%	0.58%	0.0%	0.0%	0.21%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%	0.77%	0.37%	0.0%	0.0%	0.0%	0.57%	0.0%	0.15%	0.37%	2.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.60%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	171	2	0	0	2	0	0	3	0	1	2	0	0	0	0	9	0	2	3	0	0	0	0	3	1	0	4	2	0	9	19	18	17	11	21	1	0	1	0	0	3	0	1	0	8	7	0	0	2	0	0	0	2	0	3	0	0	2	0	0	0	0	12	0					
		0.55%	0.49%	0.0%	0.0%	1.49%	0.0%	0.0%	0.62%	0.0%	0.60%	1.30%	0.0%	0.0%	0.0%	0.0%	1.13%	0.0%	0.54%	0.27%	0.0%	0.0%	0.0%	0.0%	2.5%	0.22%	0.0%	2.89%	0.35%	0.0%	0.79%	1.60%	1.65%	1.72%	1.00%	1.35%	0.58%	0.0%	0.21%	0.0%	0.0%	0.87%	0.0%	0.12%	0.0%	2.07%	2.64%	0.0%	0.0%	0.83%	0.0%	0.0%	0.0%	0.74%	0.0%	0.86%	0.0%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	1.20%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	131	1	3	0	0	0	0	3	0	1	0	0	2	0	0	2	0	3	4	3	0	0	0	0	0	0	0	6	2	13	12	11	3	13	7	1	2	1	5	0	4	1	0	0	0	1	0	5	0	0	0	11	2	4	0	0	0	0	0	2	2	1	0	0					
		0.42%	0.24%	2.32%	0.0%	0.0%	0.0%	0.0%	0.62%	0.0%	0.60%	0.0%	0.0%	1.69%	0.0%	0.0%	0.25%	0.0%	0.81%	0.36%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.47%	1.15%	1.01%	1.01%	0.30%	1.18%	0.45%	0.58%	0.24%	0.21%	0.52%	0.0%	1.16%	0.24%	0.0%	0.0%	0.0%	0.37%	0.0%	0.87%	0.0%	0.0%	0.0%	0.86%	0.74%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	1.45%	0.65%	0.0%	0.0%					
22	"5. ""За Русь Святую"""	25	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	11	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0					
		0.08%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.20%	0.0%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%	0.0%	0.0%	0.72%	0.0%	0.23%	0.08%	0.92%	0.09%	0.20%	0.09%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.10%	0.0%					
