Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																											
Дата голосования: 02.12.2007																											
																											
Наименование Избирательной комиссии:    Надтеречная																											
																											
Сводная таблица результатов выборов																											
																											
		Сумма	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №431					
1	"Число избирателей, внесенных в списки избирателей"	31696	438	874	1479	1482	1809	1932	1519	1510	2977	1544	1292	1564	2431	2411	2848	542	762	1525	1017	1740					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	31696	438	874	1479	1482	1809	1932	1519	1510	2977	1544	1292	1564	2431	2411	2848	542	762	1525	1017	1740					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	31362	435	860	1462	1461	1790	1915	1502	1496	2941	1530	1280	1544	2409	2388	2815	542	752	1511	1005	1724					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	80	0	7	5	8	4	0	5	0	12	0	2	6	6	2	11	0	4	0	4	4					
6	Число погашенных избирательных бюллетеней	253	3	7	12	13	15	17	12	14	24	14	10	14	16	21	21	0	6	14	8	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	80	0	7	5	8	4	0	5	0	12	0	2	6	6	2	11	0	4	0	4	4					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	31359	435	860	1462	1461	1790	1915	1502	1496	2939	1530	1280	1544	2409	2388	2815	542	752	1511	1005	1723					
9	Число недействительных избирательных бюллетеней	23	0	2	0	3	0	2	0	5	1	0	0	0	3	0	1	2	0	1	3	0					
10	Число действительных избирательных бюллетеней	31416	435	865	1467	1466	1794	1913	1507	1491	2950	1530	1282	1550	2412	2390	2825	540	756	1510	1006	1727					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	200	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	5	0	0	0	0	0	0	0	0	1	0	3	0	0	1	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	195	10	10	10	10	10	10	10	10	9	10	7	10	10	9	10	10	10	10	10	10					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																											
18	1.Политическая партия «Аграрная партия России»	12	0	0	1	0	0	2	0	0	4	0	1	0	0	2	0	0	0	2	0	0					
		0.04%	0.00%	0.00%	0.07%	0.00%	0.00%	0.10%	0.00%	0.00%	0.14%	0.00%	0.08%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	10	1	1	0	0	0	0	1	0	2	2	0	0	2	0	0	0	0	1	0	0					
		0.03%	0.23%	0.12%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.07%	0.13%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	7	0	0	0	0	1	0	1	0	0	3	0	0	0	0	0	0	0	0	0	2					
		0.02%	0.00%	0.00%	0.00%	0.00%	0.06%	0.00%	0.07%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	37	2	0	2	3	3	1	0	0	8	1	2	0	0	10	2	0	0	3	0	0					
		0.12%	0.46%	0.00%	0.14%	0.20%	0.17%	0.05%	0.00%	0.00%	0.27%	0.07%	0.16%	0.00%	0.00%	0.42%	0.07%	0.00%	0.00%	0.20%	0.00%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	14	0	0	0	0	0	4	2	0	0	3	0	0	1	0	0	1	0	0	0	3					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.13%	0.00%	0.00%	0.20%	0.00%	0.00%	0.04%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.17%					
23	6.Политическая партия «Партия социальной справедливости»	14	0	0	1	1	2	1	0	0	1	0	2	0	2	0	0	0	2	0	0	2					
		0.04%	0.00%	0.00%	0.07%	0.07%	0.11%	0.05%	0.00%	0.00%	0.03%	0.00%	0.16%	0.00%	0.08%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.12%					
24	7.Политическая партия «Либерально-демократическая партия России»	21	0	1	0	0	3	0	2	4	0	0	0	5	1	0	0	0	2	0	3	0					
		0.07%	0.00%	0.12%	0.00%	0.00%	0.17%	0.00%	0.13%	0.27%	0.00%	0.00%	0.00%	0.32%	0.04%	0.00%	0.00%	0.00%	0.26%	0.00%	0.30%	0.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	11	0	0	2	0	0	0	0	0	2	0	0	0	0	2	4	0	0	1	0	0					
		0.03%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.00%	0.00%	0.08%	0.14%	0.00%	0.00%	0.07%	0.00%	0.00%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	8	0	0	2	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1					
		0.03%	0.00%	0.00%	0.14%	0.14%	0.00%	0.05%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	31263	432	862	1458	1460	1783	1904	1498	1487	2933	1521	1275	1543	2401	2376	2819	537	751	1503	1003	1717					
		99.44%	99.31%	99.42%	99.39%	99.39%	99.39%	99.43%	99.40%	99.40%	99.39%	99.41%	99.45%	99.55%	99.42%	99.41%	99.75%	99.08%	99.34%	99.47%	99.41%	99.42%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	19	0	1	1	0	2	0	3	0	0	0	2	2	3	0	0	2	1	0	0	2					
		0.06%	0.00%	0.12%	0.07%	0.00%	0.11%	0.00%	0.20%	0.00%	0.00%	0.00%	0.16%	0.13%	0.12%	0.00%	0.00%	0.37%	0.13%	0.00%	0.00%	0.12%					
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
