Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																							
Дата голосования: 07.12.2003 0:00:00																																							
																																							
Наименование Избирательной комиссии:    Вейделевская 																																							
																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																							
																																							
		Сумма	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397					
1	"Число избирателей, внесенных в списки"	18993	1108	217	650	1094	1095	1115	1114	567	581	444	1192	383	261	980	382	307	891	336	524	289	873	433	210	405	775	638	613	283	250	212	348	423					
2	"Число бюллетеней, полученных участковыми комиссиями"	17450	1007	197	587	987	984	1011	1024	516	526	382	1068	377	234	975	380	307	815	331	470	289	793	392	210	364	712	570	540	250	226	189	314	423					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	12043	679	128	447	576	654	661	626	318	321	251	775	191	190	666	206	204	554	166	357	200	570	349	163	245	541	404	505	209	195	147	211	334					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2072	147	22	106	71	25	40	26	76	67	55	33	51	18	235	92	73	175	96	60	46	132	23	37	40	67	88	12	23	29	29	51	27					
6	Число погашенных бюллетеней	3335	181	47	34	340	305	310	372	122	138	76	260	135	26	74	82	30	86	69	53	43	91	20	10	79	104	78	23	18	2	13	52	62					
7	Число бюллетеней в переносных ящиках для голосования	2072	147	22	106	71	25	40	26	76	67	55	33	51	18	235	92	73	175	96	60	46	132	23	37	40	67	88	12	23	29	29	51	27					
8	Число бюллетеней в стационарных ящиках для голосования	12042	679	128	447	576	654	661	626	318	321	251	775	191	190	666	206	204	554	166	357	200	570	349	163	244	541	404	505	209	195	147	211	334					
9	Число недействительных бюллетеней	140	3	0	0	5	12	7	13	9	9	5	8	3	2	14	0	0	1	0	2	3	3	9	0	7	1	6	1	5	4	0	3	5					
10	Число действительных бюллетеней	13974	823	150	553	642	667	694	639	385	379	301	800	239	206	887	298	277	728	262	415	243	699	363	200	277	607	486	516	227	220	176	259	356					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	199	14	4	4	8	15	13	8	4	4	4	4	4	4	37	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	75	4	0	0	3	7	6	4	4	0	0	1	1	0	33	0	1	4	0	1	0	4	0	0	0	0	0	0	0	0	0	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	28	1	1	0	0	1	3	1	1	0	0	4	1	1	3	0	0	1	1	1	0	1	1	0	1	0	0	1	2	0	1	1	0					
14	Число погашенных открепительных удостоверений	124	10	4	4	5	8	7	4	0	4	4	3	3	4	4	4	3	0	4	3	4	0	4	4	4	4	4	4	4	4	4	3	3					
