Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																		
Дата голосования: 04.12.2011																																																																		
																																																																		
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																		
																																																																		
Сводная таблица результатов выборов																																																																		
																																																																		
		Сумма	УИК №630	УИК №631	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1771					
1	"Число избирателей, внесенных в список избирателей"	112019	450	229	1376	1674	1271	1928	1455	2219	1849	1618	2176	1327	2104	1589	1689	2334	1641	2299	3057	2767	2453	1485	1813	1482	1255	1332	997	842	2205	2621	1367	2142	2103	2546	1657	1611	2345	1926	2653	2418	1239	2228	2603	2382	2186	2373	2787	2120	2405	2485	2565	2505	1135	1228	1625	2193	1304	2515	1836					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	104200	700	700	1250	1600	1150	1800	1300	2050	1700	1450	2000	1250	2000	1500	1550	2050	1400	2150	2050	2350	2350	1400	1750	1400	1100	1250	900	700	2150	2500	1100	2150	2000	2450	1550	1500	2200	1800	2500	2250	1150	2100	2400	2300	2050	2250	2000	2000	2300	2350	2450	2300	950	950	2500	2050	1200	2300	1600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	53915	217	178	730	738	451	962	745	1088	881	637	1028	552	1027	667	746	1137	805	1000	1289	1608	1265	833	661	725	507	717	479	380	1044	1280	630	1144	745	1219	863	846	1132	999	1415	1257	514	995	1285	1189	1111	1171	1683	1084	1096	1236	1301	1281	329	483	1046	1131	594	1231	528					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2326	136	26	12	15	86	9	6	29	5	77	49	10	49	20	12	21	8	23	237	20	50	11	13	6	4	7	32	27	30	52	162	39	23	36	15	10	20	8	26	24	11	12	4	11	11	8	10	13	11	4	10	7	272	207	255	8	8	12	7					
6	Число погашенных избирательных бюллетеней	47959	347	496	508	847	613	829	549	933	814	736	923	688	924	813	792	892	587	1127	524	722	1035	556	1076	669	589	526	389	293	1076	1168	308	967	1232	1195	672	644	1048	793	1059	969	625	1093	1111	1100	928	1071	307	903	1193	1110	1139	1012	349	260	1199	911	598	1057	1065					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2325	136	26	12	15	86	9	6	29	5	77	49	10	49	20	12	21	8	23	236	20	50	11	13	6	4	7	32	27	30	52	162	39	23	36	15	10	20	8	26	24	11	12	4	11	11	8	10	13	11	4	10	7	272	207	255	8	8	12	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53850	217	178	730	738	451	962	745	1088	881	637	1027	552	1024	667	746	1133	805	1000	1289	1608	1261	833	661	725	507	717	479	380	1041	1279	630	1142	745	1183	863	846	1132	999	1414	1255	514	995	1285	1189	1111	1171	1683	1082	1096	1236	1301	1281	329	483	1040	1131	594	1231	528					
9	Число недействительных избирательных бюллетеней	813	7	3	12	7	6	15	6	16	10	9	15	9	28	12	8	14	15	14	19	32	13	9	11	13	6	13	7	9	12	12	13	15	10	22	19	10	23	13	12	18	7	5	14	13	11	20	29	18	12	26	17	17	5	16	21	19	8	19	19					
10	Число действительных избирательных бюллетеней	55362	346	201	730	746	531	956	745	1101	876	705	1061	553	1045	675	750	1140	798	1009	1506	1596	1298	835	663	718	505	711	504	398	1059	1319	779	1166	758	1197	859	846	1129	994	1428	1261	518	1002	1275	1187	1111	1159	1664	1077	1095	1214	1294	1271	596	674	1274	1120	594	1224	516					
