Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																									
Дата голосования: 02.12.2007																																																																																																									
																																																																																																									
"Наименование Избирательной комиссии:    Нижний Новгород, Нижегородская"																																																																																																									
																																																																																																									
Сводная таблица результатов выборов																																																																																																									
																																																																																																									
		Сумма	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530	УИК №2531	УИК №2532	УИК №2533	УИК №2534	УИК №2535	УИК №2536	УИК №2537	УИК №2538	УИК №2539	УИК №2540	УИК №2541	УИК №2542	УИК №2543	УИК №2544	УИК №2545					
1	"Число избирателей, внесенных в списки избирателей"	108892	1364	2099	1568	2357	1011	1766	2495	1456	1898	1677	1644	2355	1497	2849	2444	2174	2641	761	1448	1587	860	1350	1066	1380	2391	2825	1194	2929	1576	2733	1190	1634	2457	3053	2832	2825	1249	2224	2289	2536	2034	2508	2379	2268	2577	2646	2517	2442	1140	1253	1766	2300	3009	1893	10	13	11	11	11	11	11	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	12	11	11	11	11	11	11	10	11	11	11	11	11	11	11	10					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	95425	1050	1850	1350	2100	799	1400	2250	1300	1700	1500	1450	2100	1300	2500	2200	1900	2350	600	1250	1400	750	1150	900	1050	2100	2500	1000	2600	1400	2450	1050	1450	2200	2700	2550	2500	1100	1950	1950	2250	1800	2250	1850	2000	2300	2300	2250	2100	900	900	2000	2050	2650	1650	10	13	11	11	11	11	11	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	12	11	11	11	11	11	11	10	11	11	11	11	11	11	11	10					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	13	11	10	11	11	11	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	12	11	11	11	11	11	11	10	11	9	11	11	11	11	11	10					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	53365	578	1087	813	1174	505	665	1203	592	955	760	699	1065	599	1220	1302	1127	1475	417	698	748	532	736	502	565	1197	1403	560	1400	625	1471	621	908	1276	1635	1544	1465	576	1041	814	1321	998	1213	1288	1237	1292	1282	1284	1268	372	503	1150	1187	1431	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2410	82	8	20	44	6	175	39	17	47	21	14	31	12	40	45	31	36	10	14	14	13	16	40	169	34	48	187	58	14	37	11	14	21	3	23	25	14	23	42	16	11	19	11	12	10	7	6	13	218	189	363	6	26	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	39177	390	755	517	882	288	560	1008	691	698	719	737	1004	689	1240	853	742	839	173	538	638	205	398	358	316	869	1049	253	1142	761	942	418	528	903	1062	983	1010	510	886	1094	913	791	1018	551	751	998	1011	960	819	310	208	487	857	1193	659	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2881	82	8	20	44	6	175	39	17	47	21	14	31	12	40	45	31	36	10	14	14	12	16	40	169	34	48	187	58	14	37	11	14	21	3	23	25	14	23	42	16	11	19	11	12	10	7	6	13	218	189	363	6	26	4	10	13	11	10	11	11	11	10	10	10	10	10	10	10	10	11	11	11	11	11	11	11	11	11	11	11	11	11	12	11	11	11	11	11	11	10	11	9	11	11	11	11	11	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	53335	578	1087	811	1174	505	665	1201	592	955	760	699	1063	599	1220	1302	1127	1474	417	698	746	531	736	501	565	1197	1399	560	1400	625	1471	621	908	1276	1635	1542	1463	576	1039	813	1321	998	1210	1288	1237	1291	1282	1284	1266	372	503	1148	1187	1431	986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
9	Число недействительных избирательных бюллетеней	621	8	8	8	18	2	13	16	4	11	10	11	19	5	15	11	12	11	10	8	10	9	5	6	10	5	15	10	9	5	24	8	11	5	26	20	13	11	17	7	18	6	11	9	7	18	9	20	9	6	3	22	9	7	17	0	1	2	0	0	0	0	3	0	0	0	3	0	0	0	2	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	1	0	1	0	0	4	0					
10	Число действительных избирательных бюллетеней	55595	652	1087	823	1200	509	827	1224	605	991	771	702	1075	606	1245	1336	1146	1499	417	704	750	534	747	535	724	1226	1432	737	1449	634	1484	624	911	1292	1612	1545	1475	579	1045	848	1319	1003	1218	1290	1242	1283	1280	1270	1270	584	689	1489	1184	1450	973	10	12	9	10	11	11	11	7	10	10	10	7	10	10	10	9	11	11	9	11	11	11	11	10	11	11	10	11	12	11	11	11	10	11	11	10	9	8	11	10	11	11	7	10					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	957	24	18	18	18	18	18	18	18	18	18	23	18	18	18	18	18	21	18	18	18	5	18	18	18	18	22	18	24	12	17	18	19	18	18	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	758	24	11	10	18	9	10	18	10	17	12	23	18	11	18	18	16	21	9	8	11	5	6	14	8	18	22	13	24	12	16	8	19	15	13	15	17	4	16	10	17	17	17	17	17	15	17	17	17	3	8	6	17	14	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
