Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																										
Дата голосования: 02.12.2007																																																																																										
																																																																																										
Наименование Избирательной комиссии:    Северодвинская																																																																																										
																																																																																										
Сводная таблица результатов выборов																																																																																										
																																																																																										
		Сумма	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868					
1	"Число избирателей, внесенных в списки избирателей"	172477	2826	2153	2193	79	1496	2352	2366	2586	2152	2259	1969	2523	2555	2102	2529	2636	2469	2833	1853	2891	2021	2440	2075	2220	2130	1650	2446	2509	85	1913	2517	2522	2625	1569	2467	2117	2674	2278	2238	2457	2206	2585	2074	2227	2301	2347	2634	2188	2606	2096	2463	2744	2461	2200	2066	1717	1326	2273	2873	2851	1801	2022	2196	2530	2782	2413	156	53	166	1714	2125	2069	2141	1867	2123	1999	2419	1603	2538	2284	290	1141	32					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	173760	2900	2200	2200	180	1500	2400	2400	2600	2100	2300	2000	2500	2500	2300	2500	2600	2500	2900	1800	2900	2000	2500	2000	2200	2100	1700	2400	2500	240	1900	2500	2500	2200	1600	2500	2100	2700	2200	2200	2700	2200	2600	2400	2200	2300	2400	2700	2200	2600	2100	2500	2700	2500	2200	2100	1700	1300	2300	2900	2800	1800	2200	2200	2500	2800	2400	400	220	500	1700	2100	2000	2100	1900	2100	2000	2400	1600	2700	2100	290	1000	30					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	96332	1749	1085	1179	70	905	1460	1455	1501	1289	1354	1173	1281	1259	1088	1448	1290	1039	1566	992	1656	891	1326	970	1106	1142	777	1269	1307	83	889	1485	1547	1435	1159	1337	1113	1502	1359	1124	1629	1305	1550	1249	1252	1237	1386	1517	1152	1480	1243	1558	1636	1391	1293	1201	885	777	1348	1485	1607	1049	1124	1212	1405	1443	1341	136	49	125	1006	1225	1225	1125	1034	1100	1138	1405	959	1344	1357	98	573	18					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1095	6	6	13	0	9	16	11	12	6	4	11	21	30	15	57	19	7	18	7	6	9	20	10	13	18	8	11	16	0	12	22	34	12	89	14	21	28	26	13	9	13	16	1	11	7	17	17	19	11	8	6	6	12	11	6	3	7	5	11	20	11	12	11	12	6	3	0	0	36	12	5	11	6	5	6	5	6	10	19	5	20	25	3					
6	Число погашенных избирательных бюллетеней	76333	1145	1109	1008	110	586	924	934	1087	805	942	816	1198	1211	1197	995	1291	1454	1316	801	1238	1100	1154	1020	1081	940	915	1120	1177	157	999	993	919	753	352	1149	966	1170	815	1063	1062	882	1034	1150	937	1056	997	1166	1029	1109	849	936	1058	1097	896	893	812	516	947	1404	1173	740	1064	977	1083	1351	1056	264	171	339	682	870	764	969	861	994	857	989	631	1337	738	172	402	9					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1095	6	6	13	0	9	16	11	12	6	4	11	21	30	15	57	19	7	18	7	6	9	20	10	13	18	8	11	16	0	12	22	34	12	89	14	21	28	26	13	9	13	16	1	11	7	17	17	19	11	8	6	6	12	11	6	3	7	5	11	20	11	12	11	12	6	3	0	0	36	12	5	11	6	5	6	5	6	10	19	5	20	25	3					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	96241	1749	1083	1179	70	905	1460	1455	1501	1287	1354	1172	1281	1259	1088	1448	1289	1039	1566	992	1654	891	1325	970	1106	1142	774	1269	1306	83	889	1485	1547	1435	1159	1335	1110	1497	1357	1122	1614	1305	1550	1241	1252	1227	1386	1517	1150	1478	1243	1552	1636	1391	1293	1200	884	777	1348	1485	1607	1049	1124	1212	1405	1438	1337	136	49	125	1005	1222	1225	1123	1034	1099	1135	1405	959	1344	1357	98	573	18					
9	Число недействительных избирательных бюллетеней	729	12	10	11	1	7	15	10	7	13	8	14	7	12	12	17	11	10	11	3	15	2	14	6	5	4	6	9	5	0	6	14	19	15	14	10	8	8	17	15	21	10	10	9	9	8	13	9	6	11	7	5	14	17	7	8	4	7	9	4	7	5	4	8	10	10	17	0	0	0	6	7	3	11	11	5	13	13	6	8	9	1	3	1					
10	Число действительных избирательных бюллетеней	96607	1743	1079	1181	69	907	1461	1456	1506	1280	1350	1169	1295	1277	1091	1488	1297	1036	1573	996	1645	898	1331	974	1114	1156	776	1271	1317	83	895	1493	1562	1432	1234	1339	1123	1517	1366	1120	1602	1308	1556	1233	1254	1226	1390	1525	1163	1478	1244	1553	1628	1386	1297	1198	883	777	1344	1492	1620	1055	1132	1215	1407	1434	1323	136	49	161	1011	1220	1233	1118	1028	1100	1127	1398	963	1355	1353	117	595	20					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2915	120	30	30	0	20	30	30	50	30	30	30	40	40	30	50	40	40	40	30	40	30	40	30	30	30	20	30	30	0	20	30	30	415	70	30	30	30	30	30	60	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	20	30	30	30	20	30	30	30	30	30	0	0	0	20	30	30	30	30	30	30	30	20	60	50	8	29	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1324	36	12	3	0	10	12	9	15	4	10	12	7	10	12	16	8	13	18	6	16	20	16	11	7	13	7	9	4	0	5	13	17	405	16	14	9	14	14	11	38	11	18	15	15	17	16	9	9	7	16	13	9	22	6	20	9	7	11	13	8	13	7	5	14	7	12	0	0	0	6	14	7	11	12	8	6	12	5	3	26	4	27	2					
