Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																					
Дата голосования: 02.12.2007																																																																					
																																																																					
Наименование Избирательной комиссии:    Усть-Лабинская																																																																					
																																																																					
Сводная таблица результатов выборов																																																																					
																																																																					
		Сумма	УИК №5601	УИК №5602	УИК №5603	УИК №5604	УИК №5605	УИК №5606	УИК №5607	УИК №5608	УИК №5609	УИК №5610	УИК №5611	УИК №5612	УИК №5613	УИК №5614	УИК №5615	УИК №5616	УИК №5617	УИК №5618	УИК №5619	УИК №5620	УИК №5621	УИК №5622	УИК №5623	УИК №5624	УИК №5625	УИК №5626	УИК №5627	УИК №5628	УИК №5629	УИК №5630	УИК №5631	УИК №5632	УИК №5633	УИК №5634	УИК №5635	УИК №5636	УИК №5637	УИК №5638	УИК №5639	УИК №5640	УИК №5641	УИК №5642	УИК №5643	УИК №5644	УИК №5645	УИК №5646	УИК №5647	УИК №5648	УИК №5649	УИК №5650	УИК №5651	УИК №5652	УИК №5653	УИК №5654	УИК №5655	УИК №5656	УИК №5657	УИК №5658	УИК №5659	УИК №5660	УИК №5661	УИК №5662					
1	"Число избирателей, внесенных в списки избирателей"	82192	1173	2608	2465	2185	1637	1368	1441	1523	1380	1107	2361	1380	1126	2204	1198	2332	1394	1876	1804	353	1099	2126	341	587	291	1308	432	436	345	1083	510	1133	1591	1301	823	1545	1594	1694	1275	221	381	1434	1420	1245	2111	1632	2471	1382	1010	1586	2146	270	638	1269	1145	268	1582	2058	1869	770	1691	1164					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	78325	1100	2500	2300	2000	1600	1100	1200	1700	1300	1200	2000	1300	1000	2000	1000	2000	1300	2000	1700	355	1000	1900	300	560	300	1200	380	460	360	1000	530	1000	1500	1200	800	1500	1500	1600	1200	230	415	1400	1300	1300	2400	1600	2400	1500	1000	1400	2000	270	660	1300	1200	245	1400	2000	1800	760	1600	1200					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	47014	654	1535	1207	1162	928	726	621	884	670	760	1090	764	566	1168	487	1191	749	1102	952	353	534	1235	217	456	226	948	240	286	202	652	316	574	961	863	523	749	811	805	934	183	213	953	1039	839	1398	935	1198	838	620	883	1270	183	347	827	813	91	872	1251	1185	465	908	602					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	6373	68	479	158	80	111	77	179	86	48	97	89	65	82	154	100	91	88	143	110	0	73	194	45	56	17	100	50	26	48	98	50	150	131	129	91	99	87	111	104	16	72	204	73	53	111	52	129	50	215	108	87	21	50	114	118	100	250	290	37	92	54	113					
6	Число погашенных избирательных бюллетеней	24938	378	486	935	758	561	297	400	730	582	343	821	471	352	678	413	718	463	755	638	2	393	471	38	48	57	152	90	148	110	250	164	276	408	208	186	652	602	684	162	31	130	243	188	408	891	613	1073	612	165	409	643	66	263	359	269	54	278	459	578	203	638	485					
7	Число избирательных бюллетеней в переносных ящиках для голосования	6373	68	479	158	80	111	77	179	86	48	97	89	65	82	154	100	91	88	143	110	0	73	194	45	56	17	100	50	26	48	98	50	150	131	129	91	99	87	111	104	16	72	204	73	53	111	52	129	50	215	108	87	21	50	114	118	100	250	290	37	92	54	113					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	47009	654	1535	1206	1160	928	725	621	884	670	760	1090	764	566	1168	487	1191	749	1102	952	353	534	1235	217	456	226	948	240	286	202	652	316	573	961	863	523	749	811	805	934	183	213	953	1039	839	1398	935	1198	838	620	883	1270	183	347	827	813	91	872	1251	1185	465	908	602					
9	Число недействительных избирательных бюллетеней	924	11	42	26	13	9	10	13	13	0	23	18	9	5	44	19	29	23	19	18	0	4	32	7	2	2	7	7	11	4	5	2	12	21	11	5	15	17	30	25	0	5	16	13	20	15	22	31	23	9	32	24	4	5	19	28	0	6	38	12	21	10	8					
10	Число действительных избирательных бюллетеней	52458	711	1972	1338	1227	1030	792	787	957	718	834	1161	820	643	1278	568	1253	814	1226	1044	353	603	1397	255	510	241	1041	283	301	246	745	364	711	1071	981	609	833	881	886	1013	199	280	1141	1099	872	1494	965	1296	865	826	959	1333	200	392	922	903	191	1116	1503	1210	536	952	707					
