Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																
Дата голосования: 07.12.2003 0:00:00																																																
																																																
"Наименование Избирательной комиссии:    Архангельск, Соломбальская"																																																
																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																
																																																
		Сумма	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129					
1	"Число избирателей, внесенных в списки"	70589	2564	758	2436	1472	1497	2844	1414	1203	1197	1861	1520	391	299	64	1830	2266	2586	2277	2693	2800	2688	2693	136	2194	2635	1381	2596	2331	1794	1739	1720	1211	2217	1129	2009	1602	1269	2123	1578	1322	250					
2	"Число бюллетеней, полученных участковыми комиссиями"	66080	2400	700	2300	1400	1400	2600	1300	1200	1200	1800	1500	370	280	70	1700	2100	2400	2100	2500	2600	2500	2500	110	2000	2300	1300	2400	2200	1700	1600	1600	1100	2100	1100	1900	1500	1200	2000	1500	1300	250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	35743	1338	356	1294	655	477	1372	738	520	465	699	616	182	142	63	855	1228	1478	1293	1358	1372	1353	1286	101	1182	1743	602	1497	1376	923	995	898	549	1181	536	1023	850	677	1060	610	560	240					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	835	32	12	15	9	127	25	10	9	8	45	10	0	0	0	14	23	18	23	40	24	10	19	0	9	15	9	21	27	19	32	29	9	21	11	54	20	12	16	13	37	8					
6	Число погашенных бюллетеней	29502	1030	332	991	736	796	1203	552	671	727	1056	874	188	138	7	831	849	904	784	1102	1204	1137	1195	9	809	542	689	882	797	758	573	673	542	898	553	823	630	511	924	877	703	2					
7	Число бюллетеней в переносных ящиках для голосования	835	32	12	15	9	127	25	10	9	8	45	10	0	0	0	14	23	18	23	40	24	10	19	0	9	15	9	21	27	19	32	29	9	21	11	54	20	12	16	13	37	8					
8	Число бюллетеней в стационарных ящиках для голосования	35730	1338	356	1292	655	475	1371	736	520	465	699	616	182	142	63	855	1227	1478	1293	1358	1372	1353	1286	101	1180	1743	602	1497	1376	922	995	897	549	1181	536	1023	850	677	1059	610	560	240					
9	Число недействительных бюллетеней	458	15	10	25	12	20	16	11	13	12	29	7	8	2	0	9	12	13	17	23	12	20	9	3	3	14	1	21	15	6	4	5	9	10	9	15	10	7	9	11	8	3					
10	Число действительных бюллетеней	36107	1355	358	1282	652	582	1380	735	516	461	715	619	174	140	63	860	1238	1483	1299	1375	1384	1343	1296	98	1186	1744	610	1497	1388	935	1023	921	549	1192	538	1062	860	682	1066	612	589	245					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	870	30	10	20	15	15	20	15	15	20	20	20	15	15	0	20	30	25	20	30	30	30	20	0	40	70	20	30	25	20	20	20	20	20	20	20	30	20	20	20	20	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	580	30	10	18	9	7	18	6	13	11	13	20	4	1	0	18	21	24	7	22	19	20	13	0	21	68	10	25	24	11	10	12	3	17	8	9	18	11	13	3	13	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	415	11	11	2	9	17	11	14	4	4	5	6	4	7	6	18	15	20	9	9	8	9	5	6	9	19	7	14	15	17	13	8	11	6	11	15	10	12	8	8	7	15					
14	Число погашенных открепительных удостоверений	290	0	0	2	6	8	2	9	2	9	7	0	11	14	0	2	9	1	13	8	11	10	7	0	19	2	10	5	1	9	10	8	17	3	12	11	12	9	7	17	7	0					
15	Число открепительных удостоверений выданных ТИК	64	3	1	2	5	0	1	2	6	1	2	1	2	1	0	2	0	4	1	1	2	3	1	0	2	1	1	2	3	1	1	1	0	1	2	2	3	0	1	2	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																
18	"1. ""ЕДИНЕНИЕ"""	356	10	10	24	3	8	7	5	11	10	7	8	2	2	3	15	16	8	7	10	17	9	11	3	14	13	8	5	15	7	4	8	9	3	9	11	10	9	10	10	4	1					
		0.97%	0.72%	2.71%	1.83%	0.45%	1.32%	0.50%	0.67%	2.07%	2.11%	0.94%	1.27%	1.09%	1.40%	4.76%	1.72%	1.28%	0.53%	0.53%	0.71%	1.21%	0.66%	0.84%	2.97%	1.17%	0.73%	1.30%	0.32%	1.06%	0.74%	0.38%	0.86%	1.61%	0.24%	1.64%	1.02%	1.14%	1.30%	0.93%	1.60%	0.67%	0.40%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1663	40	18	38	20	10	49	24	9	12	10	9	3	8	2	32	53	58	54	53	57	47	65	3	143	98	26	116	97	59	64	61	19	54	20	55	49	42	54	16	12	4					
		4.54%	2.91%	4.89%	2.90%	3.01%	1.66%	3.51%	3.21%	1.70%	2.53%	1.34%	1.43%	1.64%	5.63%	3.17%	3.68%	4.24%	3.87%	4.10%	3.79%	4.08%	3.44%	4.98%	2.97%	12.02%	5.57%	4.25%	7.64%	6.91%	6.26%	6.23%	6.58%	3.40%	4.49%	3.65%	5.10%	5.63%	6.09%	5.02%	2.56%	2.01%	1.61%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	2029	75	32	107	50	31	93	59	44	38	60	41	14	9	8	28	52	87	75	81	61	51	66	10	38	81	29	92	62	67	40	44	26	52	27	68	45	28	64	34	43	17					
		5.54%	5.47%	8.69%	8.18%	7.53%	5.14%	6.66%	7.90%	8.31%	8.03%	8.06%	6.54%	7.69%	6.33%	12.69%	3.22%	4.16%	5.81%	5.69%	5.79%	4.36%	3.74%	5.05%	9.90%	3.19%	4.60%	4.74%	6.06%	4.41%	7.12%	3.89%	4.75%	4.65%	4.32%	4.93%	6.31%	5.17%	4.06%	5.95%	5.45%	7.20%	6.85%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2232	96	18	65	29	31	63	53	7	23	25	11	4	5	3	42	56	112	67	78	81	82	64	8	130	116	43	136	140	77	76	68	15	67	26	77	45	59	70	25	26	13					
		6.10%	7.00%	4.89%	4.97%	4.36%	5.14%	4.51%	7.10%	1.32%	4.86%	3.36%	1.75%	2.19%	3.52%	4.76%	4.83%	4.48%	7.48%	5.09%	5.57%	5.80%	6.01%	4.90%	7.92%	10.93%	6.59%	7.03%	8.95%	9.97%	8.18%	7.40%	7.34%	2.68%	5.57%	4.75%	7.14%	5.17%	8.56%	6.51%	4.01%	4.35%	5.24%					
22	"5. ""За Русь Святую"""	137	3	2	5	0	8	3	1	4	4	6	4	0	0	0	5	1	10	3	4	7	4	4	0	5	8	2	0	8	3	8	2	5	4	1	4	1	5	2	1	0	0					
		0.37%	0.21%	0.54%	0.38%	0.0%	1.32%	0.21%	0.13%	0.75%	0.84%	0.80%	0.63%	0.0%	0.0%	0.0%	0.57%	0.08%	0.66%	0.22%	0.28%	0.50%	0.29%	0.30%	0.0%	0.42%	0.45%	0.32%	0.0%	0.57%	0.31%	0.77%	0.21%	0.89%	0.33%	0.18%	0.37%	0.11%	0.72%	0.18%	0.16%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	80	2	2	3	3	0	4	0	2	1	4	2	0	0	0	3	1	1	5	2	3	1	2	0	2	4	2	6	1	1	2	1	2	5	3	3	1	2	1	2	1	0					
		0.21%	0.14%	0.54%	0.22%	0.45%	0.0%	0.28%	0.0%	0.37%	0.21%	0.53%	0.31%	0.0%	0.0%	0.0%	0.34%	0.08%	0.06%	0.37%	0.14%	0.21%	0.07%	0.15%	0.0%	0.16%	0.22%	0.32%	0.39%	0.07%	0.10%	0.19%	0.10%	0.35%	0.41%	0.54%	0.27%	0.11%	0.29%	0.09%	0.32%	0.16%	0.0%					
