Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Тарусская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10497	1788	848	1385	1767	1220	235	325	303	405	253	495	675	234	196	246	122									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10800	1850	850	1400	1850	1200	250	350	350	400	240	510	700	250	200	250	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4938	746	385	570	719	442	173	187	178	200	171	313	344	174	88	161	87									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	618	26	32	47	36	55	13	41	41	45	50	35	94	25	43	25	10									
6	Число погашенных избирательных бюллетеней	5244	1078	433	783	1095	703	64	122	131	155	19	162	262	51	69	64	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	618	26	32	47	36	55	13	41	41	45	50	35	94	25	43	25	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4936	746	385	569	718	442	173	187	178	200	171	313	344	174	88	161	87									
9	Число недействительных избирательных бюллетеней	102	14	3	11	16	6	5	7	5	7	12	4	8	1	3	0	0									
10	Число действительных избирательных бюллетеней	5452	758	414	605	738	491	181	221	214	238	209	344	430	198	128	186	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	672	50	30	30	50	50	42	50	50	50	15	30	60	50	40	45	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	542	23	11	30	38	38	42	50	45	50	0	30	60	42	19	34	30									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	201	25	10	11	32	52	4	9	2	9	6	4	15	5	2	10	5									
14	Число погашенных неиспользованных открепительных удостоверений	130	27	19	0	12	12	0	0	5	0	15	0	0	8	21	11	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	14	5	7	13	10	1	8	0	2	0	2	4	0	12	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	108	26	12	11	21	15	5	2	0	1	4	1	5	4	0	1	0									
		1.94%	3.37%	2.88%	1.79%	2.79%	3.02%	2.69%	0.88%	0.00%	0.41%	1.81%	0.29%	1.14%	2.01%	0.00%	0.54%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	170	25	18	23	18	14	5	10	5	6	11	9	12	6	1	6	1									
		3.06%	3.24%	4.32%	3.73%	2.39%	2.82%	2.69%	4.39%	2.28%	2.45%	4.98%	2.59%	2.74%	3.02%	0.76%	3.23%	1.03%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	138	24	10	19	23	15	3	4	9	8	4	6	7	3	1	2	0									
		2.48%	3.11%	2.40%	3.08%	3.05%	3.02%	1.61%	1.75%	4.11%	3.27%	1.81%	1.72%	1.60%	1.51%	0.76%	1.08%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2574	298	185	224	270	242	77	112	108	130	121	228	222	118	70	117	52									
		46.34%	38.60%	44.36%	36.36%	35.81%	48.69%	41.40%	49.12%	49.32%	53.06%	54.75%	65.52%	50.68%	59.30%	53.44%	62.90%	53.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	57	12	5	7	12	9	4	2	1	1	0	0	1	1	0	0	2									
		1.03%	1.55%	1.20%	1.14%	1.59%	1.81%	2.15%	0.88%	0.46%	0.41%	0.00%	0.00%	0.23%	0.50%	0.00%	0.00%	2.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	2	0	1	0	0	2	0	0	0	0	1	2	0	0	0									
		0.16%	0.13%	0.48%	0.00%	0.13%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.23%	1.01%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	940	121	48	116	140	91	29	43	39	50	24	49	86	30	37	24	13									
		16.92%	15.67%	11.51%	18.83%	18.57%	18.31%	15.59%	18.86%	17.81%	20.41%	10.86%	14.08%	19.63%	15.08%	28.24%	12.90%	13.40%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	55	10	8	4	23	5	1	0	0	1	0	1	1	0	0	0	1									
		0.99%	1.30%	1.92%	0.65%	3.05%	1.01%	0.54%	0.00%	0.00%	0.41%	0.00%	0.29%	0.23%	0.00%	0.00%	0.00%	1.03%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	77	13	5	7	19	12	3	3	1	2	0	2	4	0	0	4	2									
		1.39%	1.68%	1.20%	1.14%	2.52%	2.41%	1.61%	1.32%	0.46%	0.82%	0.00%	0.57%	0.91%	0.00%	0.00%	2.15%	2.06%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	2	0	3	1	0	0	0	1	0	2	0	0	2	0	0	0									
		0.20%	0.26%	0.00%	0.49%	0.13%	0.00%	0.00%	0.00%	0.46%	0.00%	0.90%	0.00%	0.00%	1.01%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	105	12	15	13	21	9	9	1	5	1	4	2	3	1	0	9	0									
		1.89%	1.55%	3.60%	2.11%	2.79%	1.81%	4.84%	0.44%	2.28%	0.41%	1.81%	0.57%	0.68%	0.50%	0.00%	4.84%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	924	160	90	136	126	56	33	31	33	28	33	41	73	25	16	20	23									
		16.64%	20.73%	21.58%	22.08%	16.71%	11.27%	17.74%	13.60%	15.07%	11.43%	14.93%	11.78%	16.67%	12.56%	12.21%	10.75%	23.71%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	3	0	5	5	4	1	2	1	2	1	2	1	0	2	1	0									
		0.54%	0.39%	0.00%	0.81%	0.66%	0.80%	0.54%	0.88%	0.46%	0.82%	0.45%	0.57%	0.23%	0.00%	1.53%	0.54%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	254	51	16	37	58	19	11	9	11	8	5	3	14	6	1	2	3									
		4.57%	6.61%	3.84%	6.01%	7.69%	3.82%	5.91%	3.95%	5.02%	3.27%	2.26%	0.86%	3.20%	3.02%	0.76%	1.08%	3.09%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
