Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Коряжемская городская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	30839	1375	1452	1135	1734	1517	1751	1525	1592	1596	1514	1351	1759	1716	1545	1541	1446	1609	1701	1525	1455									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26600	1200	1200	1000	1500	1300	1500	1300	1400	1400	1300	1200	1500	1500	1300	1300	1200	1400	1500	1300	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11144	230	539	375	486	574	676	525	565	568	533	553	718	645	544	594	600	619	676	574	550									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	175	7	8	9	8	33	6	6	12	5	5	14	11	14	9	3	0	1	13	7	4									
6	Число погашенных избирательных бюллетеней	15281	963	653	616	1006	693	818	769	823	827	762	633	771	841	747	703	600	780	811	719	746									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	175	7	8	9	8	33	6	6	12	5	5	14	11	14	9	3	0	1	13	7	4									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11135	230	538	373	486	572	676	525	565	568	533	553	718	645	542	594	600	618	676	573	550									
9	Число недействительных избирательных бюллетеней	176	2	10	9	12	12	13	10	6	6	5	11	9	15	11	6	7	6	8	10	8									
10	Число действительных избирательных бюллетеней	11134	235	536	373	482	593	669	521	571	567	533	556	720	644	540	591	593	613	681	570	546									
