Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																
Дата голосования: 02.12.2007																																																
																																																
Наименование Избирательной комиссии:    Ярцевская																																																
																																																
Сводная таблица результатов выборов																																																
																																																
		Сумма	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807					
1	"Число избирателей, внесенных в списки избирателей"	50731	1389	1320	1582	1768	1732	1215	2197	1125	2622	2683	1720	2028	545	343	1811	1995	1524	2140	2323	1433	569	566	720	1785	1736	1391	1106	1698	746	410	1386	171	194	234	1028	619	489	438	666	399	885					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	50508	1385	1314	1528	1747	1728	1215	2171	1116	2620	2680	1721	1994	537	329	1821	2005	1523	2153	2321	1433	561	559	704	1784	1736	1397	1104	1698	749	409	1382	168	189	235	1027	620	483	428	663	387	884					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	22068	588	540	659	833	866	546	950	436	1059	1184	822	862	312	147	836	875	476	1039	1028	560	257	277	315	824	839	680	565	494	206	235	508	82	103	136	501	173	183	156	384	140	392					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1877	45	52	70	26	45	25	79	45	21	26	18	24	95	21	13	7	3	14	30	58	28	21	13	57	34	46	19	117	57	7	150	26	34	54	51	78	46	87	44	127	64					
6	Число погашенных избирательных бюллетеней	26563	752	722	799	888	817	644	1142	635	1540	1470	881	1108	130	161	972	1123	1044	1100	1263	815	276	261	376	903	863	671	520	1087	486	167	724	60	52	45	475	369	254	185	235	120	428					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1877	45	52	70	26	45	25	79	45	21	26	18	24	95	21	13	7	3	14	30	58	28	21	13	57	34	46	19	117	57	7	150	26	34	54	51	78	46	87	44	127	64					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	22066	588	540	659	833	865	546	950	436	1059	1184	822	862	312	147	836	875	476	1039	1028	560	257	277	315	824	839	680	565	494	206	235	508	82	103	136	501	173	183	155	384	140	392					
9	Число недействительных избирательных бюллетеней	349	15	8	6	23	9	7	15	13	6	7	11	17	20	3	16	14	12	17	15	5	0	5	2	11	10	12	7	10	11	8	5	1	2	2	5	1	2	1	2	6	7					
10	Число действительных избирательных бюллетеней	23594	618	584	723	836	901	564	1014	468	1074	1203	829	869	387	165	833	868	467	1036	1043	613	285	293	326	870	863	714	577	601	252	234	653	107	135	188	547	250	227	241	426	261	449					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1340	35	34	35	45	45	32	57	29	68	70	45	52	14	10	47	52	40	56	60	37	15	15	18	45	45	36	30	45	18	14	34	10	10	20	30	16	15	15	16	10	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	276	7	5	13	1	9	12	12	0	11	9	9	15	1	2	7	18	4	10	14	7	0	3	1	9	7	12	5	8	2	2	4	0	0	13	6	5	7	2	0	9	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	197	2	5	13	5	3	7	15	1	9	13	8	8	5	3	3	3	2	2	8	5	1	3	4	9	9	1	4	4	6	0	3	3	0	5	6	2	3	2	3	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	1064	28	29	22	44	36	20	45	29	57	61	36	37	13	8	40	34	36	46	46	30	15	12	17	36	38	24	25	37	16	12	30	10	10	7	24	11	8	13	16	1	5					
