Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
Наименование Избирательной комиссии:    Городецкая																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771					
1	"Число избирателей, внесенных в списки избирателей"	78662	1742	2140	1979	1519	1730	1248	2647	1620	1685	1547	2132	1974	1779	972	1418	2473	1465	1467	2288	1845	2075	2392	2495	2527	2647	2424	2820	2338	2812	1070	2763	955	698	954	504	641	966	1171	579	737	281	1475	724	1295	1228	1087	1163	995	551	625					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	57200	1300	1600	1400	1100	1300	900	1900	1200	1200	1100	1500	1400	1300	700	1000	1800	1100	1100	1600	1300	1500	1700	1700	1800	1900	1700	2000	1700	2000	800	2000	700	500	700	400	500	700	900	500	600	200	1100	600	1000	900	800	900	700	400	500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	38723	949	1012	1020	798	798	384	993	828	911	602	944	1105	974	447	619	1099	877	783	1131	924	1065	1264	1276	1199	1317	1403	1588	1296	1618	578	1616	469	318	393	234	215	357	534	256	364	95	671	314	615	429	498	444	520	261	318					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3990	48	151	68	29	71	95	155	33	45	59	79	18	15	40	72	43	25	31	81	37	57	42	181	38	26	14	11	19	25	5	7	38	126	204	79	221	230	136	75	107	73	116	84	103	212	141	216	132	49	28					
6	Число погашенных избирательных бюллетеней	14487	303	437	312	273	431	421	752	339	244	439	477	277	311	213	309	658	198	286	388	339	378	394	243	563	557	283	401	385	357	217	377	193	56	103	87	64	113	230	169	129	32	313	202	282	259	161	240	48	90	154					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3990	48	151	68	29	71	95	155	33	45	59	79	18	15	40	72	43	25	31	81	37	57	42	181	38	26	14	11	19	25	5	7	38	126	204	79	221	230	136	75	107	73	116	84	103	212	141	216	132	49	28					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	38712	948	1012	1020	798	798	384	993	828	911	602	944	1105	974	447	619	1099	877	783	1127	924	1065	1264	1275	1197	1317	1403	1588	1296	1617	577	1615	469	318	393	234	215	357	534	256	364	95	671	314	615	429	498	444	520	261	318					
9	Число недействительных избирательных бюллетеней	317	12	11	8	13	7	2	9	7	9	3	6	10	7	3	1	12	10	8	8	3	6	8	12	11	4	14	9	6	10	2	15	2	3	1	0	5	4	12	0	1	2	2	2	6	1	8	6	9	2	5					
10	Число действительных избирательных бюллетеней	42385	984	1152	1080	814	862	477	1139	854	947	658	1017	1113	982	484	690	1130	892	806	1200	958	1116	1298	1444	1224	1339	1403	1590	1309	1632	580	1607	505	441	596	313	431	583	658	331	470	166	785	396	712	640	631	654	643	308	341					
