Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																
Дата голосования: 07.12.2003 0:00:00																																																																																
																																																																																
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																
																																																																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																
																																																																																
		Сумма	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661					
1	"Число избирателей, внесенных в списки"	138969	2412	2287	1958	1810	1248	1837	1951	1496	1676	1640	1752	1223	2028	1871	2283	1825	2287	2108	2147	2566	2544	2340	2062	2540	2361	2242	1976	1956	1950	2296	2574	1577	2165	1699	1794	2021	2336	1943	1701	1447	1291	2422	2153	2414	2028	2126	1660	1950	1793	1995	2447	2651	1549	1262	2199	1861	1876	2027	1632	1762	470	2678	1711	1843	1741	2045	2314	1418	1678	1765	1984	186	109					
2	"Число бюллетеней, полученных участковыми комиссиями"	135650	2400	2300	1900	1700	1200	1800	1900	1400	1600	1600	1700	1300	2000	1900	2300	1800	2200	2100	2100	2500	2500	2300	2000	2400	2300	2100	1900	1900	1900	2200	2400	1500	2100	1700	1800	2000	2300	1900	1600	1400	1300	2300	2000	2400	2000	2100	1600	1900	1700	1900	2300	2500	1500	1200	2100	1800	1900	1900	1600	1700	450	2600	1600	1800	1700	2000	2200	1400	1700	1800	1800	500	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	67939	1172	1259	931	1043	559	947	901	788	760	861	825	585	1084	1048	1126	1077	1213	1067	983	1352	1344	1259	1168	1259	1204	1083	929	1133	945	1109	1122	718	930	903	779	1018	1100	807	804	761	575	1119	952	1366	1049	1089	843	975	833	736	1167	1268	708	531	932	805	808	786	714	674	184	1305	851	816	698	1120	1160	743	909	942	1048	176	101					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2160	17	11	26	11	63	79	89	21	10	36	34	9	42	39	31	37	38	39	42	44	51	27	44	21	34	20	13	22	22	38	30	36	41	22	29	11	17	26	9	34	16	9	23	16	27	34	14	24	22	27	16	19	16	13	38	25	30	44	28	67	0	30	39	36	25	31	37	55	64	48	22	0	0					
6	Число погашенных бюллетеней	65551	1211	1030	943	646	578	774	910	591	830	703	841	706	874	813	1143	686	949	994	1075	1104	1105	1014	788	1120	1062	997	958	745	933	1053	1248	746	1129	775	992	971	1183	1067	787	605	709	1172	1025	1018	924	977	743	901	845	1137	1117	1213	776	656	1130	970	1062	1070	858	959	266	1265	710	948	977	849	1003	602	727	810	730	324	399					
7	Число бюллетеней в переносных ящиках для голосования	2160	17	11	26	11	63	79	89	21	10	36	34	9	42	39	31	37	38	39	42	44	51	27	44	21	34	20	13	22	22	38	30	36	41	22	29	11	17	26	9	34	16	9	23	16	27	34	14	24	22	27	16	19	16	13	38	25	30	44	28	67	0	30	39	36	25	31	37	55	64	48	22	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	67834	1171	1259	905	1043	559	946	901	788	760	861	825	585	1084	1048	1126	1077	1212	1067	933	1352	1344	1258	1168	1249	1204	1083	928	1132	944	1108	1122	718	930	903	779	1018	1100	807	804	761	575	1118	952	1366	1049	1089	843	975	833	736	1166	1268	708	531	932	805	808	786	713	673	184	1304	850	812	698	1120	1160	742	909	942	1048	176	101					
9	Число недействительных бюллетеней	717	13	13	18	11	2	8	9	6	9	7	12	4	11	12	21	14	7	12	9	17	22	20	13	13	13	10	7	12	12	11	13	11	3	11	13	13	14	4	7	8	6	10	4	10	7	9	8	11	12	9	7	12	6	7	9	11	7	9	7	5	11	8	5	10	7	5	14	11	10	12	9	2	2					
10	Число действительных бюллетеней	69277	1175	1257	913	1043	620	1017	981	803	761	890	847	590	1115	1075	1136	1100	1243	1094	966	1379	1373	1265	1199	1257	1225	1093	934	1142	954	1135	1139	743	968	914	795	1016	1103	829	806	787	585	1117	971	1372	1069	1114	849	988	843	754	1175	1275	718	537	961	819	831	821	734	735	173	1326	884	838	716	1146	1183	786	963	978	1061	174	99					
