Выборы Президента Российской Федерации																																																																																					
																																																																																					
Наименование Избирательной комиссии:    Астрахань, Cоветская																																																																																					
																																																																																					
Итоги голосования 																																																																																					
																																																																																					
		Сумма	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593									
1	Число избирателей, внесенных в список	111473	1859	1875	1479	2284	1405	2025	2162	1610	1229	1268	1579	1431	1588	1834	1823	1080	1864	2394	1621	2035	1560	1704	1272	1442	1748	1683	156	1978	2188	1296	1512	2335	1083	1925	1486	1419	1247	1246	1768	1199	1761	924	1138	1192	837	1541	1010	2082	1435	1145	2273	1933	2349	1025	1167	1150	1020	1325	1706	817	970	1323	1385	1431	1036	1510	1107	1714	1835	1813	1399	1572	1790	66									
2	Число полученных избирательных бюллетеней	104190	1750	1780	1380	2200	1300	1900	2000	1500	1200	1200	1500	1350	1500	1700	1700	1000	1800	2200	1500	1900	1400	1600	1200	1350	1500	1500	330	2000	2000	1200	1400	2150	1000	1800	1400	1350	1200	1200	1700	1200	1650	850	1050	1100	800	1450	950	1970	1300	1050	2100	1650	2200	1000	1090	1000	1000	1200	1600	750	850	1250	1300	1300	1000	1370	1050	1500	1700	1700	1300	1500	1700	70									
3	Число избирательных бюллетеней, выданных  досрочно	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	Число избирательных бюллетеней, выданных в день голосования	59670	1067	1130	911	1282	800	1176	1201	920	743	788	868	774	852	1056	1049	634	984	1372	835	953	688	662	589	584	754	865	5	1031	1112	777	895	1601	480	958	862	760	718	773	1078	734	1066	546	617	748	483	876	617	1092	755	640	1220	878	1217	611	424	608	480	762	702	431	558	675	745	581	492	827	628	948	928	908	708	740	773	65									
5	Число избирательных бюллетеней, выданных вне помещения	3184	20	19	21	25	3	19	48	24	17	19	23	22	38	17	23	15	41	38	29	88	120	22	51	31	227	69	151	49	70	26	38	42	17	99	20	61	30	17	27	31	20	28	55	37	21	30	30	47	47	16	33	28	31	12	39	36	45	24	92	83	39	41	46	168	31	62	27	41	26	34	29	57	81	1									
6	Число погашенных избирательных бюллетеней	41327	663	631	448	893	497	705	751	556	440	393	609	554	610	627	628	351	775	790	636	859	592	916	560	726	519	566	174	920	818	397	467	507	503	743	518	529	452	410	595	435	564	276	378	315	296	544	303	831	498	394	847	744	952	377	627	356	475	414	806	236	253	534	509	551	477	481	395	511	746	758	563	703	846	4									
7	Число избирательных бюллетеней в переносных ящиках	3193	20	19	21	25	3	19	48	24	17	19	23	22	38	17	23	15	41	38	29	88	120	22	51	40	227	69	151	49	70	26	38	42	17	99	20	61	30	17	27	31	20	28	55	37	21	30	30	47	47	16	33	28	31	12	39	36	45	24	92	83	39	41	46	168	31	62	27	41	26	34	29	57	81	1									
8	Число бюллетеней в стационарных ящиках для голосования	59660	1067	1130	911	1282	800	1176	1201	920	742	788	868	774	852	1056	1049	634	984	1372	835	953	688	662	589	583	754	865	5	1031	1112	776	895	1601	480	958	862	760	718	772	1078	734	1066	545	617	748	483	876	617	1092	755	639	1220	878	1217	611	424	608	480	762	702	431	558	675	745	581	492	825	628	947	928	907	708	740	773	65									
9	Число недействительных избирательных бюллетеней	506	5	6	3	13	12	7	11	9	8	4	11	4	10	5	14	3	11	6	7	9	6	6	4	5	4	10	0	3	8	6	10	7	23	9	9	5	5	5	9	12	5	9	0	5	3	6	4	13	4	9	11	8	17	5	8	7	10	9	8	1	4	4	5	0	1	4	2	6	10	4	2	10	8	0									
10	Число действительных избирательных бюллетеней	62347	1082	1143	929	1294	791	1188	1238	935	751	803	880	792	880	1068	1058	646	1014	1404	857	1032	802	678	636	618	977	924	156	1077	1174	796	923	1636	474	1048	873	816	743	784	1096	753	1081	564	672	780	501	900	643	1126	798	646	1242	898	1231	618	455	637	515	777	786	513	593	712	786	749	522	883	653	982	944	937	735	787	846	66									
11	Число полученных открепительных  удостоверений	2245	35	35	25	45	25	40	40	35	25	30	30	30	30	35	35	25	40	50	35	40	30	35	25	30	35	35	0	40	45	30	30	50	25	40	25	25	25	25	35	25	35	20	25	25	15	30	20	45	30	20	45	40	45	25	20	25	20	25	30	15	20	30	30	30	20	35	25	30	40	40	25	35	35	0									
12	Число выданных открепительных удостоверений	1144	25	28	18	35	18	18	25	19	12	22	13	16	12	20	20	8	21	30	27	14	14	14	9	13	11	14	0	12	22	12	23	24	5	11	15	17	13	15	22	18	13	16	13	12	5	13	12	30	8	12	19	13	30	5	10	4	8	13	13	4	10	18	18	6	4	9	17	14	14	33	18	24	21	0									
13	Число избирателей, проголосовавших по открепительным удостоверениям	785	3	16	14	14	9	17	17	8	7	9	2	9	8	19	10	12	15	10	8	14	17	7	8	14	6	8	5	8	11	8	8	14	7	6	8	9	9	14	9	5	15	7	5	8	6	4	8	10	9	11	18	11	13	5	6	12	13	14	9	8	11	12	12	7	8	5	6	17	11	7	8	11	10	66									
14	Число неиспользованных открепительных удостоверений	1101	10	7	7	10	7	22	15	16	13	8	17	14	18	15	15	17	19	20	8	26	16	21	16	17	24	21	0	28	23	18	7	26	20	29	10	8	12	10	13	7	22	4	12	13	10	17	8	15	22	8	26	27	15	20	10	21	12	12	17	11	10	12	12	24	16	26	8	16	26	7	7	11	14	0									
15	Число открепительных удостоверений, выданных в ТИК	26	3	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	0	0	0	0									
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
Число голосов избирателей, поданных за каждый список																																																																																					
18	. Глазьев Сергей Юрьевич	4132	80	87	68	86	50	114	107	71	57	69	82	71	69	106	93	67	85	99	55	45	40	21	38	45	53	64	12	75	86	62	86	34	9	66	66	43	70	40	74	58	97	35	37	83	22	66	41	76	51	43	75	69	59	18	17	46	15	36	33	16	47	54	59	36	26	52	34	41	40	59	51	49	36	10									
		6.57%	7.36%	7.57%	7.30%	6.58%	6.23%	9.54%	8.57%	7.52%	7.51%	8.55%	9.20%	8.92%	7.75%	9.88%	8.68%	10.32%	8.29%	7.02%	6.37%	4.32%	4.95%	3.07%	5.94%	7.22%	5.40%	6.85%	7.69%	6.94%	7.28%	7.73%	9.22%	2.07%	1.81%	6.24%	7.48%	5.24%	9.36%	5.07%	6.70%	7.58%	8.93%	6.11%	5.51%	10.57%	4.37%	7.28%	6.34%	6.67%	6.36%	6.56%	5.99%	7.62%	4.73%	2.89%	3.67%	7.14%	2.86%	4.58%	4.16%	3.11%	7.87%	7.54%	7.46%	4.81%	4.97%	5.86%	5.19%	4.15%	4.19%	6.27%	6.92%	6.15%	4.22%	15.15%									
19	. Малышкин Олег Александрович	1238	27	27	25	34	14	15	14	14	15	13	11	14	21	14	21	6	14	24	15	24	14	20	14	20	19	14	5	22	29	4	20	53	25	24	17	17	14	14	25	17	12	10	8	12	9	15	8	18	22	9	24	12	30	15	9	13	7	18	15	2	14	13	20	15	13	16	16	15	19	29	9	18	24	0									
		1.97%	2.48%	2.35%	2.68%	2.60%	1.74%	1.26%	1.12%	1.48%	1.98%	1.61%	1.23%	1.76%	2.36%	1.30%	1.96%	0.92%	1.37%	1.70%	1.74%	2.31%	1.73%	2.92%	2.19%	3.21%	1.94%	1.50%	3.21%	2.04%	2.45%	0.50%	2.14%	3.23%	5.03%	2.27%	1.93%	2.07%	1.87%	1.77%	2.26%	2.22%	1.10%	1.75%	1.19%	1.53%	1.79%	1.66%	1.24%	1.58%	2.74%	1.37%	1.92%	1.32%	2.40%	2.41%	1.94%	2.02%	1.33%	2.29%	1.89%	0.39%	2.35%	1.82%	2.53%	2.00%	2.49%	1.80%	2.44%	1.52%	1.99%	3.08%	1.22%	2.26%	2.81%	0.00%									
20	. Миронов Сергей Михайлович	390	9	6	6	7	6	10	8	9	4	1	6	2	4	5	10	4	6	11	6	6	6	5	3	4	5	3	1	1	18	4	3	17	4	10	5	5	3	4	6	1	3	5	4	1	6	6	3	5	11	8	7	3	10	4	6	6	2	0	4	4	5	6	1	1	3	3	1	3	6	7	4	6	11	1									
