Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Боровичcкая																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	57012	2225	1310	1043	1084	1210	1821	1303	1416	1418	1168	936	1196	870	1486	1073	1996	1859	687	865	1375	1121	1295	1185	980	1225	759	1639	1636	2160	1707	956	1848	522	706	316	1177	357	231	552	412	229	351	196	1343	473	913	204	518	2330	1274	746	503	467	256	84									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	52340	2000	1200	1000	1000	1100	1700	1100	1300	1300	1000	900	1000	800	1300	1000	1800	1700	600	800	1200	1000	1100	1100	900	1100	700	1500	1500	2000	1500	900	1700	500	700	340	1100	370	250	550	450	230	350	200	1200	450	900	200	500	2000	1000	750	500	500	250	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21872	971	525	446	457	445	717	472	588	631	412	309	425	284	580	407	766	651	234	338	663	325	409	488	413	427	268	669	636	1025	588	327	727	207	259	131	480	181	115	168	222	90	129	70	422	136	372	105	141	855	514	266	143	146	71	26									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1431	5	1	2	6	3	11	3	2	8	0	9	4	3	10	5	10	7	2	8	8	4	39	12	5	8	10	2	8	2	11	5	18	6	90	30	60	77	28	84	78	45	55	29	55	50	69	3	82	73	51	22	114	31	12	56									
6	Число погашенных избирательных бюллетеней	29037	1024	674	552	537	652	972	625	710	661	588	582	571	513	710	588	1024	1042	364	454	529	671	652	600	482	665	422	829	856	973	901	568	955	287	351	179	560	112	107	298	150	95	166	101	723	264	459	92	277	1072	435	462	243	323	167	168									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1431	5	1	2	6	3	11	3	2	8	0	9	4	3	10	5	10	7	2	8	8	4	39	12	5	8	10	2	8	2	11	5	18	6	90	30	60	77	28	84	78	45	55	29	55	50	69	3	82	73	51	22	114	31	12	56									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21796	971	525	446	457	445	717	421	588	631	412	309	424	284	580	407	765	651	233	338	663	325	409	488	413	424	268	669	636	1025	588	327	709	207	259	131	480	181	115	168	222	90	129	70	421	136	372	105	141	855	514	266	143	146	71	26									
9	Число недействительных избирательных бюллетеней	518	24	10	5	13	5	16	8	14	24	5	7	11	5	9	6	12	16	2	11	11	11	19	8	7	6	8	12	13	21	14	5	15	1	11	4	11	5	2	5	36	1	5	7	10	5	7	7	5	21	6	6	0	8	1	1									
10	Число действительных избирательных бюллетеней	22709	952	516	443	450	443	712	416	576	615	407	311	417	282	581	406	763	642	233	335	660	318	429	492	411	426	270	659	631	1006	585	327	712	212	338	157	529	253	141	247	264	134	179	92	466	181	434	101	218	907	559	282	257	169	82	81									
