Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Барятинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4128	337	1122	1101	205	114	102	73	131	119	119	195	211	132	167									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4350	350	1150	1140	210	120	100	90	140	120	120	230	250	120	210									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1769	107	502	458	123	53	74	51	57	54	52	79	77	52	30									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	587	91	72	63	11	24	9	13	35	28	32	41	75	19	74									
6	Число погашенных избирательных бюллетеней	1994	152	576	619	76	43	17	26	48	38	36	110	98	49	106									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	587	91	72	63	11	24	9	13	35	28	32	41	75	19	74									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1769	107	502	458	123	53	74	51	57	54	52	79	77	52	30									
9	Число недействительных избирательных бюллетеней	61	0	22	19	0	2	3	1	4	2	2	2	3	0	1									
10	Число действительных избирательных бюллетеней	2295	198	552	502	134	75	80	63	88	80	82	118	149	71	103									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	750	50	150	150	45	35	15	35	20	25	30	40	50	40	65									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	329	41	30	27	12	11	15	35	14	6	7	40	50	6	35									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	12	9	2	3	7	8	11	6	4	9	5	8	12	5									
14	Число погашенных неиспользованных открепительных удостоверений	421	9	120	123	33	24	0	0	6	19	23	0	0	34	30									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	51	2	21	17	0	1	0	0	1	1	1	0	3	0	4									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	35	3	7	5	4	3	1	2	3	1	0	1	2	0	3									
		1.49%	1.52%	1.22%	0.96%	2.99%	3.90%	1.20%	3.13%	3.26%	1.22%	0.00%	0.83%	1.32%	0.00%	2.88%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	69	6	19	21	5	4	3	1	3	0	1	2	2	1	1									
		2.93%	3.03%	3.31%	4.03%	3.73%	5.19%	3.61%	1.56%	3.26%	0.00%	1.19%	1.67%	1.32%	1.41%	0.96%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	2	19	21	2	1	0	1	2	3	1	1	4	1	3									
		2.59%	1.01%	3.31%	4.03%	1.49%	1.30%	0.00%	1.56%	2.17%	3.66%	1.19%	0.83%	2.63%	1.41%	2.88%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1252	126	275	237	76	39	41	44	38	45	56	68	98	46	63									
		53.14%	63.64%	47.91%	45.49%	56.72%	50.65%	49.40%	68.75%	41.30%	54.88%	66.67%	56.67%	64.47%	64.79%	60.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	3	4	7	0	2	0	0	0	1	1	1	1	0	0									
		0.85%	1.52%	0.70%	1.34%	0.00%	2.60%	0.00%	0.00%	0.00%	1.22%	1.19%	0.83%	0.66%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	2	0	0	0	0	1	0	0	0	0	0	2									
		0.25%	0.51%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	390	29	91	99	27	12	23	7	7	18	14	22	15	10	16									
		16.55%	14.65%	15.85%	19.00%	20.15%	15.58%	27.71%	10.94%	7.61%	21.95%	16.67%	18.33%	9.87%	14.08%	15.38%									
