Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
"Наименование Избирательной комиссии:    Астрахань, Кировская"																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	84112	2060	2348	1458	1815	1734	2094	1136	815	1356	1260	1342	1427	1286	989	1421	551	873	2260	1305	2209	1792	2548	1556	1556	1946	1533	1362	1875	1873	2197	2230	1870	1682	1756	1939	2323	2466	2307	2394	2609	2695	2316	2165	2390	1318	2871	339	201	264									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	67002	1600	2000	1200	1450	1300	1700	950	700	1100	1050	1100	1150	1050	800	1150	450	750	1700	1050	1700	1450	2000	1250	1200	1600	1200	1100	1550	1500	1800	1750	1550	1350	1350	1550	1800	1800	1800	1900	2100	2100	1850	1700	1750	950	2300	334	204	264									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	29810	791	911	372	582	521	783	411	336	539	433	314	479	342	281	288	184	361	472	434	717	447	1112	370	663	762	514	490	595	784	915	941	604	697	804	651	1035	898	983	920	958	879	777	856	726	492	692	334	158	202									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1053	22	21	7	7	135	19	8	13	13	28	6	14	4	5	7	6	7	9	3	25	14	18	47	6	46	4	0	11	16	17	8	4	10	1	9	12	3	11	42	9	6	5	6	139	83	79	0	43	45									
6	Число погашенных избирательных бюллетеней	36139	787	1068	821	861	644	898	531	351	548	589	780	657	704	514	855	260	382	1219	613	958	989	870	833	531	792	682	610	944	700	868	801	942	643	545	890	753	899	806	938	1133	1215	1068	838	885	375	1529	0	3	17									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1053	22	21	7	7	135	19	8	13	13	28	6	14	4	5	7	6	7	9	3	25	14	18	47	6	46	4	0	11	16	17	8	4	10	1	9	12	3	11	42	9	6	5	6	139	83	79	0	43	45									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	29436	789	893	371	582	521	783	411	336	539	433	314	478	342	281	288	184	361	472	433	711	447	1094	323	663	736	514	245	595	784	915	941	600	697	804	651	1035	898	979	920	958	879	777	856	726	492	691	334	158	202									
9	Число недействительных избирательных бюллетеней	795	15	16	13	19	12	31	9	15	12	10	11	16	17	10	11	5	5	11	21	9	11	38	9	4	20	17	8	7	14	20	20	15	15	12	12	14	38	26	25	20	12	26	11	18	29	23	24	25	14									
10	Число действительных избирательных бюллетеней	29694	796	898	365	570	644	771	410	334	540	451	309	476	329	276	284	185	363	470	415	727	450	1074	361	665	762	501	237	599	786	912	929	589	692	793	648	1033	863	964	937	947	873	756	851	847	546	747	310	176	233									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2237	50	60	40	65	45	55	30	25	35	35	35	55	35	25	40	15	35	45	35	55	45	80	45	45	50	40	35	50	70	65	55	65	68	50	57	65	45	50	45	60	70	65	55	45	35	67	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1834	39	55	35	48	28	41	22	17	21	31	18	49	28	21	29	9	22	26	25	47	27	75	29	33	42	27	27	49	61	58	41	54	51	45	51	52	37	42	45	60	63	64	52	43	32	63	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3670	52	64	22	54	24	76	19	48	71	12	38	77	33	25	43	25	32	55	52	165	49	98	77	112	47	39	54	28	118	69	103	27	46	118	152	159	153	137	148	113	165	104	128	120	118	163	20	6	12									
14	Число погашенных неиспользованных открепительных удостоверений	403	11	5	5	17	17	14	8	8	14	4	17	6	7	4	11	6	13	19	10	8	18	5	16	12	8	13	8	1	9	7	14	11	17	5	6	13	8	8	0	0	7	1	3	2	3	4	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	839	11	25	21	22	15	20	9	9	16	12	9	11	7	7	9	4	13	21	17	18	12	24	10	18	30	18	9	28	24	42	43	19	44	11	29	24	21	20	17	15	29	16	15	20	7	18	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																												
