Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Красногородская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6348	1706	1587	376	356	539	243	397	326	245	169	274	130									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6160	1700	1500	370	330	500	240	400	330	240	160	270	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2123	647	610	77	133	97	55	120	94	87	60	88	55									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	708	42	82	95	25	134	79	98	36	35	22	48	12									
6	Число погашенных избирательных бюллетеней	3329	1011	808	198	172	269	106	182	200	118	78	134	53									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	708	42	82	95	25	134	79	98	36	35	22	48	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2122	647	609	77	133	97	55	120	94	87	60	88	55									
9	Число недействительных избирательных бюллетеней	62	9	11	1	16	8	2	3	4	3	2	2	1									
10	Число действительных избирательных бюллетеней	2768	680	680	171	142	223	132	215	126	119	80	134	66									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	140	25	25	10	10	10	10	10	10	10	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	23	8	3	1	1	0	1	4	2	2	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	6	15	2	1	0	0	3	1	4	0	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	117	17	22	9	9	10	9	6	8	8	5	10	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	2	0	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	6	4	1	4	4	0	3	1	2	2	1	3									
		1.10%	0.87%	0.58%	0.58%	2.53%	1.73%	0.00%	1.38%	0.77%	1.64%	2.44%	0.74%	4.48%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	81	31	15	14	0	5	1	3	1	4	2	4	1									
		2.86%	4.50%	2.17%	8.14%	0.00%	2.16%	0.75%	1.38%	0.77%	3.28%	2.44%	2.94%	1.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	12	27	6	3	5	0	2	1	1	2	4	2									
		2.30%	1.74%	3.91%	3.49%	1.90%	2.16%	0.00%	0.92%	0.77%	0.82%	2.44%	2.94%	2.99%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1351	321	300	77	92	111	62	111	82	51	43	78	23									
		47.74%	46.59%	43.42%	44.77%	58.23%	48.05%	46.27%	50.92%	63.08%	41.80%	52.44%	57.35%	34.33%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	22	6	9	1	3	2	0	0	0	1	0	0	0									
		0.78%	0.87%	1.30%	0.58%	1.90%	0.87%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	1	0	1	3	2	0	0	0	0	0	0	0									
		0.25%	0.15%	0.00%	0.58%	1.90%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	392	80	108	21	15	35	23	30	13	23	12	23	9									
		13.85%	11.61%	15.63%	12.21%	9.49%	15.15%	17.16%	13.76%	10.00%	18.85%	14.63%	16.91%	13.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	4	3	1	0	0	1	0	1	2	0	2	0									
		0.49%	0.58%	0.43%	0.58%	0.00%	0.00%	0.75%	0.00%	0.77%	1.64%	0.00%	1.47%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	5	8	1	3	0	1	0	0	1	0	0	1									
		0.71%	0.73%	1.16%	0.58%	1.90%	0.00%	0.75%	0.00%	0.00%	0.82%	0.00%	0.00%	1.49%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	5	1	0	0	0	0	2	0	0	0	0	0									
		0.28%	0.73%	0.14%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	79	12	30	9	1	4	3	9	3	4	0	0	4									
		2.79%	1.74%	4.34%	5.23%	0.63%	1.73%	2.24%	4.13%	2.31%	3.28%	0.00%	0.00%	5.97%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	499	151	118	27	9	40	32	41	20	17	13	21	10									
		17.63%	21.92%	17.08%	15.70%	5.70%	17.32%	23.88%	18.81%	15.38%	13.93%	15.85%	15.44%	14.93%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	4	4	4	0	0	0	1	0	0	0	0	0									
		0.46%	0.58%	0.58%	2.33%	0.00%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	186	42	53	8	9	15	9	13	4	13	6	1	13									
