Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Белокатайская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	15445	787	503	1065	253	413	107	383	621	87	143	216	1257	1049	1214	1211	567	240	304	159	317	263	1300	308	135	260	123	530	139	143	363	660	325									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15733	795	506	1078	256	414	107	385	630	88	142	217	1336	1059	1221	1226	642	242	303	159	322	266	1322	312	136	263	124	535	141	144	369	663	330									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12334	712	454	963	230	389	102	253	535	66	109	186	698	726	669	948	492	217	287	150	299	253	966	218	128	203	120	499	129	138	312	597	286									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1009	50	31	50	8	3	0	116	28	9	18	19	94	62	125	45	57	8	6	5	5	0	79	32	3	36	0	17	6	0	32	39	26									
6	Число погашенных избирательных бюллетеней	2390	33	21	65	18	22	5	16	67	13	15	12	544	271	427	233	93	17	10	4	18	13	277	62	5	24	4	19	6	6	25	27	18									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1007	50	31	50	8	3	0	116	28	9	18	19	94	62	125	45	55	8	6	5	5	0	79	32	3	36	0	17	6	0	32	39	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12328	712	454	963	230	389	102	253	535	66	109	186	698	726	669	948	486	217	287	150	299	253	966	218	128	203	120	499	129	138	312	597	286									
9	Число недействительных избирательных бюллетеней	29	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0									
10	Число действительных избирательных бюллетеней	13306	762	485	1013	238	392	102	369	563	75	127	205	773	788	794	993	537	225	293	155	304	253	1045	249	131	239	120	516	135	138	344	631	312									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	130	4	4	6	3	4	2	4	6	2	2	3	8	8	8	8	4	3	4	2	2	4	8	2	2	4	2	4	2	2	3	6	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	44	2	1	5	0	1	0	1	6	0	0	0	3	0	2	3	2	1	0	0	0	0	4	2	0	0	0	2	1	0	3	3	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	29	0	3	1	0	1	1	0	0	0	2	0	3	1	2	2	0	0	4	1	0	1	0	1	0	0	0	1	0	0	2	3	0									
14	Число погашенных неиспользованных открепительных удостоверений	86	2	3	1	3	3	2	3	0	2	2	3	5	8	6	5	2	2	4	2	2	4	4	0	2	4	2	2	1	2	0	3	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	1	0	0	1	0	0	0	0	0	0	0	2	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	182	0	0	3	0	1	0	4	5	0	0	0	18	36	17	75	4	3	0	0	0	0	6	1	0	0	0	0	5	0	0	3	1									
		1.36%	0.00%	0.00%	0.30%	0.00%	0.26%	0.00%	1.08%	0.89%	0.00%	0.00%	0.00%	2.27%	4.57%	2.14%	7.55%	0.74%	1.33%	0.00%	0.00%	0.00%	0.00%	0.57%	0.40%	0.00%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.47%	0.32%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	331	0	0	8	9	1	4	18	33	5	11	0	14	44	28	14	5	16	5	7	0	0	15	26	7	1	9	1	1	5	3	36	5									
		2.48%	0.00%	0.00%	0.79%	3.78%	0.26%	3.92%	4.88%	5.86%	6.67%	8.66%	0.00%	1.77%	5.58%	3.53%	1.41%	0.92%	7.11%	1.71%	4.52%	0.00%	0.00%	1.44%	10.40%	5.34%	0.42%	7.50%	0.19%	0.74%	3.62%	0.87%	5.66%	1.60%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	167	0	6	4	0	2	0	1	9	0	2	1	14	32	26	10	14	11	0	5	0	3	8	6	0	0	5	0	0	2	0	5	1									
		1.25%	0.00%	1.24%	0.39%	0.00%	0.51%	0.00%	0.27%	1.60%	0.00%	1.57%	0.49%	1.77%	4.06%	3.27%	1.01%	2.59%	4.89%	0.00%	3.23%	0.00%	1.19%	0.77%	2.40%	0.00%	0.00%	4.17%	0.00%	0.00%	1.45%	0.00%	0.79%	0.32%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8020	503	311	557	189	245	62	211	379	50	64	127	473	451	439	541	350	135	183	101	182	165	670	16	109	100	89	319	86	117	184	425	187									
		60.14%	66.01%	64.12%	54.99%	79.41%	62.50%	60.78%	57.18%	67.32%	66.67%	50.39%	61.95%	59.72%	57.23%	55.29%	54.48%	64.70%	60.00%	62.46%	65.16%	59.87%	65.22%	64.11%	6.40%	83.21%	41.84%	74.17%	61.82%	63.70%	84.78%	53.49%	66.82%	59.94%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	72	0	0	4	0	0	1	4	0	0	0	1	8	10	6	23	0	1	4	0	0	0	5	1	0	0	0	3	1	0	0	0	0									
