Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
"Наименование Избирательной комиссии:    Новокузнецк, Кузнецкая"																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699					
1	"Число избирателей, внесенных в списки"	37084	2229	2263	2086	2132	2585	2545	2512	2270	2880	1654	2482	2081	2228	2150	2038	2237	712					
2	"Число бюллетеней, полученных участковыми комиссиями"	35600	2100	2100	2000	2000	2500	2400	2500	2100	2800	1600	2300	2000	2100	2000	2000	2100	1000					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	18036	678	1275	1003	1006	1291	1269	1279	979	885	882	1208	1174	1072	1079	1041	1203	712					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	846	51	25	33	40	27	34	32	47	191	113	40	32	50	50	39	42	0					
6	Число погашенных бюллетеней	16718	1371	800	964	954	1182	1097	1189	1074	1724	605	1052	794	978	871	920	855	288					
7	Число бюллетеней в переносных ящиках для голосования	846	51	25	33	40	27	34	32	47	191	113	40	32	50	50	39	42	0					
8	Число бюллетеней в стационарных ящиках для голосования	18028	678	1275	1003	1006	1291	1266	1276	979	885	882	1208	1174	1072	1079	1041	1201	712					
9	Число недействительных бюллетеней	214	21	17	17	11	18	15	13	9	9	12	10	4	15	22	5	15	1					
10	Число действительных бюллетеней	18660	708	1283	1019	1035	1300	1285	1295	1017	1067	983	1238	1202	1107	1107	1075	1228	711					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	193	10	20	10	10	16	10	10	10	10	10	10	17	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	112	2	17	2	6	13	9	3	5	4	8	4	13	5	8	6	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	74	2	9	2	1	0	3	10	6	6	3	2	4	2	1	7	4	12					
14	Число погашенных открепительных удостоверений	81	8	3	8	4	3	1	7	5	6	2	6	4	5	2	4	3	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
18	"1. ""ЕДИНЕНИЕ"""	187	12	19	11	5	11	13	12	6	10	9	16	14	8	9	21	11	0					
		0.99%	1.64%	1.46%	1.06%	0.47%	0.83%	1.0%	0.91%	0.58%	0.92%	0.90%	1.28%	1.16%	0.71%	0.79%	1.94%	0.88%	0.0%					
