Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Кожевниковский район																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  447	УИК  448	УИК  449	УИК  450	УИК  451	УИК  452	УИК  453	УИК  454	УИК  455	УИК  456	УИК  457	УИК  458	УИК  459	УИК  460	УИК  461	УИК  462	УИК  463	УИК  464	УИК  465	УИК  466	УИК  467	УИК  468	УИК  469	УИК  470	УИК  471	УИК  472	УИК  473	УИК  474	УИК  475	УИК  476	УИК  477	УИК  478					
1	"Число избирателей, внесенных в список"	16227	107	1659	1708	1414	1483	310	1025	108	907	292	186	619	351	399	413	313	315	319	218	391	215	160	781	315	305	454	170	175	317	131	304	363					
2	Число полученных избирательных бюллетеней	15778	114	1600	1600	1400	1400	310	1000	110	850	281	192	650	340	400	400	300	300	300	220	390	220	168	750	310	300	450	170	171	300	132	300	350					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	11152	101	1038	1041	721	746	271	660	86	641	190	148	419	245	286	352	257	219	280	181	307	206	136	528	294	206	374	144	161	269	126	207	312					
5	"Число избирательных бюллетеней, выданных вне помещения"	1131	6	35	106	68	103	12	67	3	44	38	15	76	48	52	24	26	52	13	24	16	0	13	78	16	65	22	11	9	31	5	30	23					
6	Число погашенных избирательных бюллетеней	3495	7	527	453	611	551	27	273	21	165	53	29	155	47	62	24	17	29	7	15	67	14	19	144	0	29	54	15	1	0	1	63	15					
7	Число избирательных бюллетеней в переносных ящиках	1131	6	35	106	68	103	12	67	3	44	38	15	76	48	52	24	26	52	13	24	16	0	13	78	16	65	22	11	9	31	5	30	23					
8	Число бюллетеней в стационарных ящиках для голосования	11150	101	1038	1041	721	746	271	660	86	639	190	148	419	245	286	352	257	219	280	181	307	206	136	528	294	206	374	144	161	269	126	207	312					
9	Число недействительных избирательных бюллетеней	100	1	9	9	5	3	6	11	1	7	0	0	2	4	4	5	0	5	0	0	3	3	0	6	4	1	3	1	3	0	0	2	2					
10	Число действительных избирательных бюллетеней	12181	106	1064	1138	784	846	277	716	88	676	228	163	493	289	334	371	283	266	293	205	320	203	149	600	306	270	393	154	167	300	131	235	333					
11	Число полученных открепительных  удостоверений	365	10	30	30	30	30	5	20	5	15	5	5	15	10	15	10	5	10	5	5	10	5	5	15	5	5	15	5	5	10	5	5	15					
12	Число выданных открепительных удостоверений	158	6	17	16	10	13	5	20	0	10	0	5	3	0	13	10	0	5	0	0	5	0	0	2	0	1	6	1	0	0	2	4	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	88	4	6	12	2	4	1	8	1	4	3	2	2	1	1	1	2	2	1	3	5	1	0	4	1	3	1	2	1	1	2	1	6					
14	Число неиспользованных открепительных удостоверений	207	4	13	14	20	17	0	0	5	5	5	0	12	10	2	0	5	5	5	5	5	5	5	13	5	4	9	4	5	10	3	1	11					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																							
18	. Глазьев Сергей Юрьевич	211	4	25	33	15	24	1	15	3	3	0	1	1	3	1	10	2	2	0	2	4	0	8	13	1	1	13	0	2	6	1	6	11					
		1.72%	3.74%	2.33%	2.88%	1.90%	2.83%	0.35%	2.06%	3.37%	0.44%	0.00%	0.61%	0.20%	1.02%	0.30%	2.66%	0.71%	0.74%	0.00%	0.98%	1.24%	0.00%	5.37%	2.15%	0.32%	0.37%	3.28%	0.00%	1.18%	2.00%	0.76%	2.53%	3.28%					
19	. Малышкин Олег Александрович	410	1	28	54	35	26	11	30	3	20	6	1	13	10	16	11	9	15	9	7	6	11	7	24	9	10	8	5	2	7	1	8	7					
		3.34%	0.93%	2.61%	4.71%	4.44%	3.06%	3.89%	4.13%	3.37%	2.93%	2.63%	0.61%	2.63%	3.41%	4.73%	2.93%	3.18%	5.54%	3.07%	3.41%	1.86%	5.34%	4.70%	3.96%	2.90%	3.69%	2.02%	3.23%	1.18%	2.33%	0.76%	3.38%	2.09%					
20	. Миронов Сергей Михайлович	96	0	9	5	1	9	4	5	2	10	0	1	5	1	4	0	2	1	6	1	3	2	6	7	0	2	0	2	1	2	0	3	2					
		0.78%	0.00%	0.84%	0.44%	0.13%	1.06%	1.41%	0.69%	2.25%	1.46%	0.00%	0.61%	1.01%	0.34%	1.18%	0.00%	0.71%	0.37%	2.05%	0.49%	0.93%	0.97%	4.03%	1.16%	0.00%	0.74%	0.00%	1.29%	0.59%	0.67%	0.00%	1.27%	0.60%					
21	. Путин Владимир Владимирович	8664	82	727	713	540	561	215	496	66	487	170	116	373	220	248	282	230	207	234	152	210	148	95	393	251	192	269	121	117	233	117	167	232					
		70.55%	76.64%	67.75%	62.16%	68.44%	66.08%	75.97%	68.23%	74.16%	71.30%	74.56%	71.17%	75.35%	75.09%	73.37%	75.00%	81.27%	76.38%	79.86%	74.15%	65.02%	71.84%	63.76%	64.85%	80.97%	70.85%	67.93%	78.06%	68.82%	77.67%	89.31%	70.46%	69.25%					
22	. Хакамада Ирина Муцуовна	382	4	51	71	37	47	7	14	3	13	7	7	15	6	7	8	3	2	4	2	11	3	7	10	4	8	9	4	3	4	0	5	6					
		3.11%	3.74%	4.75%	6.19%	4.69%	5.54%	2.47%	1.93%	3.37%	1.90%	3.07%	4.29%	3.03%	2.05%	2.07%	2.13%	1.06%	0.74%	1.37%	0.98%	3.41%	1.46%	4.70%	1.65%	1.29%	2.95%	2.27%	2.58%	1.76%	1.33%	0.00%	2.11%	1.79%					
23	. Харитонов Николай Михайлович	2024	11	175	197	134	146	33	123	8	126	38	33	72	46	50	55	28	33	40	38	77	32	25	136	29	56	80	16	40	33	11	41	62					
