Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																												
Дата голосования: 18.09.2016																												
																												
Наименование Избирательной комиссии:    Мотыгинская																												
																												
Сводная таблица итогов голосования по федеральному избирательному округу																												
																												
		Сумма	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10968	675	1191	993	899	198	614	240	493	246	781	998	717	370	1667	296	128	462									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11150	930	900	1000	905	200	640	245	500	450	730	1000	730	370	1680	270	130	470									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	47	0	0	0	0	0	0	0	5	0	0	0	0	0	0	23	19	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4100	231	372	288	275	92	284	68	214	246	441	314	263	130	540	132	52	158									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	203	14	14	16	10	8	2	26	21	0	0	8	25	1	28	11	14	5									
6	Число погашенных избирательных бюллетеней	6800	685	514	696	620	100	354	151	260	204	289	678	442	239	1112	104	45	307									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	250	14	14	16	10	8	2	26	26	0	0	8	25	1	28	34	33	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4100	231	372	288	275	92	284	68	214	246	441	314	263	130	540	132	52	158									
9	Число недействительных избирательных бюллетеней	124	6	17	6	6	2	7	1	9	10	16	8	7	8	13	4	0	4									
10	Число действительных избирательных бюллетеней	4226	239	369	298	279	98	279	93	231	236	425	314	281	123	555	162	85	159									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	441	25	40	40	35	15	33	15	21	12	30	40	30	20	40	20	5	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	32	2	4	1	4	0	0	0	0	0	8	3	3	0	5	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	1	1	1	3	0	0	0	1	3	1	0	0	2	3	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	409	23	36	39	31	15	33	15	21	12	22	37	27	20	35	20	5	18									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	6	8	2	2	0	2	0	1	2	4	4	6	0	11	3	0	9									
