Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																			
Дата голосования: 02.12.2007																																																																			
																																																																			
Наименование Избирательной комиссии:    Красносельская N 6																																																																			
																																																																			
Сводная таблица результатов выборов																																																																			
																																																																			
		Сумма	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889	УИК №890	УИК №891					
1	"Число избирателей, внесенных в списки избирателей"	131930	2212	2575	2225	2187	2016	1664	1910	2055	2027	1996	1936	2381	2560	2894	2895	2153	2225	2709	2390	2155	2490	2946	1206	2345	2115	2091	2103	2309	2345	2326	2477	2483	2289	1902	2544	2372	2666	2293	2584	2216	2414	441	378	2300	2374	2227	2072	2432	1964	2054	2255	1769	2181	2230	2102	1968	2582	2609	2742	1569					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	119450	2000	2500	2000	2000	2000	1500	1500	2000	2000	1900	1800	2000	2500	2500	2500	2000	2000	2500	2000	2000	2000	2500	1000	2000	2000	2000	2000	2000	2000	2000	2000	2500	2000	1800	2500	2000	2500	2000	2500	2000	2000	350	300	2000	2000	2000	2000	2000	1900	2000	2000	1500	2000	2000	2000	1900	2500	2500	2500	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	67052	1122	1328	1132	1059	1054	776	890	1081	1066	1044	1009	1199	1240	1267	1478	962	1127	1310	1157	1033	1351	1634	665	1150	1130	1037	1094	1116	1255	1240	1252	1214	1180	993	1181	1226	1500	1213	1398	1060	1220	218	225	1133	1170	1493	846	1263	1008	942	1206	892	1077	1224	1170	865	1329	1307	1374	867					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1045	18	24	20	17	11	10	16	8	14	11	10	21	12	75	12	47	12	13	22	13	17	10	6	27	28	4	21	17	16	17	19	17	17	15	9	21	21	16	23	8	14	0	0	15	37	40	18	15	16	16	23	19	32	15	12	11	14	5	27	1					
6	Число погашенных избирательных бюллетеней	51353	860	1148	848	924	935	714	594	911	920	845	781	780	1248	1158	1010	991	861	1177	821	954	632	856	329	823	842	959	885	867	729	743	729	1269	803	792	1310	753	979	771	1079	932	766	132	75	852	793	467	1136	722	876	1042	771	589	891	761	818	1024	1157	1188	1099	632					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1045	18	24	20	17	11	10	16	8	14	11	10	21	12	75	12	47	12	13	22	13	17	10	6	27	28	4	21	17	16	17	19	17	17	15	9	21	21	16	23	8	14	0	0	15	37	40	18	15	16	16	23	19	32	15	12	11	14	5	27	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	66985	1120	1326	1132	1056	1053	776	890	1081	1066	1042	1008	1196	1238	1266	1478	961	1125	1310	1157	1033	1348	1633	663	1145	1130	1037	1094	1114	1254	1240	1252	1211	1180	990	1180	1223	1498	1211	1397	1059	1219	218	225	1133	1169	1489	846	1263	1007	942	1203	892	1074	1222	1169	865	1328	1307	1374	867					
9	Число недействительных избирательных бюллетеней	559	5	15	11	10	6	12	7	9	4	7	7	8	14	15	18	11	8	6	13	13	11	17	6	6	12	20	11	6	6	16	9	4	18	7	8	5	11	9	15	8	7	0	2	5	8	14	8	11	9	20	10	4	6	5	8	5	11	10	7	5					
10	Число действительных избирательных бюллетеней	67471	1133	1335	1141	1063	1058	774	899	1080	1076	1046	1011	1209	1236	1326	1472	997	1129	1317	1166	1033	1354	1626	663	1166	1146	1021	1104	1125	1264	1241	1262	1224	1179	998	1181	1239	1508	1218	1405	1059	1226	218	223	1143	1198	1515	856	1267	1014	938	1216	907	1100	1232	1173	871	1331	1302	1394	863					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3287	50	50	50	50	50	50	50	50	50	50	50	50	50	65	80	43	55	50	52	45	65	65	50	50	50	50	49	55	54	45	51	58	55	41	50	50	62	50	60	50	50	20	50	70	50	190	50	60	40	65	50	50	50	60	50	50	50	57	50	75					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2590	41	47	32	37	38	34	26	37	31	30	36	25	28	59	68	35	51	47	48	32	61	61	26	42	31	40	42	48	54	27	51	58	53	31	41	37	53	25	57	32	39	7	22	54	34	179	48	57	31	50	37	28	26	57	26	25	46	52	46	74					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1952	37	19	21	16	16	20	54	20	21	20	25	26	16	12	67	14	0	21	12	50	100	257	23	32	22	16	37	55	27	49	29	23	11	17	24	46	27	51	34	8	28	9	15	21	23	20	21	35	26	15	35	16	20	130	69	17	21	28	13	15					
14	Число погашенных неиспользованных открепительных удостоверений	697	9	3	18	13	12	16	24	13	19	20	14	25	22	6	12	8	4	3	4	13	4	4	24	8	19	10	7	7	0	18	0	0	2	10	9	13	9	25	3	18	11	13	28	16	16	11	2	3	9	15	13	22	24	3	24	25	4	5	4	1					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	198	3	0	8	3	1	3	0	2	3	4	5	2	3	9	4	2	2	2	0	2	3	5	1	6	3	4	1	3	6	2	4	4	3	5	1	4	2	3	4	3	0	0	0	4	6	5	1	3	0	5	5	4	0	7	9	5	3	5	4	7					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																			
18	1.Политическая партия «Аграрная партия России»	1683	49	43	38	29	31	21	21	18	24	31	20	38	22	37	21	25	29	23	28	29	29	26	14	26	35	30	37	26	25	38	22	25	23	13	34	29	48	33	38	32	26	7	6	22	43	28	21	27	26	23	31	31	32	28	41	22	32	46	19	12					
