Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																		
Дата голосования: 18.09.2016																																																		
																																																		
Наименование Избирательной комиссии:    Ярцевская																																																		
																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																		
																																																		
		Сумма	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46125	971	1299	1465	2150	2185	1758	1070	1052	2716	2423	1460	1303	828	1989	1742	1247	1868	1989	1307	526	625	739	1699	1464	1241	1353	584	297	390	1350	153	152	201	1050	622	1014	654	324	865									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	46608	975	1310	1480	2160	2210	1780	1080	1060	2770	2460	1470	1310	800	2010	1765	1269	1890	2010	1320	530	630	743	1720	1480	1260	1370	590	298	405	1365	150	150	200	1070	629	1030	660	320	879									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15068	403	384	488	726	716	555	349	366	812	799	519	443	331	702	561	247	698	696	347	183	244	263	579	521	447	282	132	87	154	359	73	60	103	425	161	229	263	104	257									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	903	5	3	32	43	10	20	13	4	9	9	10	7	34	3	2	3	5	10	8	6	15	14	16	14	8	20	10	19	50	95	7	28	26	25	41	53	106	66	54									
6	Число погашенных избирательных бюллетеней	30637	567	923	960	1391	1484	1205	718	690	1949	1652	941	860	435	1305	1202	1019	1187	1304	965	341	371	466	1125	945	805	1068	448	192	201	911	70	62	71	620	427	748	291	150	568									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	903	5	3	32	43	10	20	13	4	9	9	10	7	34	3	2	3	5	10	8	6	15	14	16	14	8	20	10	19	50	95	7	28	26	25	41	53	106	66	54									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15067	403	384	488	726	716	555	349	366	812	799	519	443	331	702	561	247	698	696	347	183	244	263	578	521	447	282	132	87	154	359	73	60	103	425	161	229	263	104	257									
9	Число недействительных избирательных бюллетеней	382	8	5	11	33	22	23	11	10	17	18	17	6	30	13	8	5	21	16	5	2	8	10	5	18	14	8	2	1	0	5	0	2	0	6	4	5	2	3	8									
10	Число действительных избирательных бюллетеней	15588	400	382	509	736	704	552	351	360	804	790	512	444	335	692	555	245	682	690	350	187	251	267	589	517	441	294	140	105	204	449	80	86	129	444	198	277	367	167	303									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	15	15	15	35	25	15	15	15	20	20	15	15	15	15	15	15	20	20	15	15	15	15	25	20	20	15	10	10	10	10	10	10	10	15	10	15	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	290	4	7	3	16	11	8	5	4	20	15	6	5	2	12	10	3	14	8	6	3	4	5	21	10	10	11	6	0	10	7	0	0	2	15	4	8	10	1	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	139	3	3	1	2	4	2	1	0	4	5	4	3	31	5	4	0	4	5	3	2	0	6	6	6	0	5	6	1	0	1	2	1	3	3	4	4	1	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	310	11	8	12	19	14	7	10	11	0	5	9	10	13	3	5	12	6	12	9	12	11	10	4	10	10	4	4	10	0	3	10	10	8	0	6	7	0	9	6									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	107	1	4	4	1	3	2	5	0	10	6	1	6	2	5	8	3	5	7	2	1	3	0	4	4	3	1	0	0	0	4	0	0	0	2	2	4	1	0	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	243	7	10	8	9	8	1	5	5	10	14	11	13	5	14	14	2	14	15	0	2	7	4	8	11	8	4	5	0	0	1	0	1	1	4	2	7	5	1	7									
		1.52%	1.72%	2.58%	1.54%	1.17%	1.10%	0.17%	1.38%	1.35%	1.22%	1.73%	2.08%	2.89%	1.37%	1.99%	2.49%	0.80%	1.99%	2.12%	0.00%	1.06%	2.70%	1.44%	1.35%	2.06%	1.76%	1.32%	3.52%	0.00%	0.00%	0.22%	0.00%	1.14%	0.78%	0.89%	0.99%	2.48%	1.36%	0.59%	2.25%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	412	6	9	16	20	23	14	7	4	22	25	12	8	7	27	11	10	24	21	8	3	7	8	11	10	12	7	4	5	0	19	3	3	6	10	2	9	4	5	10									
		2.58%	1.47%	2.33%	3.08%	2.60%	3.17%	2.43%	1.93%	1.08%	2.68%	3.09%	2.27%	1.78%	1.92%	3.83%	1.95%	4.00%	3.41%	2.97%	2.25%	1.59%	2.70%	2.89%	1.85%	1.87%	2.64%	2.32%	2.82%	4.72%	0.00%	4.19%	3.75%	3.41%	4.65%	2.22%	0.99%	3.19%	1.08%	2.94%	3.22%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	338	9	9	9	18	12	13	10	4	20	26	13	14	14	9	13	8	13	15	9	4	5	2	15	12	8	7	2	2	3	8	0	3	4	4	5	8	4	1	3									
		2.12%	2.21%	2.33%	1.73%	2.34%	1.65%	2.26%	2.76%	1.08%	2.44%	3.22%	2.46%	3.11%	3.84%	1.28%	2.31%	3.20%	1.85%	2.12%	2.54%	2.12%	1.93%	0.72%	2.53%	2.24%	1.76%	2.32%	1.41%	1.89%	1.47%	1.76%	0.00%	3.41%	3.10%	0.89%	2.48%	2.84%	1.08%	0.59%	0.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6968	184	177	214	316	315	233	145	188	318	297	198	164	182	298	206	106	265	290	178	81	114	110	222	198	186	138	62	55	139	220	56	56	55	238	118	121	276	102	147									
		43.63%	45.10%	45.74%	41.15%	41.09%	43.39%	40.52%	40.06%	50.81%	38.73%	36.76%	37.43%	36.44%	49.86%	42.27%	36.59%	42.40%	37.70%	41.08%	50.14%	42.86%	44.02%	39.71%	37.37%	37.01%	40.88%	45.70%	43.66%	51.89%	68.14%	48.46%	70.00%	63.64%	42.64%	52.89%	58.42%	42.91%	74.80%	60.00%	47.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	94	4	4	5	7	2	4	3	2	5	7	5	4	2	1	2	2	2	4	1	2	1	3	5	2	0	3	0	1	1	1	1	0	0	3	0	0	1	1	3									
		0.59%	0.98%	1.03%	0.96%	0.91%	0.28%	0.70%	0.83%	0.54%	0.61%	0.87%	0.95%	0.89%	0.55%	0.14%	0.36%	0.80%	0.28%	0.57%	0.28%	1.06%	0.39%	1.08%	0.84%	0.37%	0.00%	0.99%	0.00%	0.94%	0.49%	0.22%	1.25%	0.00%	0.00%	0.67%	0.00%	0.00%	0.27%	0.59%	0.96%									
24	"6. Политическая партия ""Гражданская Платформа"""	26	0	1	0	3	0	0	1	0	1	1	0	2	2	1	2	0	1	2	0	1	0	0	1	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	1									
		0.16%	0.00%	0.26%	0.00%	0.39%	0.00%	0.00%	0.28%	0.00%	0.12%	0.12%	0.00%	0.44%	0.55%	0.14%	0.36%	0.00%	0.14%	0.28%	0.00%	0.53%	0.00%	0.00%	0.17%	0.00%	0.44%	0.33%	0.00%	0.00%	0.00%	0.22%	1.25%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.32%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2845	68	83	84	130	117	96	72	52	156	126	113	70	57	112	111	48	131	97	62	32	67	52	141	79	75	50	41	14	30	98	9	14	47	70	32	67	35	31	76									
		17.81%	16.67%	21.45%	16.15%	16.91%	16.12%	16.70%	19.89%	14.05%	19.00%	15.59%	21.36%	15.56%	15.62%	15.89%	19.72%	19.20%	18.63%	13.74%	17.46%	16.93%	25.87%	18.77%	23.74%	14.77%	16.48%	16.56%	28.87%	13.21%	14.71%	21.59%	11.25%	15.91%	36.43%	15.56%	15.84%	23.76%	9.49%	18.24%	24.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	98	1	5	4	2	3	4	2	3	4	9	1	1	2	1	3	1	5	11	0	3	1	1	5	8	2	1	0	2	0	1	0	0	0	2	5	2	0	0	3									
		0.61%	0.25%	1.29%	0.77%	0.26%	0.41%	0.70%	0.55%	0.81%	0.49%	1.11%	0.19%	0.22%	0.55%	0.14%	0.53%	0.40%	0.71%	1.56%	0.00%	1.59%	0.39%	0.36%	0.84%	1.50%	0.44%	0.33%	0.00%	1.89%	0.00%	0.22%	0.00%	0.00%	0.00%	0.44%	2.48%	0.71%	0.00%	0.00%	0.96%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	124	4	2	5	5	7	4	4	5	4	3	5	4	6	4	5	1	1	5	2	0	5	4	7	6	8	2	1	2	0	2	0	0	0	5	2	2	2	0	0									
		0.78%	0.98%	0.52%	0.96%	0.65%	0.96%	0.70%	1.10%	1.35%	0.49%	0.37%	0.95%	0.89%	1.64%	0.57%	0.89%	0.40%	0.14%	0.71%	0.56%	0.00%	1.93%	1.44%	1.18%	1.12%	1.76%	0.66%	0.70%	1.89%	0.00%	0.44%	0.00%	0.00%	0.00%	1.11%	0.99%	0.71%	0.54%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	0	1	2	1	2	0	0	0	2	4	0	0	0	1	0	0	2	0	1	0	1	0	0	0	0	1	1	1	0	1	0	0	1	1	1	0	0	0	0									
		0.15%	0.00%	0.26%	0.38%	0.13%	0.28%	0.00%	0.00%	0.00%	0.24%	0.50%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.28%	0.00%	0.28%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.33%	0.70%	0.94%	0.00%	0.22%	0.00%	0.00%	0.78%	0.22%	0.50%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	172	5	5	8	6	13	8	2	5	11	13	6	5	3	5	5	3	8	1	3	3	4	4	9	13	2	0	0	0	1	2	1	0	1	5	1	4	1	2	4									
		1.08%	1.23%	1.29%	1.54%	0.78%	1.79%	1.39%	0.55%	1.35%	1.34%	1.61%	1.13%	1.11%	0.82%	0.71%	0.89%	1.20%	1.14%	0.14%	0.85%	1.59%	1.54%	1.44%	1.52%	2.43%	0.44%	0.00%	0.00%	0.00%	0.49%	0.44%	1.25%	0.00%	0.78%	1.11%	0.50%	1.42%	0.27%	1.18%	1.29%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3181	82	61	125	177	158	135	74	75	172	179	97	115	46	141	131	42	162	154	68	45	31	76	108	137	110	63	18	16	27	80	9	7	13	82	23	40	32	21	49									
		19.92%	20.10%	15.76%	24.04%	23.02%	21.76%	23.48%	20.44%	20.27%	20.95%	22.15%	18.34%	25.56%	12.60%	20.00%	23.27%	16.80%	23.04%	21.81%	19.15%	23.81%	11.97%	27.44%	18.18%	25.61%	24.18%	20.86%	12.68%	15.09%	13.24%	17.62%	11.25%	7.95%	10.08%	18.22%	11.39%	14.18%	8.67%	12.35%	15.76%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	1	0	0	4	3	3	1	3	4	2	2	3	1	5	2	1	5	3	1	1	0	0	3	1	0	1	0	0	0	3	0	0	1	2	0	0	0	2	0									
		0.36%	0.25%	0.00%	0.00%	0.52%	0.41%	0.52%	0.28%	0.81%	0.49%	0.25%	0.38%	0.67%	0.27%	0.71%	0.36%	0.40%	0.71%	0.42%	0.28%	0.53%	0.00%	0.00%	0.51%	0.19%	0.00%	0.33%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.78%	0.44%	0.00%	0.00%	0.00%	1.18%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1005	29	15	29	38	41	37	25	14	75	84	49	41	8	73	50	21	49	72	17	10	8	3	54	40	28	16	6	7	3	12	0	2	0	17	7	17	7	1	0									
		6.29%	7.11%	3.88%	5.58%	4.94%	5.65%	6.43%	6.91%	3.78%	9.14%	10.40%	9.26%	9.11%	2.19%	10.35%	8.88%	8.40%	6.97%	10.20%	4.79%	5.29%	3.09%	1.08%	9.09%	7.48%	6.15%	5.30%	4.23%	6.60%	1.47%	2.64%	0.00%	2.27%	0.00%	3.78%	3.47%	6.03%	1.90%	0.59%	0.00%									
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
																																																		
