Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																														
Дата голосования: 02.12.2007																																														
																																														
Наименование Избирательной комиссии:    Пресненский район																																														
																																														
Сводная таблица результатов выборов																																														
																																														
		Сумма	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №3116	УИК №3117					
1	"Число избирателей, внесенных в списки избирателей"	80066	648	1306	1760	1502	1438	1641	1686	1971	2805	2632	2071	1564	2154	2090	2217	2095	2596	2765	1631	2583	1288	2709	2581	2545	2432	2232	2507	1797	2337	2373	2303	2531	2771	2551	2489	2636	2478	273	78					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	64250	550	1000	1400	1200	1200	1350	1300	1850	2050	2150	1650	1200	1700	1650	1750	1650	2050	2200	1200	2000	1050	2150	2050	2000	2250	1750	2000	1450	1900	1850	1850	2050	2250	2050	2050	1950	2000	350	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	45190	489	653	1180	769	1050	1161	786	1277	1829	1563	1512	958	1073	1063	1045	985	1332	1256	866	1713	939	1378	1230	1210	1211	1306	1780	836	1339	1114	1787	1107	1356	1099	1756	1487	1352	266	77					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	3279	52	17	195	22	144	144	38	99	219	80	137	65	32	28	40	64	26	54	31	240	108	61	58	40	188	117	213	27	126	35	58	47	27	45	172	146	84	0	0					
6	Число погашенных избирательных бюллетеней	15781	9	330	25	409	6	45	476	474	2	507	1	177	595	559	665	601	692	890	303	47	3	711	762	750	851	327	7	587	435	701	5	896	867	906	122	317	564	84	73					
7	Число избирательных бюллетеней в переносных ящиках для голосования	3278	52	17	195	22	144	144	38	99	219	80	137	65	32	28	40	64	26	54	31	240	108	61	58	40	188	117	213	27	126	35	58	46	27	45	172	146	84	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	45116	489	651	1180	764	1050	1161	778	1277	1829	1550	1512	957	1071	1060	1045	985	1332	1256	861	1713	939	1377	1225	1208	1206	1306	1780	836	1339	1113	1787	1106	1348	1099	1756	1487	1340	266	77					
9	Число недействительных избирательных бюллетеней	555	6	8	0	12	7	9	6	34	5	26	15	7	15	22	22	16	24	21	17	19	4	20	19	9	15	10	11	10	0	20	24	20	23	21	22	16	19	0	1					
10	Число действительных избирательных бюллетеней	47839	535	660	1375	774	1187	1296	810	1342	2043	1604	1634	1015	1088	1066	1063	1033	1334	1289	875	1934	1043	1418	1264	1239	1379	1413	1982	853	1465	1128	1821	1132	1352	1123	1906	1617	1405	266	76					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2530	40	30	40	40	40	65	40	610	70	60	50	40	50	50	50	50	75	70	40	60	30	60	60	60	60	50	65	40	60	55	60	60	60	60	60	60	60	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2255	38	29	26	23	40	60	28	586	50	55	48	37	43	35	36	45	70	68	38	60	24	46	46	49	51	48	63	35	54	44	57	53	48	43	60	59	60	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1679	29	59	0	31	27	56	41	41	167	31	73	61	44	63	18	40	40	46	25	33	49	126	33	44	43	48	19	17	78	63	38	22	24	38	18	20	45	10	19					
14	Число погашенных неиспользованных открепительных удостоверений	275	2	1	14	17	0	5	12	24	20	5	2	3	7	15	14	5	5	2	2	0	6	14	14	11	9	2	2	5	6	11	3	7	12	17	0	1	0	0	0					
