Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																													
Дата голосования: 04.12.2011																																													
																																													
Наименование Избирательной комиссии:    Пресненский район																																													
																																													
Сводная таблица результатов выборов																																													
																																													
		Сумма	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №3216	УИК №3217					
1	"Число избирателей, внесенных в список избирателей"	79235	1834	1863	1544	1458	1477	1568	2238	2549	2541	1973	1455	1988	1987	2326	2075	1948	2714	1625	2456	2649	1710	2388	2588	2481	2186	2437	1924	2432	2397	2320	2521	2678	2496	2505	2960	2570	267	107					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75900	1700	1700	1400	1400	1400	1500	1700	2400	2500	1900	1400	2000	1900	2200	2000	1800	2600	1600	2400	2600	1500	2300	2500	2500	2100	2400	1900	2400	2300	2200	2500	2700	2500	2500	2500	2500	250	250					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	52695	1150	1164	731	1270	1146	1213	1475	1691	2244	1335	1092	1066	1173	1771	1681	1173	1669	1399	2131	1999	967	1342	1790	1264	1005	1346	1360	1557	1610	1537	859	1730	1981	1938	1565	1914	250	107					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1643	28	81	16	34	19	39	25	42	22	38	33	84	30	19	31	29	45	35	69	71	13	59	38	52	56	60	63	145	37	87	26	24	38	76	43	36	0	0					
6	Число погашенных избирательных бюллетеней	21562	522	455	653	96	235	248	200	667	234	527	275	850	697	410	288	598	886	166	200	530	520	899	672	1184	1039	994	477	698	653	576	1615	946	481	486	892	550	0	143					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1643	28	81	16	34	19	39	25	42	22	38	33	84	30	19	31	29	45	35	69	71	13	59	38	52	56	60	63	145	37	87	26	24	38	76	43	36	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	52282	1150	1164	728	1270	1071	1213	1439	1691	2244	1233	1092	1066	1170	1771	1541	1167	1669	1399	2131	1999	966	1336	1790	1264	1005	1325	1356	1557	1600	1537	859	1730	1981	1938	1559	1914	250	107					
9	Число недействительных избирательных бюллетеней	866	16	31	16	10	75	20	47	32	10	17	22	14	23	40	9	37	83	5	5	34	23	22	20	20	21	20	39	7	2	26	7	20	12	27	20	33	0	1					
10	Число действительных избирательных бюллетеней	53059	1162	1214	728	1294	1015	1232	1417	1701	2256	1254	1103	1136	1177	1750	1563	1159	1631	1429	2195	2036	956	1373	1808	1296	1040	1365	1380	1695	1635	1598	878	1734	2007	1987	1582	1917	250	106					
