Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва												
Дата голосования: 02.12.2007												
												
Наименование Избирательной комиссии:    район Куркино												
												
Сводная таблица результатов выборов												
												
		Сумма	УИК №2748	УИК №2749	УИК №2750	УИК №2751	УИК №3285					
1	"Число избирателей, внесенных в списки избирателей"	9134	2316	2324	1583	2409	502					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	7100	1600	1800	1200	1900	600					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5038	1458	1415	754	1167	244					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	358	12	6	55	43	242					
6	Число погашенных избирательных бюллетеней	1704	130	379	391	690	114					
7	Число избирательных бюллетеней в переносных ящиках для голосования	358	12	6	55	43	242					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5036	1457	1415	754	1167	243					
9	Число недействительных избирательных бюллетеней	61	21	8	3	25	4					
10	Число действительных избирательных бюллетеней	5333	1448	1413	806	1185	481					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	192	50	50	42	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	107	39	27	20	21	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	165	49	46	22	11	37					
14	Число погашенных неиспользованных открепительных удостоверений	85	11	23	22	29	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	3	2	2	1	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0					
												
18	1.Политическая партия «Аграрная партия России»	109	25	31	18	28	7					
		2.02%	1.70%	2.18%	2.22%	2.31%	1.44%					
19	2.Всероссийская политическая партия «Гражданская Сила»	240	61	91	32	55	1					
		4.45%	4.15%	6.40%	3.96%	4.55%	0.21%					
20	3.Политическая партия «Демократическая партия России»	10	2	3	2	3	0					
		0.19%	0.14%	0.21%	0.25%	0.25%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	448	149	113	58	103	25					
		8.31%	10.14%	7.95%	7.17%	8.51%	5.15%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	337	93	122	36	81	5					
		6.25%	6.33%	8.59%	4.45%	6.69%	1.03%					
23	6.Политическая партия «Партия социальной справедливости»	19	8	6	2	2	1					
		0.35%	0.54%	0.42%	0.25%	0.17%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	416	130	100	68	66	52					
		7.71%	8.85%	7.04%	8.41%	5.45%	10.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	319	97	84	73	55	10					
		5.91%	6.60%	5.91%	9.02%	4.55%	2.06%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	48	21	6	3	16	2					
		0.89%	1.43%	0.42%	0.37%	1.32%	0.41%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2984	759	713	468	683	361					
		55.32%	51.67%	50.18%	57.85%	56.45%	74.43%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	403	103	144	46	93	17					
		7.47%	7.01%	10.13%	5.69%	7.69%	3.51%					
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
