Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва															
Дата голосования: 04.12.2011															
															
Наименование Избирательной комиссии:    район Куркино															
															
Сводная таблица результатов выборов															
															
		Сумма	УИК №2771	УИК №2772	УИК №2773	УИК №2774	УИК №2775	УИК №2776	УИК №2777	УИК №3378					
1	"Число избирателей, внесенных в список избирателей"	15065	2571	2159	2440	2099	1464	1365	2282	685					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12350	2000	1800	2000	1700	1200	1150	1800	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10189	1702	1424	1706	1440	995	947	1555	420					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	629	26	127	64	61	28	12	46	265					
6	Число погашенных избирательных бюллетеней	1532	272	249	230	199	177	191	199	15					
7	Число избирательных бюллетеней в переносных ящиках для голосования	617	26	127	64	61	28	12	34	265					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10148	1702	1424	1704	1440	995	947	1516	420					
9	Число недействительных избирательных бюллетеней	266	39	20	30	20	14	15	15	113					
10	Число действительных избирательных бюллетеней	10499	1689	1531	1738	1481	1009	944	1535	572					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	50	50	50	40	30	30	50	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	181	33	32	26	23	15	14	38	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	487	121	16	105	58	60	32	80	15					
14	Число погашенных неиспользованных открепительных удостоверений	119	17	18	24	17	15	16	12	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	21	2	3	6	2	3	2	3	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0					
															
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1311	201	187	222	232	125	101	171	72					
		12.18%	11.63%	12.06%	12.56%	15.46%	12.22%	10.53%	11.03%	10.51%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	987	160	140	150	127	100	71	142	97					
		9.17%	9.26%	9.03%	8.48%	8.46%	9.78%	7.40%	9.16%	14.16%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	186	23	32	48	21	12	14	29	7					
		1.73%	1.33%	2.06%	2.71%	1.40%	1.17%	1.46%	1.87%	1.02%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	1769	341	286	283	233	172	148	260	46					
		16.43%	19.73%	18.44%	16.01%	15.52%	16.81%	15.43%	16.77%	6.72%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1690	272	260	321	255	168	140	258	16					
		15.70%	15.74%	16.76%	18.16%	16.99%	16.42%	14.60%	16.65%	2.34%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4433	677	608	691	595	421	452	658	331					
		41.18%	39.18%	39.20%	39.08%	39.64%	41.15%	47.13%	42.45%	48.32%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	123	15	18	23	18	11	18	17	3					
		1.14%	0.87%	1.16%	1.30%	1.20%	1.08%	1.88%	1.10%	0.44%					
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
															
